##name	Military glossary by Adel
##sourceLang	English
##targetLang	Arabic
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1256
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1256
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Adel
##description	
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2013/03/20, 20:43
##bgl_middleUpdated	2013/03/20, 20:45
##bgl_lastUpdated	2013/03/20, 20:45
15VPS	Abbr.: 15VPS<br>\nMeaning: 15 Volt Power Supply<br>\nالمعنى العربي: <br>
Air Assualt	Abbr.: Air Assualt<br>\nMeaning: <br>\nالمعنى العربي: إقتحام جوي<br>
Airborne Corps	Abbr.: Airborne Corps<br>\nMeaning: <br>\nالمعنى العربي: سلاح المظليين<br>
Ammo	Abbr.: Ammo<br>\nMeaning: Ammunition<br>\nالمعنى العربي: ذخيرة<br>
Area Commander	Abbr.: Area Commander<br>\nMeaning: <br>\nالمعنى العربي: قائد منطقة<br>
Armor Corps	Abbr.: Armor Corps<br>\nMeaning: <br>\nالمعنى العربي: سلاح المدرعات<br>
Armor Corps Institute	Abbr.: Armor Corps Institute<br>\nMeaning: <br>\nالمعنى العربي: معهد سلاح المدرعات<br>
Artillery Corps	Abbr.: Artillery Corps<br>\nMeaning: <br>\nالمعنى العربي: سلاح المدفعية<br>
Assault	Abbr.: Assault<br>\nMeaning: <br>\nالمعنى العربي: إقتحام<br>
B	Abbr.: B<br>\nMeaning: black<br>\nالمعنى العربي: اسود<br>
BA3	Abbr.: BA3<br>\nMeaning: Bradley A3<br>\nالمعنى العربي: <br>
BAH	Abbr.: BAH<br>\nMeaning: Booz Allen &amp; Hamilton<br>\nالمعنى العربي: شركة بوز ألن هاميلتون<br>
BAS	Abbr.: BAS<br>\nMeaning: batallion aid station<br>\nالمعنى العربي: مركز اسعاف الكتيبة<br>
BCE	Abbr.: BCE<br>\nMeaning: Bradley Control Electronics<br>\nالمعنى العربي: <br>
BCOC	Abbr.: BCOC<br>\nMeaning: base cluster operation center<br>\nالمعنى العربي: مركز عمليات مجموعة مستودعات القاعدة<br>
BDE	Abbr.: BDE<br>\nMeaning: Brigade<br>\nالمعنى العربي: لواء<br>
BDE	Abbr.: BDE<br>\nMeaning: brigade<br>\nالمعنى العربي: لواء <br>
BDOC	Abbr.: BDOC<br>\nMeaning: base defence operation center<br>\nالمعنى العربي: مركز عمليات دفاع القاعدة<br>
BDU	Abbr.: BDU<br>\nMeaning: battle dress uniform<br>\nالمعنى العربي: زي المعركة<br>
BFIST	Abbr.: BFIST<br>\nMeaning: Bradley Fire Support Team<br>\nالمعنى العربي: <br>
BFVS	Abbr.: BFVS<br>\nMeaning: Bradley Fighting Vehicle System<br>\nالمعنى العربي: <br>
BFVS A0	Abbr.: BFVS A0<br>\nMeaning: Bradley Fighting Vehicle System A0<br>\nالمعنى العربي: <br>
BFVS A3	Abbr.: BFVS A3<br>\nMeaning: Bradley Fighting Vehicle System A3<br>\nالمعنى العربي: <br>
BG	Abbr.: BG<br>\nMeaning: Brigadier General<br>\nالمعنى العربي: عميد (رتبة)<br>
BHL	Abbr.: BHL<br>\nMeaning: battle hand-over line<br>\nالمعنى العربي: خط تسليم المعركة<br>
BICU	Abbr.: BICU<br>\nMeaning: Biocular Image Control Unit<br>\nالمعنى العربي: <br>
BMD	Abbr.: BMD<br>\nMeaning: Base Maintenance Directorate<br>\nالمعنى العربي: صيانة القاعدة<br>
BOMREP	Abbr.: BOMREP<br>\nMeaning: bombing report<br>\nالمعنى العربي: تقرير قصف<br>
BOS	Abbr.: BOS<br>\nMeaning: battle operation system<br>\nالمعنى العربي: أنظمة تشغيل ميدان المعركة<br>
BP	Abbr.: BP<br>\nMeaning: Battle Position<br>\nالمعنى العربي: موقع دفاعي (قتالي)<br>
BP	Abbr.: BP<br>\nMeaning: battle position<br>\nالمعنى العربي: موقع قتال<br>
BRADS	Abbr.: BRADS<br>\nMeaning: Bradley Automated Diagnostics System<br>\nالمعنى العربي: <br>
BRM	Abbr.: BRM<br>\nMeaning: Bradley Resource Module<br>\nالمعنى العربي: <br>
BSA	Abbr.: BSA<br>\nMeaning: Basic Sight Assembly<br>\nالمعنى العربي: <br>
BSA	Abbr.: BSA<br>\nMeaning: brigade support area<br>\nالمعنى العربي: منطقة اسناد اللواء<br>
BSFV	Abbr.: BSFV<br>\nMeaning: Bradley stinger fighting vehicle<br>\nالمعنى العربي: مركبة قتال  ستينجر برادلي<br>
Battalion Commander	Abbr.: Battalion Commander<br>\nMeaning: <br>\nالمعنى العربي: قائد كتيبة<br>
Bn	Abbr.: Bn<br>\nMeaning: Battalion<br>\nالمعنى العربي: كتيبة<br>
Breech	Abbr.: Breech<br>\nMeaning: <br>\nالمعنى العربي: الترباس<br>
Brigade Commander	Abbr.: Brigade Commander<br>\nMeaning: <br>\nالمعنى العربي: قائد لواء<br>
C-5	Abbr.: C-5<br>\nMeaning: Galaxy heavy-cargo transport aircraft<br>\nالمعنى العربي: طائرة شحن من طراز سي5<br>
C2	Abbr.: C2<br>\nMeaning: command and control<br>\nالمعنى العربي: قيادة وسيطرة<br>
C3	Abbr.: C3<br>\nMeaning: Command, Control and Communications<br>\nالمعنى العربي: القيادة والسيطرة والإتصالات<br>
C3	Abbr.: C3<br>\nMeaning: command &amp; control &amp;communication<br>\nالمعنى العربي: قيادة وسيطرة واتصالات<br>
CA	Abbr.: CA<br>\nMeaning: civil affairs<br>\nالمعنى العربي: شئون مدنية<br>
CANA	Abbr.: CANA<br>\nMeaning: Convulsant antidote nerve agent<br>\nالمعنى العربي: غاز اعصاب تشنج وهلوسة<br>
CAP	Abbr.: CAP<br>\nMeaning: Commander's Alert Panel<br>\nالمعنى العربي: <br>
CAPSTONE	Abbr.: CAPSTONE<br>\nMeaning: program that aligns active component and reserve component units to meet the Total Army’s wartime requirements<br>\nالمعنى العربي: برنامج وحدات الجيش العاملة ووحدات الإحتياط لإستيفاء متطلبات الجيش الشاملة في وقت الحرب <br>
CAS	Abbr.: CAS<br>\nMeaning: close air support<br>\nالمعنى العربي: اسناد جوي قريب<br>
CBT	Abbr.: CBT<br>\nMeaning: Computer Based Training<br>\nالمعنى العربي: <br>
CCHA	Abbr.: CCHA<br>\nMeaning: Commander's Control Handle Assembly<br>\nالمعنى العربي: <br>
CCIR	Abbr.: CCIR<br>\nMeaning: CDR critical info requirements<br>\nالمعنى العربي: مطالب المعلومات الضرورية للقائد<br>
CCP	Abbr.: CCP<br>\nMeaning: Computer Control Panel<br>\nالمعنى العربي: <br>
CCP	Abbr.: CCP<br>\nMeaning: Commander's Control Panel<br>\nالمعنى العربي: <br>
CCT	Abbr.: CCT<br>\nMeaning: combat control team<br>\nالمعنى العربي: فريق سيطرة على القتال<br>
CDR	Abbr.: CDR<br>\nMeaning: commander<br>\nالمعنى العربي: القائد<br>
CDS	Abbr.: CDS<br>\nMeaning: container delivery system<br>\nالمعنى العربي: نظام تسليم حاويات<br>
CDT	Abbr.: CDT<br>\nMeaning: Control Display Terminal<br>\nالمعنى العربي: <br>
CDU	Abbr.: CDU<br>\nMeaning: Commander's Display Unit<br>\nالمعنى العربي: <br>
CEU	Abbr.: CEU<br>\nMeaning: Computer Electronics Unit<br>\nالمعنى العربي: <br>
CEU	Abbr.: CEU<br>\nMeaning: Commander's Electronics Unit<br>\nالمعنى العربي: <br>
CEWI	Abbr.: CEWI<br>\nMeaning: combat EW intelligence<br>\nالمعنى العربي: استخبارات حرب الكترونية قتال<br>
CFA	Abbr.: CFA<br>\nMeaning: covering force area<br>\nالمعنى العربي: منطقة قوة التغطية<br>
CFFZ	Abbr.: CFFZ<br>\nMeaning: call for fire zone<br>\nالمعنى العربي: منطقة طلب نيران<br>
CFL	Abbr.: CFL<br>\nMeaning: Coordinated Fire Line<br>\nالمعنى العربي: خط تنسيق النيران<br>
CFL	Abbr.: CFL<br>\nMeaning: coordinated fire line<br>\nالمعنى العربي: خط تنسيق النيران<br>
CFM	Abbr.: CFM<br>\nMeaning: Common Functions Module<br>\nالمعنى العربي: <br>
CFPD	Abbr.: CFPD<br>\nMeaning: Color Flat Panel Display<br>\nالمعنى العربي: <br>
CFT	Abbr.: CFT<br>\nMeaning: Common FLIR/TIS<br>\nالمعنى العربي: <br>
CFZ	Abbr.: CFZ<br>\nMeaning: critical friendly zone<br>\nالمعنى العربي: منطقة حيوية للقوات الصديقة<br>
CG	Abbr.: CG<br>\nMeaning: commanding general<br>\nالمعنى العربي: القائد الآمر<br>
CGE	Abbr.: CGE<br>\nMeaning: Command Guidance Electronics<br>\nالمعنى العربي: <br>
CHEMWARN	Abbr.: CHEMWARN<br>\nMeaning: chemical warning<br>\nالمعنى العربي: انذار كيماوي<br>
CHS	Abbr.: CHS<br>\nMeaning: Commander's Hand Station<br>\nالمعنى العربي: <br>
CI	Abbr.: CI<br>\nMeaning: counterintelligence<br>\nالمعنى العربي: استخبارات مضادة<br>
CID	Abbr.: CID<br>\nMeaning: Commander's Integrated Display<br>\nالمعنى العربي: <br>
CID	Abbr.: CID<br>\nMeaning: criminal invesigation division<br>\nالمعنى العربي: قسم تحقيق جنائي<br>
CIMIC	Abbr.: CIMIC<br>\nMeaning: civil military cooperation<br>\nالمعنى العربي: تعاون عسكري مدني<br>
CINC	Abbr.: CINC<br>\nMeaning: commander in chief<br>\nالمعنى العربي: القائد العام <br>
CIR	Abbr.: CIR<br>\nMeaning: critical info  requirements<br>\nالمعنى العربي: متطلبات المعلومات الضرورية <br>
CITV	Abbr.: CITV<br>\nMeaning: Commander's Independent Thermal Viewer<br>\nالمعنى العربي: <br>
CIU	Abbr.: CIU<br>\nMeaning: Commander's Interface Unit<br>\nالمعنى العربي: <br>
CMD	Abbr.: CMD<br>\nMeaning: collection manage.&amp; dissemination<br>\nالمعنى العربي: جمع وادارة وتوزيع<br>
CMOC	Abbr.: CMOC<br>\nMeaning: civil military operation center<br>\nالمعنى العربي: مركز عمليات مدني عسكري<br>
CO	Abbr.: CO<br>\nMeaning: company<br>\nالمعنى العربي: سرية<br>
COA	Abbr.: COA<br>\nMeaning: Course of Action<br>\nالمعنى العربي: طريقة الحل<br>
COA	Abbr.: COA<br>\nMeaning: course of action<br>\nالمعنى العربي: طريقة حل<br>
COFT	Abbr.: COFT<br>\nMeaning: Conduct of Fire Trainer<br>\nالمعنى العربي: مشبه الكوفت<br>
COLT	Abbr.: COLT<br>\nMeaning: combat operation lazer team<br>\nالمعنى العربي: فريق ليزر عمليات القتال<br>
COMINT	Abbr.: COMINT<br>\nMeaning: communication intelligence<br>\nالمعنى العربي: استخبارات الاشارة<br>
COMJTF	Abbr.: COMJTF<br>\nMeaning: commander joint task force<br>\nالمعنى العربي: قائد قوة الواجب المشتركة<br>
COMMZ	Abbr.: COMMZ<br>\nMeaning: communication zone<br>\nالمعنى العربي: منطقة الاتصالات<br>
COMSEC	Abbr.: COMSEC<br>\nMeaning: communication security<br>\nالمعنى العربي: امن الاتصالات<br>
CONOPS	Abbr.: CONOPS<br>\nMeaning: continuous operations<br>\nالمعنى العربي: عمليات مستمرة<br>
CONPLAN	Abbr.: CONPLAN<br>\nMeaning: concept plan<br>\nالمعنى العربي: خطة الفكرة<br>
CONUS	Abbr.: CONUS<br>\nMeaning: continental USA<br>\nالمعنى العربي: قارة الولايات المتحدة<br>
COSCOM	Abbr.: COSCOM<br>\nMeaning: Corps Support Command<br>\nالمعنى العربي: قيادة إسناد الفيلق<br>
COSCOM	Abbr.: COSCOM<br>\nMeaning: corps support command<br>\nالمعنى العربي: قيادة اسناد الفيلق<br>
CP	Abbr.: CP<br>\nMeaning: Command Post<br>\nالمعنى العربي: مركز قيادة<br>
CP	Abbr.: CP<br>\nMeaning: command post<br>\nالمعنى العربي: مركز قيادة<br>
CPX	Abbr.: CPX<br>\nMeaning: <br>\nالمعنى العربي: <br>
CPX	Abbr.: CPX<br>\nMeaning: command post exercise<br>\nالمعنى العربي: تمرين مركز قيادة<br>
CS	Abbr.: CS<br>\nMeaning: combat support<br>\nالمعنى العربي: اسناد القتال<br>
CSB	Abbr.: CSB<br>\nMeaning: corps support batallion<br>\nالمعنى العربي: كتيبة اسناد الفيلق<br>
CSCP	Abbr.: CSCP<br>\nMeaning: Commander's Sight Control Panel<br>\nالمعنى العربي: <br>
CSE	Abbr.: CSE<br>\nMeaning: combat support equipment<br>\nالمعنى العربي: معدات اسناد القتال<br>
CSM	Abbr.: CSM<br>\nMeaning: Command Sergeant Major<br>\nالمعنى العربي: رئيس رقباء القيادة<br>
CSM	Abbr.: CSM<br>\nMeaning: command sergeant major<br>\nالمعنى العربي: رئيس رقباء القيادة<br>
CSS	Abbr.: CSS<br>\nMeaning: combat service support<br>\nالمعنى العربي: الاسناد الاداري للقتال<br>
CW	Abbr.: CW<br>\nMeaning: chemical weapons<br>\nالمعنى العربي: الاسلحة الكيميائية<br>
CWC	Abbr.: CWC<br>\nMeaning: chemical weapons convention<br>\nالمعنى العربي: اتفاقية الأسلحة الكيميائية<br>
CWS	Abbr.: CWS<br>\nMeaning: Commander's Weapon Station<br>\nالمعنى العربي: <br>
CZ	Abbr.: CZ<br>\nMeaning: combat zone<br>\nالمعنى العربي: منطقة قتال<br>
Chief of Staff	Abbr.: Chief of Staff<br>\nMeaning: <br>\nالمعنى العربي: رئيس هيئة الأركان العامة<br>
Co	Abbr.: Co<br>\nMeaning: Company<br>\nالمعنى العربي: سرية<br>
CofS	Abbr.: CofS<br>\nMeaning: chief of staff<br>\nالمعنى العربي: رئيس الأركان<br>
Command and Control	Abbr.: Command and Control<br>\nMeaning: <br>\nالمعنى العربي: القيادة والسيطرة<br>
Company Commander	Abbr.: Company Commander<br>\nMeaning: <br>\nالمعنى العربي: قائد سرية<br>
Concept of the Operation	Abbr.: Concept of the Operation<br>\nMeaning: <br>\nالمعنى العربي: فكرة العملية<br>
Control Measures	Abbr.: Control Measures<br>\nMeaning: <br>\nالمعنى العربي: مفاييس (إجراءات) السيطرة<br>
Coordinating Instructions	Abbr.: Coordinating Instructions<br>\nMeaning: <br>\nالمعنى العربي: تعليمات التنسيق<br>
Corps	Abbr.: Corps<br>\nMeaning: <br>\nالمعنى العربي: سلاح - فيلق<br>
Corps Commnder	Abbr.: Corps Commnder<br>\nMeaning: <br>\nالمعنى العربي: قائد فيلق<br>
Crusader	Abbr.: Crusader<br>\nMeaning: A new self-propelled howitzer and resupply vehicle<br>\nالمعنى العربي: <br>
DA	Abbr.: DA<br>\nMeaning: department of the army<br>\nالمعنى العربي: ادارة الجيش<br>
DACG	Abbr.: DACG<br>\nMeaning: depart.  airfield control group<br>\nالمعنى العربي: مجموعة سيطرة  مطار السفر<br>
DAHA	Abbr.: DAHA<br>\nMeaning: Dual Axis Head Assembly<br>\nالمعنى العربي: <br>
DAO	Abbr.: DAO<br>\nMeaning: defence attache office<br>\nالمعنى العربي: مكتب الملحق العسكري<br>
DAP	Abbr.: DAP<br>\nMeaning: decontamination apparatus<br>\nالمعنى العربي: جهاز ازالة التلوث<br>
DART	Abbr.: DART<br>\nMeaning: Down Aircraft Recovery Team<br>\nالمعنى العربي: فريق إنتشال الطائرة المسقطة<br>
DCGE/MGS	Abbr.: DCGE/MGS<br>\nMeaning: Digital Command Guidance Electronics/Missile Guidance Set<br>\nالمعنى العربي: <br>
DCR	Abbr.: DCR<br>\nMeaning: DSESTS Common Resources<br>\nالمعنى العربي: <br>
DEA	Abbr.: DEA<br>\nMeaning: drug enforcing agency<br>\nالمعنى العربي: وكالة تطبيق قانون المخدرات<br>
DECA	Abbr.: DECA<br>\nMeaning: Digital Electronic Control Assembly<br>\nالمعنى العربي: <br>
DECU	Abbr.: DECU<br>\nMeaning: <br>\nالمعنى العربي: الوحدة الإلكترونية للتحكم في المحرك<br>
DECU	Abbr.: DECU<br>\nMeaning: Digital Electronic Control Unit<br>\nالمعنى العربي: <br>
DETCO	Abbr.: DETCO<br>\nMeaning: Detachment Commander<br>\nالمعنى العربي: قائد المفرزة<br>
DF	Abbr.: DF<br>\nMeaning: direction finding<br>\nالمعنى العربي: تحديد الاتجاه<br>
DFCP	Abbr.: DFCP<br>\nMeaning: DISCOM forward command post<br>\nالمعنى العربي: مركز قياامامي لقيادة سند فيلق<br>
DFSCOORD	Abbr.: DFSCOORD<br>\nMeaning: deputy fire support coordinator<br>\nالمعنى العربي: نائب منسق اسناد النيران<br>
DID	Abbr.: DID<br>\nMeaning: Driver's Integrated Display<br>\nالمعنى العربي: <br>
DIP	Abbr.: DIP<br>\nMeaning: Driver's Instrument Panel<br>\nالمعنى العربي: <br>
DISCOM	Abbr.: DISCOM<br>\nMeaning: division support command<br>\nالمعنى العربي: قيادة اسناد الفرقة<br>
DIVARTY	Abbr.: DIVARTY<br>\nMeaning: division artillery<br>\nالمعنى العربي: مدفعية الفرقة<br>
DIVISION	Abbr.: DIVISION<br>\nMeaning: <br>\nالمعنى العربي: فرقة<br>
DLI	Abbr.: DLI<br>\nMeaning: Defense Language Institute<br>\nالمعنى العربي: معهد لغات القوات المسلحة<br>
DMMC	Abbr.: DMMC<br>\nMeaning: div. material manage. center<br>\nالمعنى العربي: مركز ادارة مواد الفرقة<br>
DMMO	Abbr.: DMMO<br>\nMeaning: div. material manage. officer<br>\nالمعنى العربي: ضابط ادارة مواد الفرقة<br>
DMOC	Abbr.: DMOC<br>\nMeaning: division medical operations center<br>\nالمعنى العربي: مركز العمليات الطبية للفرقة<br>
DMP	Abbr.: DMP<br>\nMeaning: Driver's Master Panel<br>\nالمعنى العربي: <br>
DMSO	Abbr.: DMSO<br>\nMeaning: division medical supply  officer<br>\nالمعنى العربي: ضابط التموين الطبي للفرقة<br>
