##name	DOD Joint Acronyms and Abbreviations
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Department of Defense (DOD), Joint Doctrine Division
##copyright	Source: U.S. Department of Defense, <a href="http://www.dtic.mil/doctrine/index.html">Joint Doctrine Division</a>. ( <a href="bword://About the DOD Joint Acronyms and Abbreviations">About</a> )
##description	The <b>DOD Joint Acronyms and Abbreviations</b> contains a listing of current abbreviations and acronyms in\ncommon use within the Department of Defense. This is by no means a complete list of DOD abbreviations and acronyms. Rather, <b>it serves as a guide to current DOD usage in abbreviations and acronyms</b>.\n<p>The Joint Acronyms and Abbreviations master data base is  managed by the Joint Doctrine Division, J-7, Joint Staff. All approved joint definitions are contained in Joint Publication 1-02, "DOD Dictionary of Military and Associated Terms." <b>  As amended through 17 October 2007</b>.</p>\n<p>The <b>Joint Acronyms and Abbreviations</b> holds more than 6000 entries. </p>
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/03/20, 09:33
##bgl_middleUpdated	2008/03/25, 09:22
##bgl_lastUpdated	2008/03/25, 09:22
.NL.	not less than <br>
AELT	aeromedical evacuation liaison team <br>
AEOS	aeromedical evacuation operations squadron <br>
AEOT	aeromedical evacuation operations team <br>
AEPS	aircrew escape propulsion system <br>
AEPST	aeromedical evacuation plans and strategy team <br>
AES	aeromedical evacuation squadron; aeromedical evacuation system <br>
AESC	aeromedical evacuation support cell <br>
AETC	Air Education and Training Command  <br>
AETF	air and space expeditionary task force <br>
AEU	assign essential user bypass <br>
AEW	air and space expeditionary wing; airborne early warning  <br>
AEW&C	airborne early warning and control  <br>
AF	amphibious force  <br>
AF/DP	Deputy Chief of Staff for Personnel, United States Air Force <br>
AF/IL	Deputy Chief of Staff for Installations and Logistics, USAF <br>
AF/XO	Deputy Chief of Staff for Plans and Operations, United States Air Force <br>
AF/XOI	Air Force Director of Intelligence, Surveillance, and Reconnaissance  <br>
AF/XOO	Director of Operations, United States Air Force   <br>
AFAARS	Air Force After Action Reporting System <br>
AFAOC	Air Force air and space operations center   <br>
AFARN	Air Force air request net  <br>
AFATDS	Advanced Field Artillery Tactical Data System <br>
AFB	Air Force base <br>
AFC	area frequency coordinator; automatic frequency control <br>
AFCA	Air Force Communications Agency <br>
AFCAP	Air Force contract augmentation program; Armed Forces contract augmentation program <br>
AFCC	Air Force Component Commander <br>
AFCCC	Air Force Combat Climatology Center  <br>
AFCEE	Air Force Center for Environmental Excellence <br>
AFCENT	Allied Forces Central Europe (NATO)  <br>
AFCERT	Air Force computer emergency response team <br>
AFCESA	Air Force Civil Engineering Support Agency <br>
AFCS	automatic flight control system <br>
AFD	assign fixed directory <br>
AFDC	Air Force Doctrine Center <br>
AFDD	Air Force doctrine document <br>
AFDIGS	Air Force digital graphics system  <br>
AFDIL	Armed Forces DNA Identification Laboratory  <br>
AFDIS	Air Force Weather Agency Dial In Subsystem   <br>
AFE	Armed Forces Entertainment <br>
AFEES	Armed Forces Examining and Entrance Station <br>
AFFIS	Air Facilities File Information System  <br>
AFFMA	Air Force Frequency Management Agency  <br>
AFFOR	Air Force forces <br>
AFH	Air Force handbook <br>
AFI	Air Force instruction <br>
AFID	anti-fratricide identification device <br>
AFIP	Armed Forces Institute of Pathology  <br>
AFIRB	Armed Forces Identification Review Board  <br>
AFIS	American Forces Information Service <br>
AFIWC	Air Force Information Warfare Center  <br>
AFJI	Air Force joint instruction <br>
AFJMAN	Air Force Joint Manual <br>
AFLC	Air Force Logistics Command <br>
AFLE	Air Force liaison element <br>
AFLNO	Air Force liaison officer <br>
AFMAN	Air Force manual <br>
AFMC	Air Force Materiel Command <br>
AFMD	Air Force Mission Directive <br>
AFME	Armed Forces Medical Examiner <br>
AFMES	Armed Forces Medical Examiner System  <br>
AFMIC	Armed Forces Medical Intelligence Center  <br>
AFMLO	Air Force Medical Logistics Office  <br>
AFMS	Air Force Medical Service <br>
AFNORTH	Air Force North; Allied Forces Northern Europe (NATO)  <br>
AFNORTHWEST	Allied Forces North West Europe (NATO) <br>
AFNSEP	Air Force National Security and Emergency Preparedness Agency  <br>
AFOE	assault follow-on echelon <br>
AFOSI	Air Force Office of Special Investigations <br>
AFPAM	Air Force pamphlet <br>
AFPC	Air Force Personnel Center <br>
AFPD	Air Force policy directive <br>
AFPEO	Armed Forces Professional Entertainment Overseas  <br>
AFR	Air Force Reserve; assign frequency for network reporting  <br>
AFRC	Air Force Reserve Command; Armed Forces Recreation Center  <br>
AFRCC	Air Force rescue coordination center  <br>
AFRRI	Armed Forces Radiobiology Research Institute  <br>
AFRTS	Armed Forces Radio and Television Service <br>
AFS	aeronautical fixed service <br>
AFSATCOM	Air Force satellite communications (system)  <br>
AFSC	Armed Forces Staff College; United States Air Force specialty code <br>
AFSOB	Air Force special operations base  <br>
AFSOC	Air Force Special Operations Command; Air Force special operations component <br>
AFSOCC	Air Force special operations control center <br>
AFSOD	Air Force special operations detachment  <br>
AFSOE	Air Force special operations element  <br>
AFSOF	Air Force special operations forces  <br>
AFSOUTH	Allied Forces, South (NATO) <br>
AFSPACE	United States Space Command Air Force <br>
AFSPC	Air Force Space Command <br>
AFSPOC	Air Force Space Operations Center  <br>
AFTAC	Air Force Technical Applications Center  <br>
AFTH	Air Force Theater Hospital <br>
AFTN	Aeronautical Fixed Telecommunications Network <br>
AFTO	Air Force technical order <br>
AFTTP	Air Force tactics, techniques, and procedures; Air Force technical training publication <br>
AFTTP(I)	Air Force tactics, techniques, and procedures (instruction)   <br>
AFW	Air Force Weather <br>
AFWA	Air Force Weather Agency <br>
AFWCF	Air Force working capital fund  <br>
AFWIN	Air Force Weather Information Network  <br>
AG	adjutant general (Army) <br>
AGARD	Advisory Group for Aerospace Research and Development   <br>
AGCCS	Army Global Command and Control System <br>
AGE	aerospace ground equipment <br>
AGI	advanced geospatial intelligence <br>
AGIL	airborne general illumination lightself <br>
AGL	above ground level <br>
AGM-28A	Hound Dog  <br>
AGM-65	Maverick   <br>
AGM-69	short range attack missile <br>
AGR	Active Guard and Reserve <br>
AGS	aviation ground support <br>
AHA	alert holding area <br>
AHD	antihandling device  <br>
AI	airborne interceptor; air interdiction; area of interest   <br>
AIA	Air Intelligence Agency <br>
AIASA	annual integrated assessment for security assistance <br>
AIC	air intercept controller; assign individual compressed dial; Atlantic Intelligence Command <br>
AICF/USA	Action Internationale Contre La Faim (International Action Against Hunger) <br>
AIDS	acquired immune deficiency syndrome <br>
AIF	automated installation intelligence file <br>
AIFA	AAFES Imprest Fund Activity <br>
AIG	addressee indicator group <br>
AIIRS	automated intelligence information reporting system  <br>
AIK	assistance in kind <br>
AIM	Airman’s Information Manual <br>
AIM-54A	Phoenix   <br>
AIM-7	Sparrow   <br>
AIM-9	Sidewinder   <br>
AIMD	aircraft intermediate maintenance department <br>
AIQC	antiterrorism instructor qualification course <br>
AIRBAT	Airborne Intelligence, Surveillance, and Reconnaissance Requirements-Based Allocation Tool  <br>
AIRCENT	Allied Air Forces Central Europe (NATO) <br>
AIRES	advanced imagery requirements exploitation system  <br>
AIREVACCONFIRM	air evacuation confirmation <br>
AIREVACREQ	air evacuation request <br>
AIREVACRESP	air evacuation response <br>
AIRNORTHWEST	Allied Air Forces North West Europe (NATO)   <br>
AIRREQRECON	air request reconnaissance <br>
AIRSOUTH	Allied Air Forces Southern Europe (NATO) <br>
AIRSUPREQ	air support request <br>
AIS	automated information system <br>
AIT	aeromedical isolation team; automatic identification technology <br>
AIU	Automatic Digital Network Interface Unit  <br>
AJ	anti-jam   <br>
AJ/CM	anti-jam control modem <br>
AJBPO	area joint blood program office  <br>
AJCC	alternate joint communications center <br>
AJF	allied joint force <br>
AJFP	adaptive joint force packaging <br>
AJMRO	area joint medical regulating office  <br>
AJNPE	airborne joint nuclear planning element  <br>
AJP	Allied joint publication <br>
AK	commercial cargo ship <br>
AKNLDG	acknowledge message  <br>
ALCC	airlift control center; airlift coordination cell <br>
ALCE	airlift control element <br>
ALCF	airlift control flight <br>
ALCG	analog line conditioning group <br>
ALCM	air launched cruise missile <br>
ALCOM	United States Alaskan Command <br>
ALCON	all concerned  <br>
ALCS	airlift control squadron <br>
ALCT	airlift control team <br>
ALD	accounting line designator; airborne laser designator; available-to-load date  <br>
ALE	airlift liaison element <br>
ALERFA	alert phase (ICAO) <br>
ALERT	attack and launch early reporting to theater   <br>
ALERTORD	alert order  <br>
ALLOREQ	air allocation request <br>
ALLTV	all light level television <br>
ALMSNSCD	airlift mission schedule <br>
ALNOT	alert notice; search and rescue alert notice   <br>
ALO	air liaison officer <br>
ALOC	air line of communications <br>
ALORD	alert launch order <br>
ALP	Allied Logistic Publication <br>
ALSA	Air Land Sea Application (Center)  <br>
ALSS	advanced logistic support site <br>
ALTRV	altitude reservation  <br>
ALTTSC	alternate Tomahawk strike coordinator <br>
AM	amplitude modulation  <br>
AMAL	authorized medical allowance list <br>
AMB	air mobility branch; ambassador <br>
AMBUS	ambulance bus  <br>
AMC	airborne mission coordinator; Air Mobility Command; Army Materiel Command: midpoint compromise search area       <br>
AMCC	allied movement coordination center; alternate military command center  <br>
AMCIT	American citizen  <br>
AMCM	airborne mine countermeasures <br>
AMCT	air mobility control team <br>
AMD	air and missile defense; air mobility division   <br>
AME	air mobility element; antenna mounted electronics <br>
AMEDD	Army Medical Department <br>
AMEDDCS	U.S. Army Medical Department Center and School   <br>
AMEMB	American Embassy  <br>
AMF(L)	ACE Mobile Force (Land) (NATO)  <br>
AMH	automated message handler <br>
AMIO	alien migrant interdiction operations <br>
AMLO	air mobility liaison officer <br>
AMMO	ammunition   <br>
AMOC	Air Marine Operations Center <br>
AMOCC	air mobility operations control center  <br>
AMOG	air mobility operations group <br>
AMOPES	Army Mobilization and Operations Planning and Execution System  <br>
AMOPS	Army mobilization and operations planning system; Army mobilization operations system <br>
AMOS	air mobility operations squadron <br>
AMOSS	Air and Marine Operations Surveillance System <br>
AMP	amplifier; analysis of mobility platform  <br>
AMPE	automated message processing exchange <br>
AMPN	amplification   <br>
AMPSSO	Automated Message Processing System Security Office (or Officer)  <br>
AMRAAM	advanced medium-range air-to-air missile <br>
AMS	aerial measuring system; air mobility squadron; Army management structure; Asset Management System <br>
AMSS	air mobility support squadron <br>
AMT	aerial mail terminal <br>
AMVER	automated mutual-assistance vessel rescue system  <br>
AMW	air mobility wing; amphibious warfare  <br>
AMX	air mobility express <br>
AN	alphanumeric; analog nonsecure <br>
ANCA	Allied Naval Communications Agency <br>
ANDVT	advanced narrowband digital voice terminal  <br>
ANG	Air National Guard <br>
ANGUS	Air National Guard of the United States   <br>
ANMCC	Alternate National Military Command Center  <br>
ANN	assign NNX routing <br>
ANR	Alaskan North American Aerospace Defense Command Region   <br>
ANSI	American National Standards Institute <br>
ANX	assign NNXX routing <br>
ANY	assign NYX routing <br>
ANZUS	Australia-New Zealand-United States Treaty <br>
AO	action officer; administration officer; air officer; area of operations; aviation ordnance person <br>
AO&M	administration, operation, and maintenance <br>
AOA	amphibious objective area <br>
AOB	advanced operations base; aviation operations branch <br>
AOC	air operations center; Army operations center <br>
AOC-E	Aviation Operations Center-East (USCS) <br>
AOC-W	Aviation Operations Center-West (USCS) <br>
AOCC	air operations control center <br>
AOCU	analog orderwire control unit <br>
AOD	on-line diagnostic  <br>
AOF	azimuth of fire <br>
AOI	area of interest <br>
AOL	area of limitation <br>
AOP	air operations plan; area of probability <br>
AOR	area of responsibility <br>
AOS	area of separation <br>
AOSS	aviation ordnance safety supervisor <br>
AOTR	Aviation Operational Threat Response <br>
AP	allied publication; antipersonnel; average power  <br>
APA	Army pre-positioned afloat <br>
APAN	Asia Pacific Network <br>
APC	aerial port commander; armored personnel carrier; assign preprogrammed conference list <br>
APCC	aerial port control center; alternate processing and correlation center <br>
APES	Automated Patient Evacuation System <br>
APF	afloat pre-positioning force <br>
APG	aimpoint graphic  <br>
APHIS	Animal and Plant Health Inspection Service <br>
APIC	allied press information center <br>
APL	antipersonnel land  <br>
APO	afloat pre-positioning operations; Army Post Office <br>
APOD	aerial port of debarkation <br>
APOE	aerial port of embarkation <br>
APORT	aerial port  <br>
APORTSREP	air operations bases report <br>
APP	allied procedural publication <br>
APPS	analytical photogrammetric positioning system <br>
APR	assign primary zone routing <br>
APS	aerial port squadron; afloat pre-positioning ship; Army pre-positioned stocks <br>
APS-3	afloat pre-positioning stocks <br>
APU	auxiliary power unit <br>
AR	air refueling; Army regulation; Army reserve <br>
ARB	alternate recovery base; assign receive bypass lists   <br>
ARBS	angle rate bombing system <br>
ARC	air Reserve Components; American Red Cross <br>
ARCENT	United States Army Central Command  <br>
ARCP	air refueling control point <br>
ARCT	air refueling control team; air refueling control time  <br>
ARDF	automatic radio direction finding <br>
AREC	air resource element coordinator <br>
ARFOR	Army forces  <br>
ARG	amphibious ready group <br>
ARGO	automatic ranging grid overlay <br>
ARINC	Aeronautical Radio Incorporated <br>
ARIP	air refueling initiation point <br>
ARL-M	airborne reconnaissance low-multifunction <br>
ARM	antiradiation missile  <br>
ARNG	Army National Guard <br>
ARNGUS	Army National Guard of the United States   <br>
ARNORTH	US Army North <br>
ARP	air refueling point <br>
ARPERCEN	United States Army Reserve Personnel Center <br>
ARQ	automatic request-repeat  <br>
ARRC	Allied Command Europe Rapid Reaction Corps (NATO)   <br>
ARRDATE	arrival date  <br>
ARS	acute radiation syndrome; air rescue service <br>
ARSOA	Army special operations aviation <br>
ARSOC	Army special operations component <br>
ARSOF	Army special operations forces <br>
ARSOTF	Army special operations task force  <br>
ARSPACE	Army Space Command <br>
ARSPOC	Army space operations center <br>
ART	air reserve technician <br>
ARTCC	air route traffic control center  <br>
ARTS	III Automated Radar Tracking System  <br>
ARTYMET	artillery meteorological  <br>
AS	analog secure; aviation ship <br>
ASA	automatic spectrum analyzer <br>
ASAP	as soon as possible <br>
ASARS	Advanced Synthetic Aperture Radar System  <br>
ASAS	All Source Analysis System <br>
ASAT	antisatellite weapon  <br>
ASB	naval advanced support base <br>
ASBP	Armed Services Blood Program <br>
ASBPO	Armed Services Blood Program Office  <br>
ASC	acting Service chief; Aeronautical Systems Center; Air Systems Command; assign switch classmark; Automatic Digital Network switching center   <br>
ASCC	Air Standardization Coordinating Committee; Army Service component command; Army Service component commander <br>
ASCIET	all Services combat identification evaluation team <br>
ASCII	American Standard Code for Information Interchange <br>
ASCS	air support control section <br>
ASD(A&L)	Assistant Secretary of Defense (Acquisition and Logistics)   <br>
ASD(C)	Assistant Secretary of Defense (Comptroller)  <br>
ASD(C3I)	Assistant Secretary of Defense (Command, Control, Communications, and Intelligence) <br>
ASD(FM&P)	Assistant Secretary of Defense (Force Management and Personnel)  <br>
ASD(FMP)	Assistant Secretary of Defense (Force Management Policy)   <br>
ASD(HA)	Assistant Secretary of Defense (Health Affairs) <br>
ASD(HD&ASA)	Assistant Secretary of Defense (Homeland Defense and Americas’ Security Affairs) <br>
ASD(HD)	Assistant Secretary of Defense (Homeland Defense) <br>
ASD(ISA)	Assistant Secretary of Defense (International Security Affairs)   <br>
ASD(ISP)	Assistant Secretary of Defense (International Security Policy)   <br>
ASD(LA)	Assistant Secretary of Defense (Legislative Affairs) <br>
ASD(NII)	Assistant Secretary of Defense (Networks and Information Integration)  <br>
ASD(P&L)	Assistant Secretary of Defense (Production and Logistics)   <br>
ASD(PA&E)	Assistant Secretary of Defense (Program Analysis and Evaluation)  <br>
ASD(PA)	Assistant Secretary of Defense (Public Affairs) <br>
ASD(RA)	Assistant Secretary of Defense (Reserve Affairs) <br>
ASD(RSA)	Assistant Secretary of Defense (Regional Security Affairs)   <br>
ASD(S&R)	Assistant Secretary of Defense (Strategy and Requirements)   <br>
ASD(SO/LIC&IC)	Assistant Secretary of Defense (Special Operations and Low- Intensity Conflict and Interdependent Capabilities)       <br>
ASD(SO/LIC)	Assistant Secretary of Defense (Special Operations and Low- Intensity Conflict) <br>
ASDI	analog simple data interface <br>
ASDIA	All-Source Document Index <br>
ASE	aircraft survivability equipment; automated stabilization equipment <br>
ASF	aeromedical staging facility <br>
ASG	area support group <br>
ASH	Assistant Administrator for Security and Hazardous Materials   <br>
ASI	assign and display switch initialization  <br>
ASIC	Air and Space Interoperability Council  <br>
ASIF	Airlift Support Industrial Fund <br>
ASL	allowable supply list; archipelagic sea lane; assign switch locator (SL) routing; authorized stockage list (Army)     <br>
ASM	air-to-surface missile; armored scout mission; automated scheduling message  <br>
ASMD	antiship missile defense <br>
ASO	advanced special operations; air support operations <br>
ASOC	air support operations center <br>
ASOFDTG	as of date/time group <br>
ASPA	American Service-Members’ Protection Act <br>
ASPP	acquisition systems protection program <br>
ASPPO	Armed Service Production Planning Office  <br>
ASR	available supply rate <br>
ASSETREP	transportation assets report <br>
AST	assign secondary traffic channels <br>
ASTS	aeromedical staging squadron <br>
ASW	antisubmarine warfare; average surface wind  <br>
ASWBPL	Armed Services Whole Blood Processing Laboratories <br>
ASWC	antisubmarine warfare commander <br>
AT	annual training; antitank; antiterrorism <br>
AT/FP	antiterrorism/force protection  <br>
ATA	Airlift Tanker Association; airport traffic area <br>
ATAC	antiterrorism alert center (Navy) <br>
ATACC	advanced tactical air command center  <br>
ATACMS	Army Tactical Missile System <br>
ATACO	air tactical actions control officer  <br>
ATACS	Army Tactical Communications System <br>
ATAF	Allied Tactical Air Force (NATO)  <br>
ATBM	antitactical ballistic missile <br>
ATC	air target chart; Air Threat Conference; air traffic control; air transportable clinic (USAF)       <br>
ATCA	Allied Tactical Communications Agency <br>
ATCAA	air traffic control assigned airspace  <br>
ATCALS	air traffic control and landing system <br>
ATCC	air traffic control center; Antiterrorism Coordinating Committee   <br>
ATCC-SSG	Antiterrorism Coordinating Committee-Senior Steering Group  <br>
ATCRBS	Air Traffic Control Radar Beacon System <br>
ATCS	air traffic control section <br>
ATDL1	Army tactical data link 1  <br>
ATDLS	Advanced Tactical Data Link System  <br>
ATDM	adaptive time division multiplexer <br>
ATDS	airborne tactical data system <br>
ATEP	Antiterrorism Enterprise Portal <br>
ATF	Advanced Targeting FLIR; amphibious task force; Bureau of Alcohol, Tobacco and Firearms (TREAS)       <br>
ATG	amphibious task group; assign trunk group cluster   <br>
ATGM	antitank guided missile; antitank guided munition <br>
ATH	air transportable hospital; assign thresholds  <br>
ATHS	Airborne Target Handover System <br>
ATM	advanced trauma management; air target material; assign traffic metering <br>
ATMCT	air terminal movement control team  <br>
ATMP	Air Target Materials Program <br>
ATN	assign thresholds  <br>
ATO	air tasking order; antiterrorism officer  <br>
ATOC	air tactical operations center; air terminal operations center  <br>
ATOCONF	air tasking order/confirmation <br>
ATP	allied tactical publication <br>
ATR	attrition reserve  <br>
ATS	air traffic service; assign terminal service <br>
ATSD(AE)	Assistant to the Secretary of Defense (Atomic Energy)  <br>
ATSD(IO)	Assistant to the Secretary of Defense (Intelligence Oversight)  <br>
ATSD(NCB)	Assistant to the Secretary of Defense for Nuclear and Chemical and Biological Defense Programs      <br>
ATT	assign terminal type <br>
ATTU	air transportable treatment unit <br>
ATWG	antiterrorism working group <br>
AUEL	automated unit equipment list <br>
AUF	airborne use of force <br>
AUG	application user group <br>
AUIC	active duty unit identification code  <br>
AUTODIN	Automatic Digital Network <br>
AUX	auxiliary   <br>
AV	air vehicle; asset visibility <br>
AV-8	Harrier   <br>
AV/VI	audiovisual/visual information  <br>
AVDTG	analog via digital trunk group  <br>
AVGAS	aviation gasoline  <br>
AVIM	aviation intermediate maintenance <br>
AVL	assign variable location <br>
AVOU	analog voice orderwire unit <br>
AVOW	analog voice orderwire <br>
AVS	audiovisual squadron  <br>
AVUM	aviation unit maintenance <br>
AW	acoustic warfare; air warfare <br>
AWACS	Airborne Warning and Control System  <br>
AWADS	adverse weather aerial delivery system  <br>
AWC	air warfare commander <br>
AWCAP	airborne weapons corrective action program  <br>
AWCCM	acoustic warfare counter-countermeasures <br>
AWCM	acoustic warfare countermeasures <br>
AWDS	automated weather distribution system <br>
AWN	Automated Weather Network <br>
AWOL	absent without leave <br>
AWS	Air Weather Service <br>
AWSE	armament weapons support equipment <br>
AWSIM	air warfare simulation model <br>
AWSR	Air Weather Service regulation <br>
AXP	ambulance exchange point <br>
AXX	assign XXX routing <br>
