##name	Josh's Network Glossary
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Josh Simon
##email	jss@clock.org
##description	Terms and definitions for networking and systems administration,including common telco abbreviations and acronym expansions.
##browsingEnabled	
##bgl_creationTime	2000/06/15, 08:33
##bgl_middleUpdated	2000/07/30, 15:06
8EAF66FD.bmp	File: 8EAF66FD.bmp
AEF	See <A href="bword://Application Extension Facility (AEF)">Application Extension Facility (AEF) </A>.
AFS	See <A href="bword://Andrew File System (AFS)">Andrew File System (AFS) </A>.
alias	A pointer to one or more users or hosts, typically used for sending mail (in the case of users) or logging in remotely (in the case of hosts). See also <A href="bword://group alias">group alias </A>, <A href="bword://host alias">host alias </A>, <A href="bword://individual alias">individual alias </A>.
American National Standards Institute (ANSI)|american-national-standards-institute	The organization responsible for setting computer-related standards in the United States of America.
American Standard Code for Information Interchange (ASCII)|american-standard-code-for-information-interchange	The character set used by most American computers. Supersets of ASCII contain non-English characters.
Andrew File System (AFS)|andrew-file-system	A specific instance of a <A href="bword://distributed file system">distributed file system (DFS) </A>, developed at <A href="bword://Carnegie-Mellon University (CMU)">Carnegie-Mellon University (CMU) </A>, allowing multiple <A href="bword://file system">file systems </A>to be shared between organizations and treated, at the user interface level, as one giant file system.
ANSI	See <A href="bword://American National Standards Institute (ANSI)">American National Standards Institute (ANSI) </A>.
anycast	A one packet to one from a list of hosts; similar to a broadcast or multicast but the goal is to have exactly one response. See also <A href="bword://broadcast">broadcast </A>, <A href="bword://multicast">multicast </A>, <A href="bword://unicast">unicast </A>.
API	See <A href="bword://Application Programmer Interface (API)">Application Programmer Interface (API) </A>.
AppleTalk Address Resolution Protocol (AARP)|appletalk-address-resolution-protocol	Provides for the dynamic assignment of node identifiers to nodes within an AppleTalk network.
application	See <A href="bword://utility">utility </A>.
Application Extension Facility (AEF)|application-extension-facility	A tool kit for systems administrators to use in customizing a <A href="bword://Tivoli Management Environment (TME)">TME </A>application to specific needs. This does not require any knowledge of how the underlying object system works.
Application Programmer Interface (API)|application-programmer-interface	A programming specification that allows an application programmer to interface to an application or suite of applications.
ARD	See <A href="bword://Automatic Ring Down (ARD)">Automatic Ring Down (ARD) </A>.
ARP	See <A href="bword://Address Resolution Protocol (ARP)">Address Resolution Protocol (ARP) </A>.
article	The base component of <A href="bword://USENET news">USENET news </A>; a group of text written and posted to a network news group.
ASCII	See <A href="bword://American Standard Code for Information Interchange (ASCII)">American Standard Code for Information Interchange (ASCII) </A>.
ASN.1|asn-1|asn1	See <A href="bword://Abstract Syntax Notation One (ASN.1)">Abstract Syntax Notation One (ASN.1) </A>.
Asynchronous Digital Subscriber Line (ADSL)|asynchronous-digital-subscriber-line	An asymmetric high-speed digital network connection, usually between a home or small business and a telecommunications vendor, providing an always-up direct connection to an <A href="bword://Internet Service Provider (ISP)">Internet Service Provider (ISP) </A>. The upstream (from the user to the ISP) and downstream (from the ISP to the user) speeds are dissimilar, and usually the latter is faster than the former. See also <A href="bword://Digital Subscriber Line (DSL)">Digital Subscriber Line (DSL) </A>, <A href="bword://Symmetric Digital Subscriber Line (SDSL)">Symmetric Digital Subscriber Line (SDSL) </A>.
Asynchronous Transfer Mode (ATM)|asynchronous-transfer-mode	A standardized format for <A href="bword://cell">cell </A>relay, with 53-byte cells including a five byte header and 48 bytes of data. Also, the layer in the protocol stack that translates the cells to the physical media.
ATA	See <A href="bword://Advanced Technology Adapter (ATA)">Advanced Technology Adapter (ATA) </A>.
ATM	See <A href="bword://Asynchronous Transfer Mode (ATM)">Asynchronous Transfer Mode (ATM) </A>.
ATM Adaptation Layer	The layer in the <A href="bword://ATM Adaptation Layer">ATM </A>protocols that represents layers four through seven in the <A href="bword:// Open Systems Interconnection (OSI)">OSI </A>seven layer protocol stack. The protocol that turns <A href="bword://packet">packets </A>into <A href="bword://cell">cells </A>.
ATM Forum	A group of organizations responsible for determining the <A href="bword://Asynchronous Transfer Mode (ATM)">ATM </A>standards and its progress within the industry.
attachment	A file included as part of a <A href="bword:// Multipurpose Internet Mail Extensions (MIME)">MIME </A>-compliant or <A href="bword://nextmail">NeXTMail </A>message. An attachment can be sound, graphics, a document file (with text, formatting, and/or graphics), motion pictures, and so on.
audit trail	A file or database that contains a list of changes made to a specific file. The information includes the name of the file, the date and time of the change, the person making the change, and the text of the change itself.
authentication	Verification of the identity of a <A href="bword://principal">principal </A>.
authoritative	A <A href="bword://Domain Name Service (DNS)">DNS </A>server with all the records for a given <A href="bword://domain">domain </A>. (Note that the authorization may not have been granted or delegated to the DNS server.)
authority	The group responsible for administering a <A href="bword://Domain Name Service (DNS)">DNS </A><A href="bword://domain">domain </A>.
authorization	Verification that a <A href="bword://principal">principal </A>has sufficient privilege to perform some specific operation.
Automatic Ring Down (ARD)|automatic-ring-down	A dedicated point-to-point voice facility between two offices of a trading facility. When the sender picks up the telephone handset, automatically ring the receiver's end for direct connections, without the need to dial.
B-channel|b-channel	The <A href="bword://Integrated Services Digital Network (ISDN)">Integrated Services Digital Network (ISDN) </A>channel that carries voice and user data.
back door	A usually hidden or secret means for an external user to break into your host, network, application, or data. See also <A href="bword://virus">virus </A>.
backup	A copy of disk files stored on tape or on another physical disk to prevent permanent data loss. The act of copying disk files to tape or other distinct physical media to prevent permanent data loss.
Backup Domain Controller (BDC)|backup-domain-controller	The server that contains a backup copy of the account database from the <A href="bword://Primary Domain Controller (PDC)">Primary Domain Controller (PDC) </A>. Used for authentication purposes.
Backward Explicit Congestion Notification (BECN)|backward-explicit-congestion-notification	A bit in the <A href="bword://Frame Relay">Frame Relay </A>header that is set when the network router detects congestion from the source direction (or &quotbackward," from the packet's point of view). See also <A href="bword://Forward Explicit Congestion Notification (FECN)">Forward Explicit Congestion Notification (FECN) </A>.
Basic Object Adapter (BOA)|basic-object-adapter	Invokes the performance of a request and returns any results to the client. Also called simply <I>adapter</I>.
BDC	See <A href="bword://Backup Domain Controller (BDC)">Backup Domain Controller (BDC) </A>.
bearer channel	See <A href="bword://B-channel">B-channel </A>.
BECN	See <A href="bword://Backward Explicit Congestion Notification">Backward Explicit Congestion Notification (BECN) </A>.
Berkeley Internet Name Daemon (BIND)|berkeley-internet-name-daemon	An implementation of the <A href="bword://Domain Name Service (DNS)">DNS </A>protocol. Internet name service software, originally written at the University of California at Berkeley and now maintained by the Internet Software Consortium. Distribution includes /usr/sbin/named and sample configuration files.
BGP	See <A href="bword://Border Gateway Protocol (BGP)">Border Gateway Protocol (BGP) </A>.
big six	The top level <A href="bword://domain">domains </A>(<A href="bword://top-level domains (TLD)">TLD </A>) other than .int.
BIND	See <A href="bword://Berkeley Internet Name Daemon (BIND)">Berkeley Internet Name Daemon (BIND) </A>.
binding	A logical connection between a client process and a server process.
block	A unit of disk space containing one or more frags. See <A href="bword://frag">frag </A>.
BOA	See <A href="bword://Basic Object Adapter (BOA)">Basic Object Adapter (BOA) </A>.
Boot Protocol (BOOTP)|boot-protocol	The protocol that defines how a diskless workstation obtains its network address from another host. NeXT workstations also use BOOTP when booted to determine their NetInfo information. Defined in <A href="http://ftp.isi.edu/in-notes/rfc951.txt">RFC 951 </A>and extended by <A href="http://ftp.isi.edu/in-notes/rfc2132.txt">RFC 2132 </A>. See also <A href="bword://Dynamic Host Configuration Protocol (DHCP)">Dynamic Host Configuration Protocol (DHCP) </A>.
BOOTP	See <A href="bword://Boot Protocol (BOOTP)">Boot Protocol (BOOTP) </A>.
Border Gateway Protocol (BGP)|border-gateway-protocol	A protocol, defined in <A href="http://ftp.isi.edu/in-notes/rfc1163.txt">RFC 1163 </A>and later refined in <A href="http://ftp.isi.edu/in-notes/rfc1771.txt">RFC 1771 </A>, that allows the exchange of packets between networks, such as a company intranet and the Internet.
bridge	Networking hardware that connects two network segments into one logical segment.
broadcast	One host broadcasts when it wants every machine (typically on a LAN) to receive the packet or information. See also <A href="bword://anycast">anycast </A>, <A href="bword://multicast">multicast </A>, <A href="bword://unicast">unicast </A>.
call data record (CDR)|call-data-record	Information logged by the <A href="bword://private branch exchange (PBX)">private branch exchange (PBX) </A>that tracks who made or received calls from whom, the duration of the call, and other information. CDR is used to bill back telecommunications charges to the appropriate parties.
callback	A process for invoking a <A href="bword://method">method </A>or a <A href="bword://desktop commands">desktop command </A>, or for using the <A href="bword://gadget">gadget </A>library in an application; the means by which dialogs and gadgets respond to user input. For example, when an administrator makes a selection with the mouse, some action is initiated from the user interface to an underlying object representing some system resource or component; that is, the user interface &quotcalls back" to the <A href="bword://object">object </A>to invoke some method or series of methods.
Carnegie-Mellon University (CMU)|carnegie-mellon-university	The source of a number of widely used computer programs.
Carrier Sense Multiple Access/Collision Detection (CSMA/CD)|carrier-sense-multiple-access-collision-detection|carrier-sense-multiple-access/collision-detection	Multiple machines sharing a network and talking at the same time cause collisions. When the collisions are detected, both machines stop sending, wait a random amount of time, and then try to transmit again.
CAS	See <A href="bword://Channel Associated Signalling (CAS)">Channel Associated Signalling (CAS) </A>.
cascaded operation	An operation in which the first object, originally acting as a server for a client, now becomes a client of a second object on a remote machine, and so on.
CCITT	See <A href="bword://International Telecommunications Union (ITU)">International Telecommunications Union (ITU) </A>.
CCMS	See <A href="bword://Change and Configuration Management Service (CCMS)">Change and Configuration Management Service (CCMS) </A>.
CCS	See <A href="bword://Common Channel Signalling (CCS)">Common Channel Signalling (CCS) </A>.
CDDI	See <A href="bword://Copper Distributed Data Interface (CDDI)">Copper Distributed Data Interface (CDDI) </A>.
CDE	See <A href="bword://Common Desktop Environment (CDE)">Common Desktop Environment (CDE) </A>.
CDR	See <A href="bword://call data record (CDR)">call data record (CDR) </A>.
cell	A 53-byte chunk of data with embedded routing information. The first five bytes are header and the last 48 bytes are the payload or data.
cell loss priority (CLP)|cell-loss-priority	A two-bit field in the<a href="bword://Asynchronous Transfer Mode (ATM)"> ATM header </A>that defines the priority of the cell, for congestion avoidance and data loss routines.
cell relay	See <A href="bword://Asynchronous Transfer Mode (ATM)">Asynchronous Transfer Mode (ATM) </A>.
central processing unit (CPU)|central-processing-unit	That part of the computer that performs the actual processing; the machine instruction executor. Also used to refer to the unit of the computer that contains the CPU chip (such as the workstation base in a NeXT slab); that part of the computer apart from the monitor and keyboard and mouse.
CERT	See <A href="bword://Computer Emergency Response team (CERT)">Computer Emergency Response team (CERT) </A>.
CGI	See <A href="bword://Common Gateway Interface (CGI)">Common Gateway Interface (CGI) </A>.
Change and Configuration Management Service (CCMS)|change-and-configuration-management-service	Management by subscription. Allows applications to create abstract, architecture- and platform-independent profiles that describe configuration settings for the resources and services they manage.
Channel Associated Signalling (CAS)|channel-associated-signalling	Signalling bits are transmitted in-band, along with the digitized voice itself.
CICS	See <A href="bword://Customer Information Control System (CICS)">Customer Information Control System (CICS) </A>.
CIDR	See <A href="bword://Classless Internet Domain Routing (CIDR)">Classless Internet Domain Routing (CIDR) </A>.
CIFS	See <A href="bword://Common Internet File System (CIFS)">Common Internet File System (CIFS) </A>.
CISM	see: Change Integration and Software Management (CISM)
Classless Internet Domain Routing (CIDR)|classless-internet-domain-routing	A protocol (defined in <A href="http://ftp.isi.edu/in-notes/rfc1467.txt">RFC 1467 </A>) that allows for variable-length addresses that allows for more- and less-specific routing information. This replaces the old class A, class B, class C routing scheme.
clean	The <A href="bword://file system">file system </A>is guaranteed to have a static, stable structure. Only unmounted filesystems or read-only file systems are clean by definition.
CLI	See <A href="bword://command line interface (CLI)">command line interface (CLI) </A>.
client	The requestor of a service as provided by a <A href="bword://server">server </A>. For example, a "<A href="bword://Tivoli Management Environment (TME)">TME </A>client" is a managed node; xterm is an X Window System client.
client stub	An <A href="bword://Object Request Broker (ORB)">ORB </A>interface that provides for the collection, transmission, marshaling and unmarshaling of data.
client/server model|client-server-model	The structure by which services are implemented. A client process on one host makes a request that a server process (which may or may not be on another host) fulfills.
clone	Copy. A clone NetInfo server is an exact copy of a master NetInfo server in the same subdomain. See <A href="bword://domain">domain (2) </A>, <A href="bword://NetInfo">NetInfo </A>.
CMU	See <A href="bword://Carnegie-Mellon University (CMU)">Carnegie-Mellon University (CMU) </A>.
CNAME record	See <A href="bword://DNS record types">DNS record types, CNAME record </A>.
collection	A group of objects, with or without any particular relationships other than belonging to a named group.
collision	When two interfaces on the same physical network transmit at the same time, the packets interfere with each other. This collision causes data loss so the interfaces have to retransmit the data.
command line interface (CLI)|command-line-interface	A line-based (as opposed to a screen-based) interface between the user and an application.
Common Channel Signalling (CCS)|common-channel-signalling	Signalling bits are transmitted out-of-band, in a separate channel from the digitized voice. Typically a number of voice channels have their signalling combined together into a single signalling channel.
Common Desktop Environment (CDE)|common-desktop-environment	A common windowing scheme, based on the X11 Motif system, used both in Solaris and HP-UX, to provide a similar look and feel for users.
Common Gateway Interface (CGI)|common-gateway-interface	A method to allow the user to interact with HTML documents; CGI allows the use of forms and scripts on the World Wide Web (WWW). See also <A href="bword://HyperText Markup Language (HTML)">HyperText Markup Language (HTML) </A>, <A href="bword://World Wide Web (WWW)">World Wide Web (WWW) </A>.
Common Internet File System (CIFS)|common-internet-file-system	The name for Microsoft's version of a networked <A href="bword://file system">file system </A>. See also <A href="bword://Network File System">Network File System (NFS) </A>, <A href="bword://Windows NT File System">Windows NT File System (NTFS) </A>.
Common Object Request Broker Architecture (CORBA)|common-object-request-broker-architecture	An <A href="bword://Object Management Group ">OMG </A>and <A href="bword://X/Open">X/Open </A>specification introducing <A href="bword://Interface Definition Language (IDL)">IDL </A>, <A href="bword://ORB">ORB </A>and <A href="bword://BOA">BOA </A>. The current version is CORBA 1.1. <A href="bword://CORBA">CORBA </A>was adopted by OMG from a joint proposal by Digital Equipment Corporation, Hewlett-Packard Company, HyperDesk Corporation, NCR Corporation, Object Design, Inc., and SunSoft, Inc.
Computer Emergency Response Team (CERT)|computer-emergency-response-team	The CERT Coordination Center is the organization that grew from the computer emergency response team formed by the <A href="bword://DARPA">Defense Advanced Research Projects Agency (DARPA) </A> in November 1988 in response to the needs identified during the Internet worm incident. The CERT charter is to work with the Internet community to facilitate its response to computer security events involving Internet hosts, to take proactive steps to raise the community's awareness of computer security issues, and to conduct research targeted at improving the security of existing systems.
Computer-Telephony Integration (CTI)|computer-telephony-integration	The integration of computers and telephone equipment; a computer performing telephone services, such as placing calls or acting as an answering machine.
concatenated stripe	Allows multiple disk partitions to be treated as a single large partition by the kernel. See also <A href="bword://Disk Suite">Disk Suite </A>.
Copper Distributed Data Interface (CDDI)|copper-distributed-data-interface	A high-speed networking standard whose underlying medium is copper or telephone cable. The topology is dual-attached, counter-rotating Token Ring. See also <A href="bword://Fiber Distributed Data Interface (FDDI)">Fiber Distributed Data Interface (FDDI) </A>.
CORBA	See <A href="bword://Common Object Request Broker Architecture (CORBA)">Common Object Request Broker Architecture (CORBA) </A>.
CPE	See <A href="bword://customer premise equipment (CPE)">customer premise equipment (CPE) </A>.
CPU	See <A href="bword://central processing unit (CPU)">central processing unit (CPU) </A>.
cracker	One who cracks, or breaks into, machines and/or networks. One who breaks passwords. See also <A href="bword://hacker">hacker </A>.
credentials package	A cryptographically sealed data package containing information about the principal, method, object, location, and authorization of a request.
CSMA/CD|csma-cd	See <A href="bword://Carrier Sense Multiple Access/Collision Detection (CSMA/CD)">Carrier Sense Multiple Access/Collision Detection (CSMA/CD) </A>.
CTI	See <A href="bword://Computer-Telephony Integration (CTI)">Computer-Telephony Integration (CTI) </A>.
Customer Information Control System (CICS)|customer-information-control-system	The IBM architecture underlying the e-mail system, defining a region or domain for electronic mail delivery.
customer premise equipment (CPE)|customer-premise-equipment	Telecommunications equipment located at a customer site (relative to the telephone or telecommunications company).
cylinder	The same track from each platter of a disk. See also <A href="bword://platter">platter </A>.
cylinder group	A group of consecutive cylinders. See <A href="bword://cylinder">cylinder </A>.
D-channel|d-channel	A dedicated data channel for <A href="bword://Integrated Services Digital Network (ISDN)">Integrated Services Digital Network (ISDN) </A>configuration and set-up.
DARPA	See <A href="bword://Defense Advanced Research Projects Agency (DARPA)">Defense Advanced Research Projects Agency (DARPA) </A>.
Data Encryption Standard (DES)|data-encryption-standard	A non-trivial algorithm for encrypting data, classified as a munition by the United States Department of Commerce and Department of State.
data marshaling|data-unmarshaling	The conversion of data back and forth between some local format and a common interchange format. Marshaled data is in the canonical <A href="bword://eXternal Data Representation (XDR)">eXternal Data Representation (XDR) </A>format <A href="bword://Abstract Syntax Notation One (ASN.1)">Abstract Syntax Notation One (ASN.1) </A>.
database	A collection of data organized for rapid search and retrieval by a computer.
DCE	See <A href="bword://Distributed Computing Environment (DCE)">Distributed Computing Environment (DCE) </A>.
DCS	See <A href="bword://Digital Cross-connect System (DCS)">Digital Cross-connect System (DCS) </A>
Defense Advanced Research Projects Agency (DARPA)|defense-advanced-research-projects-agency	The central research and development organization for the United States Department of Defense. It manages and directs selected basic and applied research and development projects for the Department, and pursues research and technology where risk and payoff are both very high and where success may provide dramatic advances for traditional military roles and missions and dual-use applications.
DEL	See <A href="bword://Dialog Editing Library (DEL)">Dialog Editing Library (DEL) </A>.
demilitarized zone (DMZ)|demilitarized-zone	An area of a network, typically between the internal corporate network and either the external Internet or a partner, vendor, or client, usually between firewalls, providing some service or services. Part of a security system. See also <A href="bword://firewall">firewall </A>.
demux	See <A href="bword://multiplex">multiplex </A>.
DES	See <A href="bword://Data Encryption Standard (DES)">Data Encryption Standard (DES) </A>.
desktop	A display of one or more icons representing system resources.
Desktop Commands (DTC)|desktop-commands	Commands used in the <A href="bword://Advanced Development Environment (ADE)">Advanced Development Environment (ADE) </A>to manipulate a <A href="bword://dialog">dialog </A>instance.
DFS	See <A href="bword://distributed file system (DFS)">distributed file system (DFS) </A>.
DHC	See <A href="bword://Dynamic Host Configuration (DHC)">Dynamic Host Configuration (DHC) </A>.
DHCP	See <A href="bword://Dynamic Host Configuration Protocol (DHCP)">Dynamic Host Configuration Protocol (DHCP) </A>.
dialog	A two-way communication link between an administrator and one or more TME resources.
Dialog Editing Library (DEL)|dialog-editing-library	A library of C functions that permits dynamic, persistent creation and editing of dialog descriptors at run-time. See also <A href="bword://Advanced Development Environment (ADE)">Advanced Development Environment (ADE) </A>.
Dialog Specification Language (DSL)|dialog-specification-language	Provides the dialog layout and interaction for handling application output and input. See <A href="bword://gadget">gadget </A>.
Digital Cross-connect System (DCS)|digital-cross-connect-system	Pronounced "dax;" a digital version of or replacement for the analog data center patch panels.
Digital Private Network Signalling System (DPNSS)|digital-private-network-signalling-system	A <A href="bword://Common Channel Signalling (CCS)">Common Channel Signalling (CCS) </A>protocol used in telecommunications networks.
Digital Subscriber Line (DSL)|digital-subscriber-line	A high-speed digital network connection, usually between a home or small business and a telecommunications vendor, providing an always-up direct connection to an <A href="bword://Internet Service Provider (ISP)">Internet Service Provider (ISP) </A>. It can be either <A href="bword://Asynchronous Digital Subscriber Line (ADSL)">asymmetric </A>where the upstream and downstream speeds are dissimilar, or <A href="bword://Symmetric Digital Subscriber Line (SDSL)">symmetric </A>where the upstream and downstream speeds are the same.
DII	See <A href="bword://Dynamic Invocation Interface (DII)">Dynamic Invocation Interface (DII) </A>.
directive	(Security.) Specific actions to be taken and directions to be followed in implementing a <A href="bword://policy">policy </A>. Adherence to directives is <I>mandatory</I> for users.
dirty	Not clean. A filesystem is <I>dirty</I> if it is in use or if there is no guarantee that the file system structure is static.
Disk Operating System (DOS)|disk-operating-system	The term DOS can refer to any operating system, but it is most often used as a shorthand for Microsoft's MS-DOS. Originally developed by Microsoft for <A href="bword://IBM">IBM </A>, MS-DOS was the standard operating system for IBM-compatible personal computers.
Disk Suite	A product from Sun Microsystems that allows the kernel to treat multiple distinct disk partitions as larger logical partitions (up to one terabyte per logical partition). It also allows for mirroring data, or storing data on multiple partitions simultaneously.
DISOSS	See <A href="bword://Distribution Office Support Systems (DISOSS)">Distribution Office Support Systems (DISOSS) </A>.
Distance Vector Multicast Routing Protocol (DVMRP)|distance-vector-multicast-routing-protocol	A non-hierarchical, non-scaling multicast routing protocol, defined in <A href="http://ftp.isi.edu/in-notes/rfc1075.txt">RFC 1075 </A>.
Distributed Computing Environment (DCE)|distributed-computing-environment	An <A href="bword:// Open Software Foundation ">OSF </A>product. A windowing environment similar to Motif.
distributed file system (DFS)|distributed-file-system	A <A href="bword://file system">file system </A>that is distribtued across multiple geographic sites yet which appears to be a single local <A href="bword://file system">file system </A>to the user. See also <A href="bword://Andrew File System (AFS)">Andrew File System (AFS) </A>, <A href="bword://Institutional File System (IFS)">Institutional File System (IFS) </A>.
Distribution Office Support Systems (DISOSS)|distribution-office-support-systems	The <A href="bword://IBM">IBM </A><A href="bword://SNA">SNA </A> electronic mail routing architecture for their mainframes. A distributed electronic mail system.
diversely routed	A network is <I>diversely routed</I> if there are multiple routes from point A to point B.
DMZ	See <A href="bword://demilitarized zone (DMZ)">demilitarized zone (DMZ) </A>.
DNS	See <A href="bword://Domain Name Service (DNS)">Domain Name Service (DNS) </A>.
DNS record types	A- <B>Address</B>, specifying the IP address<BR>CNAME- <B>Canonical name</B>, an alias pointing to the true name of the host. Requires its right hand side to have an A record.<BR>HINFO- <B>Host information</B>, detailed information about the specific host, such as location or operating system version.<BR>LOC- <a href="http://ftp.isi.edu/in-notes/rfc1712.txt">Location </A>, specifies the geographical location of the host.<BR>MX- <a href="http://ftp.isi.edu/in-notes/rfc974.txt">Mail exchange </A>, specifies that the host on the left side will accept mail for the host on the right hand side at the priority shown (lower is preferred).<BR>NS- <B>Name server</B>, specifies a host that will act as a domain name server for the specified domain.<BR>PTR- <B>Pointer</B>, used to provide <a href="bword://reverse lookup">reverse lookups </A>.<BR>RP- Responsible person, the contact information for the specified domain.<BR>SOA- <B>Start of authority</B>, the meta information for the specified zone. Contains email<BR>information, a serial number, and the time to live values. The specific format is defined in <a href="http://ftp.isi.edy/in-notes/rfc2181.txt">RFC 2181 </A>.<BR>TXT- <B>Text</B>, a comment on the record. Otherwise ignored.<BR>WKS- <B>Well-known services</B>, lists those services for a host. Allows for mnemonics (http,smtp, telnet) instead of specifying port numbers (80, 25, 21).
domain	1. The trailing portion of a fully qualified host address, typically in an e-mail context. See <A href="bword://fully qualified domain name (FQDN)">fully qualified domain name (FQDN) </A>. 2. A level in a NetInfo hierarchy. See <A href="bword://NetInfo">NetInfo </A>. <BR>3. An organization of machines (clients, master servers, and slave servers) and maps in NIS. See <A href="bword://Network Information Service (NIS)">Network Information Service (NIS) </A>.<BR>4. A section of the Internet name space. See <A href="bword://Domain Name Service (DNS)">Domain Name Service (DNS) </A>.
domain level	A level in a NetInfo domain hierarchy. See <A href="bword://NetInfo">NetInfo </A>.
Domain Name Service (DNS)|domain-name-service	A <A href="bword://User Datagram Protocol (UDP)">UDP </A>protocol (defined in <A href="http://ftp.isi.edu/in-notes/rfc2181.txt">RFC 2181 </A>) for resolving names to IP addresses and vice versa. This leads to a hierarchical host naming structure which gives each computer on a network a unique name. See also <A href="bword://fully qualified domain name (FQDN)">fully qualified domain name (FQDN) </A>, <A href="bword://resolver">resolver </A>.
DOS	See <A href="bword://Disk Operating System (DOS)">Disk Operating System (DOS) </A>.
DPNSS	See <A href="bword://Digital Private Network Signalling System (DPNSS)">Digital Private Network Signalling System (DPNSS) </A>.
drag-and-drop	The action of dragging an item with the mouse from one location to another, and releasing the mouse button at the destination.
DS0|ds0|ds1|ds3	Indicators of speed of data transfer over telecommunications lines, where: <BR><BR>DS0- A single 64 Kb/s channel. <BR>DS1- A T1 line (1.544 Mb/s), or 24 DS0s. <BR>DS3- A T3 line (45 Mb/s), or 28 DS1s. <BR><BR>The errors (if you do the math) are due to clocking information and overhead in managing the multiplexing of the channels on the fiber.
DSL	1. See <A href="bword://Dialog Specification Language (DSL)">Dialog Specification Language (DSL) </A>.<BR>2. See <A href="bword://Digital Subscriber Line (DSL)">Digital Subscriber Line (DSL) </A>.
DTC	See <A href="bword://Desktop Commands (DTC)">Desktop Commands (DTC) </A>.
DVMRP	See <A href="bword://Distance Vector Multicast Routing Protocol (DVMRP)">Distance Vector Multicast Routing Protocol (DVMRP) </A>.
Dynamic Host Configuration (DHC)|dynamic-host-configuration	A task force or group within the <A href="bword://Internet Engineering Task Force (IETF)">Internet Engineering Task Force (IETF) </A>which developed the Dynamic Host Configuration Protocol (DHCP) to supercede the aging <A href="bword://Boot Protocol (BOOTP)">Boot Protocol (BOOTP) </A>.
