##name	European Defence Agency Acronyms
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	European Defence Agency 
##copyright	� 2005-2008  <a href="http://www.eda.europa.eu/Default.aspx">European Defence Agency</a>. ( <a href="bword://About the European Defence Agency Acronyms">About</a> )
##description	The List of EDA acronyms (as of 21st September 2007) contains the most relevant acronyms from the field of Europe's defence policy. <p>The European Defence Agency (EPA)was established under a <i>Joint Action of the Council of Ministers on 12 July, 2004</i>, "to support the Member States and the Council in their effort to improve European defence capabilities in the field of crisis management and to sustain the <i>European Security and Defence Policy</i> as it stands now and develops in the future�.</p>
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/03/24, 05:38
##bgl_middleUpdated	2008/03/24, 05:51
##bgl_lastUpdated	2008/03/24, 05:51
21st CSS	21st Century Soldier System<br>
SGT	Satellite Ground Terminals <br>
SGTF	Sub Group Test Facilities<br>
SHAPE	Supreme Headquarters Allied Powers Europe<br>
SHEP	Super High Energy Propellants<br>
SI	Slovenia (Participating Member State)<br>
SIGINT	Signal Intelligence<br>
SIMPLE	Scalable Multi-Function Radar Programme Implementation<br>
SIO	Security Information Officer <br>
SIP	System in Package <br>
SIPRI	Stockholm International Peace Research Institute<br>
SITCEN	(EU) Joint Situation Centre<br>
SK	Slovakia (Participating Member State)<br>
SMEs	Small and Medium-sized Enterprises<br>
SMRF	Scalable Multi-Function Radar Programme<br>
SNE	Seconded National Expert <br>
SOA	Service-Oriented Architecture<br>
SOF	Special Operations Forces <br>
SOFA	Status of Forces Agreement<br>
SOP	Standard Operational Procedures <br>
SOPF	Separation of Parties by Force<br>
SOX	Solid Oxygen<br>
SPC	Soldier Prime Contractor (Team)<br>
SPME	Solid Phase Micro Extraction<br>
SPOD	Seaport of Disembarkation <br>
SPOE	Seaport of Embarkation <br>
SPREWS	Signal Processing for Radar and EW Systems <br>
SRB	Solid Rocket Booster; or Senior Resource Board (NATO)<br>
SRD	System Requirement Document <br>
SRM	Solid Rocket Motor <br>
SRMU	Solid Rocket Motor Upgrade<br>
SSA	Shared Situation Awareness <br>
SSC	Strategic Studies Committee <br>
SSR	Security Sector Reform <br>
STANAG	Standardisation Agreement (NATO) <br>
STD	Shared Test Data <br>
STF	Space Task Force <br>
STF	Support to the Military Force<br>
SW	Software<br>
SYNTAS	Synthesis Tooling for Antenna Structures<br>
SoI	Security of Information <br>
SoS	Security of Supply <br>
T&E	Test & Evaluation <br>
TA	Technical Arrangement or Target Acquisition<br>
TBA	To be assessed <br>
TBC	To be confirmed <br>
TBD	To be determined <br>
TBMD	Theatre (Tactical) Ballistic Missile Defence<br>
TDP	Technology Demonstrator Project (or Programme)<br>
TEAM	Test and Evaluation Ad Hoc Management (set up by LoI countries) <br>
TEC	Treaty Establishing the European Communities<br>
TECHINT	Technical Intelligence<br>
TEMPO	Technologies for the Miniaturisation and the Packaging Of true time delay modules<br>
TEU	Treaty of the European Union<br>
TF	Task Force<br>
TIES	Tactical Imagery Exploitation Station<br>
TIM	Toxic Industrial Material <br>
TLCM	Through Life Capability Management<br>
TOS	Transfer of Orbit <br>
TOTS	Technology OTS (Off the Shelf)<br>
TRL	Technology Readiness Level <br>
TS-MS	Thermo Spray - Mass Spectrometry<br>
TSGT	Transportable Satellite Ground Terminal<br>
TT	Technology Taxonomy<br>
TTP	Tactics, Techniques, Procedures <br>
TU	Turkey<br>
TVC	Thrust Vector Control <br>
ToRs	Terms of Reference <br>
UAS	Unmanned Aerial System <br>
UAV	Unmanned Aerial Vehicle <br>
UCAV	Unmanned Combat Air Vehicle<br>
UGV	Unmanned Ground Vehicle <br>
UIAT	Universal Intelligence Analysis Toolkit<br>
UIAT	Universal Intelligence Analyst’s Tool<br>
UK	United Kingdom (Participating Member State)<br>
UMTS	Universal Mobile Telecommunication System<br>
UN	United Nations<br>
UOR	Urgent Operational Requirements <br>
URD	User Requirement Document <br>
US	United States<br>
US	Upper Stage<br>
USV	Unmanned Surface Vehicle <br>
UUV	Unmanned Underwater Vehicle <br>
UoME	Understanding of Mission Environment<br>
VTC	Video-Tele-Conferencing<br>
VTOL	Vertical take off and landing (from and to the ship deck) <br>
WAN	Wide Area Network <br>
WE	Work Element<br>
WEAG	Western European Armaments Group<br>
WEAG APG	WEAG Ad Hoc Project Group<br>
WEAG CEPA	WEAG Common European Priority Area<br>
WEAO	Western European Armaments Organisation<br>
WEAO RC	WEAO Research Cell<br>
WF	Waveforms<br>
WINTSEC	Wireless Interoperability for Security (an EC study project)<br>
WMD	Weapons of Mass Destruction<br>
WP	Work Package<br>
WP	Work Programme<br>
WPAN	Wireless Personal Area Network<br>
cMS	contributing Member State <br>
pMS	Participating Member States (in EDA)<br>
sMS	Subscribing Member States (to EDA Code of Conduct)<br>
