##name	International Relations and Security Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2003/07/01, 19:57
##author	Hans Johnsson
##email	Oblomov@home.se
##description	Acronyms on International Relations and Security <BR>Sources amongst others: <BR>NATO Handbook: Appendix 7  - Abbreviations in Common Use
##browsingEnabled	
##bgl_creationTime	2001/05/14, 15:49
247B1810.bmp	File: 247B1810.bmp
AAYPL	Atlantic Association of Young Political Leaders <BR> <BR><I>Part of the Atlantic Treaty Association (</I><A href='bword://ATA'>ATA</A><I>)</I> <BR> <BR> <I>Created in the sixties, the association regroups young political elected representatives from countries members of </I><A href='bword://NATO'>NATO</A><I> and of the </I><A href='bword://pfp'>Partnership for Peace</A><I>. <BR> <BR>The AAYPL organizes seminars, conferences and study trips which enable its members to discuss topics of common interest.</I>
AB	Aviation Boatswain (mate); Afterburner; Air Base
ABATE	Analog Based Automatic Test Equipment
ABC	Advanced Base Components
ABCAIRSTD	ABC Air Standardization Agreement
ABCCC	Airborne battlefield command &amp; control center
ABCD	Advanced Base Construction Depot
ABCL	As-Built Configuration List
ABDA	World War II acronym for the 1942 cooperative American-British-Dutch-Australian defense of the Pacific and Indian Ocean theater
ABERDEEN	World War II code name for Chindit stronghold near Manhton, Burma
ABF	Annular Blast Fragmentation; Advanced Bomb Family
ABFC	Advance Base Functional Components
ABFRL	Advanced Base Facilities Requirements List
ABILENE	Gulf War VII Corps phase line
ABIOL	Advanced Base Initial Outfitting List
ABISL	Advanced Base Initial Support List
ABL	Allegheny Ballistics Lab; Allocated Base Line, Armored Box Launcher
ABLE	Acquisition Based on Logistics Effects; Advanced Base Logistics Envelope
ABLE SENTRY	United States European Command operations in Macedonia (Former Republic of Yugoslavia)
ABM	AntiBallistic Missile (Treaty 1972)
Abn	Airborne
ABO	Aviators Breathing Oxygen; Air Base Order
ABSLA	Approved Basic Stock Level Allowance
AC	Active Component
ACA	Advanced Cargo Aircraft (USA)
ACAS	Automatic Collision Avoidance System
ACAT	Acquisition Category
ACB	Aircrew System Bulletin
ACC	Aircraft Controlling Custodian
ACCB	Aircraft Configuration Control Board
ACCESS	Afloat Consumption, Cost and Effective Surveillance System
ACCHAN	Allied Command Channel
ACCIS	Automated Command and Control Information System
ACCOLADE	World War II seizure of the Dodecanese
ACCS	Army Command and Control System; Automated Calibration and Checkout System
ACCUM	Accumulated
ACD	Aircraft Change Directive
ACDA	Arms Control and Disarmament Agency
ACDS	Advanced Combat Direction System
ACDUTRA	Active Duty for Training
ACE	Advanced Cockpit technology Evaluator
ACES	Arrow Continuation Experiments (Israel interceptor missile program)
ACEWEX	ACE Weather Exchange
ACFT	Aircraft
ACGIH	American Conference of Governmental Industrial Hygienists
ACHC	Aircraft Handling Crew
ACHO	Aircraft Handling Officer
ACHSE	World War II German plan to take control of Italy
ACI	Allocated Configuration Identification
ACIB	Air Characteristics Improvement Board
ACIMD	Advanced Concept Intercept Missile Demonstration
ACINT	Acoustic Intelligence
ACL	Aircraft Circular Letter
ACLANT	Allied Command Atlantic
ACLS	Automated Control and Landing System
ACM	Air Combat Maneuver; Anti-Cruise Missile; Advanced Cluster Munitions; Advanced Missile Cruise
ACMI	Air Combat Maneuvering Instrumentation
ACMM	Air Combat Maneuver Mode
ACMR	Air Combat Maneuvering Range
ACN	Advance Change Notice; Activity Control Number
ACNO	Assistant Chief of Naval Operations
ACO	Administrative Contracting Office; Airfield Coordination Officer; Amphibious Contruction Battalion
ACOMTRAK	Aircraft Composition Tracking (system)
ACOS	Assistant Chief of Staff<BR> <A href='http://www.periscope.ucg.com/terms/t0000009.html'>ACOUSTIC MINE</A><BR> <A href='http://www.periscope.ucg.com/terms/t0000010.html'>ACOUSTIC WARFARE</A>
ACP	Allied communications Publications; Area Coordinating Paper
ACQ	Acquisition <BR>
ACR	Armored Cavalry Regiment (USA)
ACRA	Airlift Concepts and Requirement Agency
ACRC	Area Calibration and Repair Center
ACRV	Armoured command and reconnaissance vehicle
ACS	Artillery Computer System
ACSM	Advanced Conventional Standoff Missile
ACSN	Advance Change Study Notice
ACT	Action; Action Taken; Actual Instrument Time
ACTS	Advanced Communications and Technology Satellite
ACU	Assault Craft Unit
ACV	Air Cushion Vehicle
ACW	Anti-Carrier Warfare
AD	Air Defense
AD&C	Ammunition Distribution and control
ADA	DOD Computer Programming Language; Automatic Data Acquistion
ADAMS	Attribute Data Management System
ADAPS	Automatic Display and Plotting System
ADAPT	Analog-Digital Automatic Program Tester
ADARS	Advanced Defensive Avionics Response Strategy
ADATS	Air Defense Anti-Tank System
ADAWS	Action Data Automation Weapon System
ADB	Aircraft Discrepancy Book
ADBZ	Air Defense Battle Zone
ADC	Air Data Computer; Air Defense Command; Aircraft Directives Configuration; Analog to Digital Converter
ADCAP	Advanced Capability (Mk 48 torpedo)
ADCIS	Air Defence Command Information System (British)
ADCN	Advance Design Change Notice
ADCON	Advise All Concerned; Administrative Control
ADDISS	Advanced Deployable Digital Imagery Support System
ADDS	Army Data Distribution System
ADE	Average Differential Effect
ADEPT	Analysis-Based Data Exchange for Publication and Training
ADF	Automatic Direction Finder; Air Defense Fighter; Acquisition Data Form
ADFS	Automated Data Filing System
ADGE	Air Defense Ground Environment
ADI	Attitude Direction Indicator; Air Defense Initiative
ADIMS	Ammunition Disposal Information Management System
ADIZ	Air Defense Identification Zone
ADJ	Adjustment
ADL	Authorized Data List; Automated Data List; Ammunition Data List; Air Datum Line
ADM	Administrative Lead Time; Advanced Development Model
ADMAPS	Automated Document Management and Publishing System
ADMIN	Administrative
ADMRL	Application Data Material Readiness List
ADMSG	Advise by Message
ADO	Advance Development Objective
ADP	Automatic Data Processing; AMRAAM Data Processor; Acceptance Data Package; Advanced Development Proposal
ADPA	American Defense Preparedness Association
ADPC	Automatic Data Processing Center
ADPCM	Adaptive Differential Pulse Code Modulation
ADPE	Automatic Data Processing Equipment
ADPEC	Automatic Data Processing Equipment Code
ADPM	Automatic Data Processing Machine
ADPMU	Automatic Data Processing Maintenance Unit
ADPO	Advanced Development Project Officer
ADPOU	Automatic Data Processing Operations Unit
ADPS	Automatic Data Processing System
ADR	Aircraft Discrepancy Report; Applied Data Research
ADS	Address Directory System; Automatic Data System
ADSHIPDA	Advise Shipping Data
ADT	Administrative Delay Time; Automatic Detection and Tracking
ADTAC	Air Defense Tactical Air Command
ADTAXE	Advise Action Taken
ADTS	Automated Deliverable Tracking System
ADU	Adapter Unit; Azimuth Display Unit
ADV	Air Defense Vehicle
ADVANCE	Army Data Validation and Netting Capability Establishment
ADVCAP	Advanced Capability
ADVON	Advanced Echelon
AE	Ammunition Ship; Aviation Electrician; Assault Echelon; Active Emitter; Age Exploration
AEA	Acquisition Engineering Agent
AEC	Atlantic Education Committee <BR> <BR><I>Part of the Atlantic Treaty Association (</I><A href='bword://ATA'>ATA</A> <I>) </I> <BR> <BR> <I>Created on April 7, 1979, the AECs aim is to promote, under the aegis of the ATA, the latter's activities in the field of education. <BR> <BR>It organizes conferences and symposium and regularly publishes an Information Letter.</I>
AECL	Aircraft and Equipment Configuration List
AED	Automated Engineering Design; Active Emitter Decoy
AEDA	Ammunition Explosives and Dangerous Articles
AEF	Air Expeditionary Force
AEGIS	<A href='http://www.periscope.ucg.com/terms/t0000016.html'>AERIAL PORT</A><BR> <A href='http://www.periscope.ucg.com/terms/t0000017.html'>AEROSPACE</A>
AEL	Allowance Equipage List
AEMS	Aircraft Engine Management System
AEP	Allied Equipment Publications
AEPS	Aircrew Escape Propulsion System
AER	Alteration Equivalent to Repair
AERO	Automatic Engineering Readout; Aeronautical Equipment Reference Ordinal
AERPA	Advanced Equipment Repair Program
AESA	Advanced Electronically Scanned Array (-Radar)
AESF	AMRAAM Engineering Support Office
AESO	Aircraft Environmental Support Office
AESR	Aeronautical Equipment Service Record
AESS	Allied Environmental Support System
AETAS	Active Emitter Target Auxiliary System
AETC	Air Eduction and Training Command (USAF)
AETSP	Active Emitter Threat Simulation Program
AEV	Armoured engineer vehicle
AEW	Airborne Early Warning; Airborne Electronic Warfare
AEW&C	Airborne early-warning and control
AEWTS	Advanced Electronic Warfare Test Set
AF	Audio Frequency
AFA	Air Force Association
AFAD	Air Force Acquisition
AFALC	Air Force Acquisition Logistic Center
AFAO	Approved Force Acquisition Objective
AFAP	Artillery-Fired Atomic Projectiles
AFARV	Armored Forward Area Rearm Vehicle
AFAS	Advanced Field Artillery System
AFATDS	Advanced Field Artillery Tactical Data System
AFB	Approved Force Acquisition Objective
AFC	Airframe Change
AFCEA	Armed Forces Communications and Electronics Assn
AFCENT	Allied Forces Central Europe (NATO)
AFCMC	Air Force Contract Maintenance Center
AFCOLA	Air Force Coordinated Office for Logistics Analysis
AFCOLR	Air Force Coordinating Committee for Logistics Research
AFCOS	Armed Forces Courier Service
AFCS	Automatic ( or adaptive) Flight Control System
AFD	Arm/Fire Device
AFEMMIS	Air Force Equipment Management Information System
AFFF	Aqueous Film Forming Foam
AFFTC	Air Force Flight Test Center
AFIMMSS	Air Force Information Maintenance Manufacturing Support System
AFIMS	Air Force Information Management System
AFISA	USAF Intelligence Service
AFIT	Air Force Institute of Technology
AFLC	Air Force Logistics Command (USAF)
AFLCR	Air Force Logistics Command Regulation
AFM	Aviation Fleet Maintenance; Air Force Manual
AFMC	Air Force Material Command (USAF)
AFMETCALP	Air Force Metrology and Calibration Program
AFN	Armed Forces Network (TV-radio)
AFNORTH	Allied Forces Northern Europe
AFNORTHWEST	Allied Forces Northwestern Europe
AFOE	Assault Follow-On Echelon (amphibious force)(USMC)
AFOG	Airfield Operation Group
AFOTEC	Air Force Operational Test and Evaluation Center
AFP	Approval for Full Production; Armed Forces of the Philippines
AFPCH	Army Force Planning Cost Handbook
AFPE	Air Force Preliminary Evaluation
AFPI	Air Force Procurement Instruction
AFPISEC	Air Force Plan for Intelligence Support to Electronic Combat
AFPR	Air Force Plant Representative
AFPRO	Air Force Plant Representative's Office
AFQT	Armed Forces Qualification Test
AFR	Aircraft Flight Record; Air Force Regulation
AFREP	Aviation Supply Office Field Representative
AFRS	Automatic Flight Reference System
AFS	Combat Stores Ship
AFSATCOM	Air Force Satellite Communications System
AFSC	Air Force Systems Command (USAF)
AFSCM	Air Force Systems Command Manual
AFSK	Audio Frequency Shift Keying
AFSOC	Air Force Special Operations Command
AFSOUTH	Allied Forces South
AFSPC	Air Force Space Command (USAF)
AFSS	Advanced Fire Support System
AFSWP	Armed Forces Special Weapon Project
AFTA	Avionics Fault Tree Analysis
AFTEC	Air Force Test and Evaluation Center
AFTI	Advanced Fighter Technology Integration Program
AFTO	Air Force Technical Order
AFTOMS	Air Force Technical Order Management System (formerly ATOS)
AFTP	AMRAAM Flight Test Plan
AFTPWG	AMRAAM Flight Test Plan Working Group
AFTS	Airborne Flight Termination System
AFTU	Airborne Flight Termination Unit
AFV	Armored Fighting Vehicle
AFWTF	Atlantic Fleet Weapons Training Facility <BR>
AG	Arresting Gear; Angle Gate
AGARD	Advisory Group for Aerospace Research and Development (reorganised under the NATO Research and Technology Organisation (RTO))
AGC	Automatic Gain Control
AGDS	Deep Submergence Support Ship
AGE	Aerospace Ground Equipment
Agent-15|Agent15	Psychedelic drug, chemical warfare agent. <BR> <BR>Little information is publicly known about Agent-15, except that it is closely related to <A href='bword://BZ'>BZ</A> . The understanding of its physiological effects is based on studies with the latter agent. <BR> <BR>The existence of Agent-15 in Iraq's arsenals was revealed by the British Secretary of State George Robertson in a statement to the House of Commons on 9 February 1998. According to the statement, Iraq may have possessed large quantities of the agent since the 1980s. A document found by the UN Special Commission on Iraq (UNSCOM) in August 1995 contained a brief reference to Agent-15 and subsequent assessment of relevant scientific and other background material indicated the size of the stockpile. <BR> <BR>Agent-15 belongs to the glycollates, a large group of chemicals which also includes the chemical warfare agent BZ. <BR> <BR>The chemicals block cholinergic nerve transmission in the central and peripheral nervous system. The main effects of exposure to Agent-15 are believed to be: dilated pupils, flushed faces, dry mouth, rapid heart beat (tachycardia), increase in skin and body temperature, weakness, dizziness, disorientation, visual hallucinations, confusions, loss of time sense, loss of coordination and stupor. <BR> <BR>More information: <BR><A href='http://projects.sipri.se/cbw/'>SIPRI Chemical and Biological Warfare Project </A>
AGERD	Aerospace Ground Equipment Requirement Document
AGES	Air-to-Ground Engagement System
AGFCS	Automatic Gunfire Control System
AGI	Auxiliary Gathering Intelligence
AGL	Above Ground Level
AGM	Air to Ground Missile; Missile Range Instrumentation Ships, Air Surface Attack Missile
AGMC	Aerospace Guidance and Metrology Center
AGOR	Oceanographic Research Ship
AGP	Aircraft Gun Pod
AGR	Active Guard and Reserve
AGS	Aircraft Generation Squadron, Surveying Ship
AGW	Autonomous Guided Weapon (USAF)
AH	Attack Helicopter (USA designation)
AH-64D|AH64|AH64D	Apache Longbow Attack Helicopter
AHIP	Army Helicopter Improvement Program
AHMV	Advanced High-Mobility Vehicle
AHP	Analytic Hierarchy Process
AHRS	Attitude Heading Reference System
AI	Air Intelligence
AIA	Aerospace Industries Association Autopilot Integral Antenna
AIAA	American Institute of Aeronautics and Astronautics
AIAAM	Advanced Intercept Air to Air Missile (Phoenix Follow-On)
AIC	Allowance Item Code; Air Intercept Controller; Activity Identification Code
AICUZ	Air Installations Compatible Use Zone
AID	Agency for International Development
AIFV	Armoured infantry fighting vehicle
AIG	Address Indicator Group
AII	Automated Item Identification
AIIM	Association of Information and Image Management
AIK	Assistance In Kind <BR>
AILC	AMRAAM International Licensing Company
AILS	Automated Integrated Logistic System
AIM	Alternative Information Network <BR><BR><BR>AIM (<B>A</B>lternativna <B>I</B>nformativna <B>M</B>reža) is a network of independent journalists in former Yugoslavia and the southern Balkans which provides a service of in-depth information in the local languages and in English.<BR><BR><BR>AIM is supported financially by the governments of Germany, Ireland and Switzerland, by the Council of Europe and Swedish Helsinki Committee, within the framework of the Stability Pact for the Balkans.<BR><BR>Official Home Page:<BR>http://www.aimpress.ch/index.htm <BR>.<BR><BR>Alternatively:<BR><BR>Air Intercept Aerial Missile; <BR><BR>Authoring of Instructional Material; <BR><BR>Airmen Information Manual; <BR><BR>Air Launched, Aerial Intercept, Guided Missile
AIMD	Aircraft Intermediate Maintenance Department
AIMI	Aviation Intermediate Maintenance Improvement Program
AIMS	Airborne Inert Missile Simulator; Aircraft In-flight Monitoring System; Navy ATC Radar Beacon System Identification, Friend or Foe MK XII System
AIMSO	Aircraft Intermediate Maintenance Support Office
AIMT	Artificial Intelligence- Based Maintenance Tutor
AIP	Ammunition Issue Point
AIPS	Advanced Integrated Propulsion System
AIR	Aviation Item Reports; Aircraft Incident Report; Aircraft Inventory Record; Aerospace Information Report
AIR BREATHER|"AIR BREATHER"	Air-Breathing Missiles/Airplane
AIRCENT	Allied Air Forces Central Europe
AIRLANT	Commander, Air Force, U.S. Atlantic Fleet
AIRMOBILE	OPERATIONS<BR><A href='http://www.periscope.ucg.com/terms/t0000027.html'> </A><BR>
AIRNORTHWEST	Allied Air Forces Northwestern Europe
AIRPAC	Commander, Air Force, U.S. Pacific Fleet
AIS	Automated Information System; Avionics Intermediate Shop; Airborne Instrumentation Station; Aircraft Instrumentation Subsystem
AISF	Avionics Integrated Support Facility
AIT	Advanced Infantry Training; Advanced Individual Training
AITI	Automated Interchange of Technical Information
AIU	Airborne Instrumentation Unit
AIWS	Advanced Interdiction Weapon System
AJ	Anti-Jam<BR><A href='http://www.periscope.ucg.com/terms/t0000028.html'> </A><BR>
AJP	Allied Joint Publication
AKR	Vehicle Cargo Ship
AL	Acquisition Logistician
ALADIM	Air Base Local Area Digital Network
ALAMO	World War II code name for the task force (built around Headquarters, Sixth Army) operating directly under General Headquarters, Southwest Pacific Area for operations in New Guinea
ALARICH	World War II German plan for the occupation of northern Italy by Army Group B (Rommel) if Italy collapsed politically
ALARM	Air-Launched Antiradiation Missile
ALB	Air-Land Battle (USA)
ALCC	Airlift Control Center
ALCM	Air-Launched Cruise Missile
ALCS	Airborne Launch Control System
ALE	Automatic Link Establishment<BR> <A href='http://www.periscope.ucg.com/terms/t0000029.html'>ALERT</A>
ALFS	Airborne Low-Frequency Sonar
ALLTV	All-Light-Level Television <BR> <BR>
ALMC	AirLaunched Cruise Missile
ALMV	Air-Launched Miniature Vehicle
ALNAP	Established in 1997, the Active Learning Network for Accountability and Performance in Humanitarian Action (ALNAP) is an international interagency forum. <BR><BR><BR>ALNAP's statement of purpose: <BR><BR><BR><I>"ALNAP, as a unique system-wide active learning membership network, is dedicated to improving the quality and accountability of humanitarian action, by sharing lessons; identifying common problems; and building, where appropriate, consensus on approaches."</I> <BR><BR><BR>ALNAP was founded in the belief that: <BR><BR>there is a significant agenda to be addressed in terms of the accountability and quality of humanitarian assistance operations; <BR>the process of addressing this agenda will be greatly facilitated by an inclusive forum for the exchange of views and experiences. <BR><BR>Official Web Page:<BR><A href='http://www.alnap.org/'>http://www.alnap.org</A>/ <BR>.<BR><BR>
Alnav	All-Navy (USN)
ALP	Allied Logistic Publication
ALPHA	World War II plan to defend Kunming and Chungking
ALPS	Accidental Launch Prevention System (ABM concept)
ALSL	Alternative Landing Ship Logistics. <BR><BR>The ALSLs are to transport troops, stores, equipment andvehicles world-wide and deploy them into battle. The ships are to be capable of offloading at sea, ‘over the horizon’. They will operate with other ships of the amphibious task group, but will be manned and operated by the Royal Fleet Auxiliary. The ALSLs may operate autonomously as supply ships.<BR><BR>More information:<BR><A href='http://www.mod.uk/dpa/projects/alsl.htm'>http://www.mod.uk/dpa/projects/alsl.htm</A> <BR><BR>
ALSOS	World War II code name for the Allied special intelligence forces' mission to collect information about German nuclear fission developments
ALWT	Advanced Lightweight Torpedo (now Mk 50)
AM	Amplitude Modulation
AMAS	Advanced Manned Aerial Scout
AMC	Army Medical Corps
AMCM	Airborne Mine Countermeasures
AMF	ACE Mobile Force
AMFSO	(Launch) Area Support Ship Missile Flight Safety Officer
AMH	Aviation Structural Mechanic
AMHAZ	Ammunition &amp; Hazardous Material Handling
AMI	American Military Institute
AMIS	Acquisition Management Information System; Advanced Management Information System; Automated Maintenance Information System
AML	Additional Military Layer
AMM	Anti-Missile Missile
AMMH	Annual Maintenance Man-Hours
AMMRL	Aircraft Maintenance Material Readiness List
AMO	Aircraft Material office (Norfolk, San Diego); Aircraft Maintenance Officer
AMP	Avionics Modernization Program
Amph	Amphibious<BR> <A href='http://www.periscope.ucg.com/terms/t0000031.html'>AMPHIBIOUS LIFT</A>
AMPHIB	Amphibious
AMPHIBIOUS OPS	Amphibous Operation <BR> <BR>
AMPS	Airborne Meteorological Pod System
AMR	Aircraft Maintenance Radio; Advanced Material Request
AMRAAM	Advanced Medium Range Air-To-Air Missile (AIM-120)
AMRF	Automated Manufacturing Research Facility
AMRIU	Advanced Missile Remote Interface Unit
AMS	Air Missile System; Automated Management Support; Aerospace Material Specification; Automated Maintenance System (C-5 Aircraft); Aviation Structural Mechanic Structures
AMSC	Acquisition Method Suffix Code; Acquisition Management System Control; Aircraft Structural Mechanic
AMSDL	Acquisition Management System and Data Requirement Control List
AMSE	Aircraft Maintenance Support Equipment
AMSL	Acquisition Management System List
AMSU	Aeronautical Material Screening Unit; Aircraft Maintenance Support Unit
AMU	Aviation Monitoring Unit
AMV	Anti-mine vehicle
AN	Air Force - Navy (Standard or Specification); Army-Navy (Standard)
AN/AWG	Army-Navy/Air Weapons Guidance
AN/DSM	Army-Navy/Display System Multipurpose
AN/SPS-48|ansps48	Prefix for US electronic systems
ANA	Association of Naval Aviation
ANAKIM	World War II plan to recapture Burma
ANBACIS	Automated Nuclear, Biological, and Chemical Information System
ANC	Analysis Console
AND	Air Force-Navy Design or Army-Navy Design
ANG	Air National Guard
ANGLICO	Air and Naval Gunfire Liaison Company
ANGOSTA	ANG Operational Support Transport Aircraft
ANMCC	Alternate National Military Command Center
ANOVA	Analysis of Variance
ANSI	American National Standards Institute <BR> <BR> <B>ANZUS</B>- Australia-New Zealand-United States Treaty
ANT	Andre N. Tupolev (Soviet aircraft designation; later Tu)<BR>
ANTON	World War II (10-11 November 1942) German occupation of southern France (areas previously unoccupied and under the jurisdiction of the Vichy government)
ANVIL	World War II plan for the invasion of southern France--see later <A href='bword://DRAGOON'>DRAGOON</A>
ANZUS	Australia, New Zealand, and US (alliance)
AO	Aviation Ordnance; Fleet Oiler; Action Officer, Oiler Sailor
AOA	Amphibious Objective Area
AOC	Association of Old Crows
AOCP	Aircraft Out of Commission for Parts (see Nors)
AOD	Age of Data; As of Date
AODE	Age of Data Ephemeris
AOE	Fast Combat Support Ships; Multi-purpose Stores Ships
AOG	Gasoline Tanker
AOH	Awaiting Overhaul
AOI	Area of Interest
AOJ	Angle of Jam
AOL	All Operator Letter
AOM	Air Launched Target Drone
AOO	Aviation Ordnance Officer
AOOCP	Aviation Ordnance Officer Career Progression (Course)
AOQL	Average Outgoing Quality Limit
AOR	Area Of Responsibility
AOS	Air Launched Sonar Surveillance System
AOT	Active on Target; Acquisition On Target, Tanker Ship
AOTD	Active Optical Target Detector
AOWS	Aircraft Overhaul Work Stoppage
AP	Acquisition Plan; Anti-personnel; Armor Piercing
AP CAPPED|APC	Armor-Piercing Capped <BR><BR>
AP-T	Armor-Piercing-Tracer
APA	Appropriation Purchase(s)/(ing) Account; Antenna Processor Assembly
APADE	Automation of Procurement and Accounting Data Entry
APAG	Atlantic Policy Advisory Group
APAN	Anti-Personal/Anti-Material
APC	Armored Personnel Carrier<BR>
APC/CP	Armoured personnel carrier/command post
APD	Advanced Planning Document
APDF	Aircraft Program Data File
APDS	Armor Piercing Discarding Sabot
APDS-T	Armor Piercing Discarding Sabot (ammunition)
APF	Afloat Pre-positioning Force
APFSDS	Armor Piercing, Fin-Stabilized, Discarding Sabot <BR> <BR>
APHC	Armor Piercing Hard-Core
APHEI	Armor Piercing High-Explosive Incendiary
API	Armor Piercing Incendiary
APICS	American Production and Inventory Control Society
APL	Allowance Parts List
APL/JHU	Applied Physics Lab, John Hopkins Univ.
APM	L</B>- Assistant Program Manager-Logistics
APM (L)|APM	Assistant Program Manager-Logistics
APML	Assistant Program Manager for Logistics
APMSE	Assistant Program Manager for Systems Engineering
APMT&E	Assistant Program Manager for Test &amp; Evaluation
APN	Aircraft Procurement, Navy
APO	Acquisition Program Office
APOD	Aerial Port of Debarkation
APOE	Aerial Port of Embarkation
APOES	Antipersonnel Obstacle Breaching System
APP	Advance Procurement Plan
APPL	Application Rate
APPLE	Gulf War VII Corps phase line
APPN	Appropriation
APPS	Automated Publications Production System (Army) Automated Publications Preparation System
APR	Agency Procurement Request
APRB	Acquisition Program Review Board
APREP	AMRAAM Productibility Enhancement Program
APRICOT	Gulf War phase line for 1st Armored Division movement from Tactical Assembly Area <A href='bword://THOMPSON'>THOMPSON</A> to Forward Assembly Area <A href='bword://GARCIA'>GARCIA</A>
APS	Auxiliary Power Supply
APT	Automated Programming of Tools, Armor Piercing Tracer
APTS	Advanced Programmable Test Set
APU	Autopilot Unit; Auxiliary Power Unit
APUS	Automated Publications Update System
AQ	Aviation Fire Control Tech
AQAP	Allied Quality Assurance Publication
AQL	Acceptable Quality Level
AQM	37C</B>- High Altitude, High Speed Target
AR	Army Regulation (USA)
ARA	Attitude Reference Assembly; Aircraft Replaceable Assembly; Assigned Responsible Agency
ARABS	Active Radar Augmenter Beacon System
ARAR	Applicable and relevant or appropriate requirements
ARB	Acquisition Review Board; Aircraft Recovery Bulletin
ARBUT	Automatic Resupply and Buildup Time
ARC	Atlantic Research Corp.; Acquisition Review Council, Ames Research Center; Accessory Record Card; Acquisition Review Committee; Cable Repairing Board
ARCADIA	World War II code name for the Washington Conference December 1941-January 1942
ARD	Acceptance Requirement Document
ARDS	Advanced Range Data System
ARE	Admiralty Research Establishment (UK)
AREC	Air Element Coordinator
ARES	Advanced Robotic Engagement System
ARG	Amphibious Ready Group
ARGONAUT	World War II code name for the Malta and Yalta Conference January-February 1945
ARGUMENT	World War II plan for USSTAF air operations against German aircraft factories, February 1944.
ARIA	ADVANCED RANGE INSTRUMENTATION AIRCRAFT
ARK	ATOMNAYA RAKETNAYA KREYSER
ARL	Average Run Length
ARM	Anti-radar missile
ARMMS	Automated Reliability Maintainability Measurement System
ARMS	Aircraft Resources Management System
Armt	Armament<BR><A href='http://www.periscope.ucg.com/terms/t0000050.html'> </A><BR>
ARN	Additional Reference Number
ARNG	Army National Guard
ARO	After Receipt of Order; Asset Readiness objective
ARP	Analytical Rework Program; Aerospace Recommended Practice
ARPA	Advanced Research Projects Agency; <BR> <BR>Archaeological Resources Protection Act
ARPANET	Advanced Research Projects Agency Network
