##name	Terms and Definitions
##sourceLang	English
##targetLang	English
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	Office of Rare Diseases
##description	Terms and definitions related to rare diseases.
##bgl_creationTime	2000/06/07, 06:51
Kilobase (kb)|kb|kilobase	Unit of length for DNA fragments equal to 1000 nucleotides.
LANL	Los Alamos National Laboratory, Los Alamos, NM
LBL	Lawrence Berkeley Laboratory, Berkeley, CA
Library	An unordered collection of clones (i.e., cloned DNA from a particular organism), whose relationship to each other can be established by physical mapping. See Genomic Library.
Ligase	An enzyme that functions in DNA repair.
Linkage	1.The greater association in inheritance of two or more nonallelic genes than is to be expected from independent assortment; genes are linked because they reside on the same chromosome . 2.Analysis of pedigree the tracking of a gene through a family by following the inheritance of a (closely associated) gene or trait and a DNA marker.
Linkage analysis	A gene-hunting technique that traces patterns of heredity in large, high-risk families, in an attempt to locate a disease-causing gene mutation by identifying traits that are co-inherited with it.
Linkage map|genetic-map	A map of the relative positions of genetic loci on a chromosome, determined on the basis of how often the loci are inherited together. Distance is measured in centimorgans (cM).
LLNL	Lawrence Livermore National Laboratory, Livermore, CA
Local treatment	Treatment that affects the tumor and the area close to it.
Localize	Determination of the original position (locus) of a gene or other marker on a chromosome.
Locus (plural is loci)|loci|locus	The position on a chromosome of a gene or other chromosome marker; also, the DNA at that position. The use of locus is sometimes restricted to mean regions of DNA that are expressed. See gene expression.
Lod score	Logarithm of the odd score; a measure of the likelihood of two loci being within a measurable distance of each other.
Lymph (limf)|lymph	An almost colorless fluid that travels through the lymphatic system and carries cells that help fight infection and disease.
Lymph nodes	Small, bean-shaped organs located along the channels of the lymphatic system. Bacteria or cancer cells that enter the lymphatic system may be found in the nodes. Also called <I>lymph glands</I>.
Lymphatic system (lim-FAT-ik)|lymphatic-system	The tissues and organs, including the bone marrow, spleen, thymus, and lymph nodes, that produce and store cells that fight infection and disease. This system also has channels that carry <I>lymph</I>.
Macrorestriction map	Map depicting the order of and distance between sites at which restriction enzymes cleave chromosomes.
Malignant (ma-LIG-nant)|malignant	Cancerous.
Mammogram (MAM-o-gram)|mammogram	An x-ray of the breast.
Mapping	See gene mapping, linkage map, physical map.
Marker	A gene with a known location on a chromosome and a clear-cut phenotype, used as a point of reference when mapping a new mutant.
Megabase (Mb)|mb|megabase	Unit of length for DNA fragments equal to 1 million nucleotides and roughly equal to 1 cM.
Meiosis	The doubling of gametic chromosome number. Meiosis results in four rather than two daughter cells, each with a haploid set of chromosomes.
Melanoma	Cancer of the cells that produce pigment in the skin. Melanoma usually begins in a mole.
Messenger RNA (mRNA)|messenger-rna|mrna	RNA that serves as a template for protein synthesis. (See genetic code.)
Metaphase	A stage in mitosis or meiosis during which the chromosomes are aligned along the equatorial plane of the cell.
Metastasis (meh-TAS-ta-sis)|metastasis	The spread of cancer from one part of the body to another. Cells in the metastatic (secondary) tumor are like those in the original (primary) tumor.
Missense mutation	A change in the base sequence of a gene that alters or eliminates a protein.
Mitochondrial DNA	The mitochondrial genome consists of a circular DNA duplex, with 5 to 10 copies per organelle.
Mitosis	The process of nuclear division in cells that produces daughter cells that are genetically identical to each other and to the parent cell.
Molecule	A group of atoms arranged to interact in a particular way; one molecule of any substance is the smallest physical unit of that particular substance.
Monoclonal antibodies	Substances that can locate and bind to cancer cells wherever they are in the body. They can be used alone, or they can be used to deliver drugs, toxins, or radioactive material directly to the tumor cells.
MRC	Medical Research Council (U.K.)
MRI	A procedure using a magnet linked to a computer to create pictures of areas inside the body. Also called <I>magnetic resonance imaging</I>.
Multifactorial	A characteristic influenced in its expression by many factors, both genetic and environmental.
Mutation	A change in the number, arrangement, or molecular sequence of a gene.
NAS	National Academy of Sciences (U.S.)
Newborn screening (for genetic disorders)|newborn-screening	Examining blood samples from a newborn infant to detect disease-related abnormalities or deficiencies in gene products. There are other purposes for , and methods of, screening newborns.
NHGRI	National Human Genome Research Institute
NIH	National Institutes of Health, Bethesda, MD
Nitrogenous base	A nitrogen containing molecule having the chemical properties of a base.
NLGLP	National Laboratory Gene Library Project (LANL, LLNL)
Nonsense mutation	A mutation in which a codon is changed to a stop codon, resulting in a truncated protein product.
NRC	National Research Council (NAS)
NSF	National Science Foundation
Nucleic acid	A large molecule composed of nucleotide subunits.
Nucleotide	A subunit of DNA or RNA, consisting of one chemical base plus a phosphate molecule and a sugar molecule.
Nucleus	The cell structure that houses the chromosomes.
OHER	Office of Health and Environmental Research
Oncogenes	Genes that normally play a role in the growth of cells but, when over expressed or mutated, can foster the growth of cancer.
Oncologist (on-KOL-o-jist)|oncologist	A doctor who specializes in treating cancer.
ORNL	Oak Ridge National Laboratory, Oak Ridge, TN
OSTP	Office of Scientific and Technology Policy (White House)
OTA	Office of Technology Assessment (U.S. Congress)
PACHG	Program Advisory Committee on the Human Genome
Pap test	Microscopic examination of cells collected from the cervix. It is used to detect changes that may be cancer or may lead to cancer, and it can show noncancerous conditions, such as infection or inflammation. Also called <I>Pap smear</I>.
Parthenogenesis	The development of an individual from an egg without fertilization.
Pathologist (path-OL-o-jist)|pathologist	A doctor who identifies diseases by studying cells and tissues under a microscope.
PCR	<U>P</U>olymerase <U>c</U>hain <U>r</U>eaction; a technique for copying the complementary strands of a target DNA molecule simultaneously for a series of cycles until the desired amount is obtained.
Pedigree	A diagram of the heredity of a particular trait through many generations of a family.
Pelvic	Having to do with the pelvis, the lower part of the abdomen, located between the hip bones.
Penetrance	A term indicating the likelihood that a given gene will actually result in disease.
Peripheral stem cell support (per-IF-er-ul)|peripheral-stem-cell-support	A method of replacing blood-forming cells destroyed by cancer treatment. Certain cells (stem cells) in the blood that are similar to those in bone marrow are removed from the patient's blood before treatment. The cells are given back to the patient after treatment.
Phage	A virus for which the natural host is a bacterial cell.
Phenotype	Observable characteristics of an organism produced by the organism's genotype interacting with the environment.
Physical map	Map where the distance between markers is the actual distance, such as the number of base pairs.
Plasmid	Autonomously replicating, extrachromosomal circular DNA molecules, distinct from the normal bacterial genome and nonessential for cell survival under nonselective conditions. Some plasmids are capable of integrating into the host genome. A number of artificially constructed plasmids are used as cloning vectors.
Pleiotropy	The phenomenon of variable phenotypes for a number of distinct and seemingly unrelated phenotypic effects.
PNL	Pacific Northwest Laboratory, Richland, WA
Polygenic disorders	Genetic disorders resulting from the combined action of alleles of more than one gene (e.g., heart disease, diabetes, and some cancers). Although such disorders are inherited, they depend on the simultaneous presence of several alleles; thus the hereditary patterns are usually more complex than those of single- gene disorders. Compare single-gene disorders.
Polymerase	Any enzyme that catalyzes the formation of DNA or RNA from deoxyribonucleotides or ribonucleotides.
Polymerase chain reaction (PCR)|pcr|polymerase-chain-reaction	A method for amplifying a DNA base sequence using a heat- stable polymerase and two 20- base primers, one complementary to the (+)- strand at one end of the sequence to be amplified and the other complementary to the (- )- strand at the other end. Because the newly synthesized DNA strands can subsequently serve as additional templates for the same primer sequences, successive rounds of primer annealing, strand elongation, and dissociation produce rapid and highly specific amplification of the desired sequence. PCR also can be used to detect the existence of the defined sequence in a DNA sample.
Polymorphism	Difference in DNA sequence among individuals. Genetic variations occurring in more than 1% of a population would be considered useful polymorphisms for genetic linkage analysis. Compare mutation.
Predictive gene tests	Tests to identify gene abnormalities that may make a person susceptible to certain diseases or disorders.
Predisposition	To have a tendency or inclination towards something in advance.
Prenatal diagnosis	Examining fetal cells taken from the amniotic fluid, the primitive placenta (chorion), or the umbilical cord for biochemical, chromosomal, or gene alterations.
Presymptomatic diagnosis	Diagnosis of a genetic condition before the appearance of symptoms.
Primer	Nucleotides used in the polymerase chain reaction to initiate DNA synthesis at a particular location.
Probability	The long term frequency of an event relative to all alternative events, and usually expressed as decimal fraction.
Proband	Individual in a family who brought the family to medical attention.
Probe	Single-stranded DNA labeled with radioactive isotopes or tagged in other ways for ease in identification.
Progesterone (pro-JES-ter-own)|progesterone	A female hormone.
Prognosis (prog-NOS-sis)|prognosis	The probable outcome or course of a disease; the chance of recovery.
Prokaryote	Cell or organism lacking a membrane- bound, structurally discrete nucleus and other subcellular compartments. Bacteria are prokaryotes. Compare eukaryote. See chromosomes.
Promoter	A site on DNA to which RNA polymerase will bind and initiate transcription.
Prophylactic surgery	Surgery to remove tissue that is in danger of becoming cancerous, before cancer has the chance to develop. Surgery to remove the breasts of women at high risk of developing breast cancer is known as prophylactic mastectomy.
Protein	A large, complex molecule composed of amino acids. The sequence of the amino acids, and thus the function of the protein, is determined by the sequence of the base pairs in the gene that encodes it. Proteins are essential to the structure, function, and regulation of the body. Examples are hormones, enzymes, and antibodies.
Protein product	The protein molecule assembled under the direction of a gene.
Purine	A nitrogen-containing, single- ring, basic compound that occurs in nucleic acids. The purines in DNA and RNA are adenine and guanine.
Pyrimidine	A nitrogen- containing, double- ring, basic compound that occurs in nucleic acids. The pyrimidines in DNA are cytosine and thymine; in RNA, cytosine and uracil.
Radiation therapy (ray-dee-AY-shun)|radiation-therapy	Treatment with high-energy rays to kill or damage cancer cells. External radiation therapy is the use of a machine to aim high- energy rays at the cancer. Internal radiation is the placement of radioactive material inside the body as close as possible to the cancer.
Radioactive (RAY-dee-o-AK-tiv)|radioactive	Giving off radiation.
Radionuclide scanning	An exam that produces pictures (scans) of internal parts of the body. The patient is given an injection or swallows a small amount of radioactive material. A machine called a scanner then measures the radioactivity in certain organs.
Recessive	A gene that is phenotypically manifest in the homozygous state but is masked in the presence of a dominant allele.
Recessive allele	A gene that is expressed only when its counterpart allele on the matching chromosome is also recessive (not dominant). Autosomal recessive disorders develop in persons who receive two copies of the mutant gene, one from each parent who is a carrier. (See Dominant allele.)
Recombinant DNA molecules	A combination of DNA molecules of different origin that are joined using recombinant DNA technologies.
Recombinant DNA technologies|genetic-engineering-technologies	Procedures used to join together DNA segments in a cell- free system (an environment outside a cell or organism). Under appropriate conditions, a recombinant DNA molecule can enter a cell and replicate there, either autonomously or after it has become integrated into a cellular chromosome.
Recombination	The natural process of breaking and rejoining DNA strands to produce new combinations of genes and, thus, generate genetic variation. Gene crossover during meiosis.
Regulatory regions or sequences	A DNA base sequence that controls gene expression.
Remission	Disappearance of the signs and symptoms of cancer. When this happens, the disease is said to be "in remission". Remission can be temporary or permanent.
Repeat sequences	The length of a nucleotide sequence that is repeated in a tandem cluster.
Reproductive cells	Egg and sperm cells. Each mature reproductive cell carries a single set of 23 chromosomes.
Resolution	Degree of molecular detail on a physical map of DNA, ranging from low to high.
Restriction enzyme cutting site	A specific nucleotide sequence of DNA at which a particular restriction enzyme cuts the DNA. Some sites occur frequently in DNA (e.g., every several hundred base pairs), others much less frequently (rare- cutter; e.g., every 10,000 base pairs).
Restriction enzymes	Enzymes that can cut strands of DNA at specific base sequences.
Restriction fragment length polymorphism (RFLP)|restriction-fragment-length-polymorphism|rflp	Variation between individuals in DNA fragment sizes cut by specific restriction enzymes; polymorphic sequences that result in RFLPs are used as markers on both physical maps and genetic linkage maps. RFLPs are usually caused by mutation at a cutting site. See marker.
Ribonucleic acid (RNA)|ribonucleic-acid|rna	A chemical found in the nucleus and cytoplasm of cells; it plays an important role in protein synthesis and other chemical activities of the cell. The structure of RNA is similar to that of DNA. There are several classes of RNA molecules, including messenger RNA, transfer RNA, ribosomal RNA, and other small RNAs, each serving a different purpose.
Ribosomal RNA (rRNA)|ribosomal-rna|rrna	A class of RNA found in the ribosomes of cells.
Ribosomes	Small cellular components composed of specialized ribosomal RNA and protein; site of protein synthesis. See ribonucleic acid (RNA).
Risk factor	Something that increases a person's chance of developing a disease.
RNA	Ribonucleic acid, a chemical similar to DNA. The several classes of RNA molecules play important roles in protein synthesis and other cell activities.
