##name	Gali's Gastronomical Glossary
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_lastUpdated	2005/12/18, 13:50
##bgl_middleUpdated	2005/12/18, 13:50
##author	Gali
##browsingEnabled	
##bgl_creationTime	2003/04/20, 11:15
##description	English-Hebrew
##purchaseAddress	
Aka miso|Akamiso|Akka miso|inaka-miso|miso|red miso|sendai-miso|îéñå	מיסו אדום - ממרח פולי סויה עשיר בעל טעם חזק מלוח על בסיס שעורה
Al Carbon|AlCarbon|Carbon	"צלוי על פחמים" (מאיטלקית)
Al Forno|AlForno|Forno	"בתנור" (מאיטלקית)
Al Pastor|AlPastor|Pastor	"צלוי על אש פתוחה" (מאיטלקית)
Al dente|aldente|dente	אל דנטה (בישול הפסטה עד היותה טיפה קשה, או ליתר דיוק "לא רכה")
Alambre|Allambre	מונח מקסיקני\\ספרדי לשישליק-קבב
Albacore|tombo	טונוס גדול (זן של דג הטונה), קרוי בהוואי "טומבו"
Albóndigas|albondiga|albondigas|albóndiga	כדורי בשר
All Purpose|Al Purpose|All - Purpose|All-Purpose|AllPurpose	לכל מטרה
All-purpose flour|all purpose|all-purpose|all-purpose flour|allpurpose|flour	קמח רגיל (לא תופח)
Alla Genoese|Genoese|Genovese|alla Genoese|alla Genovese|allaGenoese|allaGenovese	א-לא ג'נואז - בסגנון גנואה - מנה המכילה או מלווה ברוטב פסטו (שמקורו בגנואה)
Alla carbonara|Allacarbonara|carbonara	קרבונרה - רוטב ספגטי על בסיס בשר ושומן חזיר, ביצים חיות טרופות וגבינת פיקורינו רומנו מגוררת.
Allspice|alspice|ollspice|olspice|àåìñôééñ	פלפל אנגלי ייחודי הקרוי אולספייס
Almonds|allmonds|almond|ù÷ã|ù÷ãéí	שקדים
Aloo Ka Paratha|AlooKaParatha|Paratha	אלו קה פרט'ה - לחם הודי מחיטה מלאה ממולא בפירה תפוחי אדמה פיקנטי ומטוגן.
Amandine|Amandin	מנה המוגשת בלווית או המצופה בשקדים
Amaranth|amarant|éøáåæ	ירבוז (עשב שוטה)
Amaretto|amareto|àîøèå	אמרטו (משקה חריף)<BR>ליקר איטלקי על בסיס שקדים ואפרסקים
Amarula|Amarulla	אמרולה (משקב חריף)<BR>ליקר דרום אפריקאי מפרי המרולה הדומה בטעמו לאייריש קרים.
Ancho|Ansho	אנצ'ו - סוג של פלפל צ'ילי מיובש מסוג פובלנו. צבעו חום ודרגת חריפותו מתונה.
Anchovies|Acciughe|Alici|Anchoas|Anchois|anchovis|anchovy|àðùåáé	אנשובי (דגיגים מלוחים - ניתן להשיג בקופסאות שימורים)
Andouille|Andouile	נקניקייה (מצרפתית)
Anelli|aniline	אנלי - טבעות פסטה קטנות המשמשות למרקים
Angel food|angel	כינוי אמריקאי לעוגה/עוגייה אוורירית ולבנה
Angelica|Ang?lica|Ang?lique|Angelic herb|Angelika|engelwurz	אנג'ליקה <BR>1. סוג של עשב מאכל ממשפחת הפטרוזיליה<BR>2. יין קליפורני מתוק
Anisette|Anisete	אניסט (משקה חריף) <BR>ליקר המופק מצמח האניס
Annatto|Anatto|Annatto Seeds|AnnattoSeeds|Lipstick tree|anato	עץ אשר מגרגריו האדומים מכינים תבלין הפופולרי בדרום אמריקה, ספרד והקאריביים<BR>
Annona|Annona squamosa|Anona|cherimola|sugar apple|sugarapple|sweetsop|àðåðä|ö'éøîåéä	אנונה, צ'ירמויה (פרי)
marinated|marinate|marinating	להשרות בתחמיץ, להשרות בציר, לכבוש (בבישול)
Antipasto|Antipasti|àðèéôñèå|àðèéôñèé	אנטי פאסטו - מילה איטלקית למתאבנים
Aperitif|APERITIF DRINK|aperitif wine|aperitif wines|apperitif	אפריטיף, משקה ל"לפני הארוחה"\nיין אפריטיף הוא לרב יין מחוזק מ- 18% אלכוהול ומעלה. שרי קמפרי ודובונה הם דוגמאות ליינות אפריטיף.
anise|ANIS STAR|An?s|Anic|Anice|Aniseed|anis|àðéñ|ëîðåï	אניס - כמנון, (סוג) צמח\nANISEED - זרעי כמנון האניס (סוג צמח)\nANIS STAR - כוכב אניס
Absinthe|Absintio|Assenzio|wormwood	לענה (סוג צמח מר)\nאבסינת (משקה חריף ירוק ומריר בטעמו המכיל לענה)
fortified wines|fortified|fortified wine|fortify	יין מחוזק. ליין השולחני מוסיפים יין מזוקק /אלכוהול וצמחים ארומטיים לחיזוקו - עד לרמה של כ - 17% אלכוהול. דוגמאות ליין מחוזק : שרי , פורט.
Natural Wine|natural wines	יין שהבשיל באופן טבעי
Vintage Wines|Vintage wine|vintage|åéðèâ'	יין הנמכר לפי השנה בה נקצרו הענבים מהם הוכן. השנה מודפסת על התווית.
Appetiser|Apetiser|Apetisers|Apetizer|Apetizers|Appetizer|Appetizers|appetisers|îúàáï	מתאבן
Appetizing|appetizing	מעורר תיאבון, מגרה (לאכול)
Cinzano|tcinzano|tzinzano|zinzano	צינזאנו - מותג של וורמוט מאיטליה, מגיע ברוזסיה אדומה. טעמן מריר ומכיל קינמון ואניס ולכן טעמו המיוחד.
Apples|Aple|Aples|Apple|úôå"ò|úôåç|úôåç òõ|úôåçé òõ|úôåçéí	תפוח עץ (תפו"ע - פרי)
table wine|table wines	יינות שולחן, יין המוגש עם הארוחה, לרב מדובר ביין בעל מחיר ואיכות ממוצעת / בינונית\nאחוזי האלכוהול נעים בין 10 ל- 12 אחוז.
Dessert wines|desert wine|dessert wine	יינות קינוח, יין המוגש לאחר הארוחה, לרב מתוק  יותר
Approximately|aproximately	בערך, פחות או יותר, בקירוב
Apricot|apricots|îéùîéù|îùîù	משמש, מישמיש
Aquavit	אקווה-ביט - ליקר סקנדינבי
Arak|arac|arrac|arrack|arrak|òø÷	ערק (משקה חריף, ליקר אניס)
Arbol|Arball|Chinese hot peppers	ארבול - סוג של פלפל צ'ילי דקיק מיובש
Arisa|àøéñä	אריסה - רסק פלפלים טוניסאי<BR>
Armagnac|Armagnak|armaniac|armaniak	ארמניאק - משקה חריף ממשפחת הברנדי - בעל טעם שזיפי ייחודי
Aroma|àøåîä	ניחוח, ארומה
Aromatic|aromati	ריחני, ארומטי
Arrowroot|Arowroot|Arrow root	סוג של עשב מאכל המגיע כאבקת תבלין בה משתמשים<BR>כגורם מעבה ברפרפות, פשטידות, מרקים, רטבים סמיכים וכדומה.<BR>
Artichoke|Artichokes|Artishoke|Artishokes|artichaut|àøèéùå÷|çøùó|÷ðøñ	ארטישוק, קנרס, חרשף (ירק תפרחתי)
Artichoke hearts|artichoke heart|artishoke heart|artishoke hearts	לבבות ארטישוק
Artificial|îìàëåúé	מלאכותי
Artificial sweeteners|artificial sweetener|non nutritive sweeteners|nonnutritive sweetener	ממתיק מלאכותי
Arugula|arogola|arogula|rucola|rugala|àøåâåìä|øå÷è	ארוגולה, עשב מאכל (מכונה גם רוקט)
Arum|ìåó	לוף (ירק/צמח בר)
Asafoetida|Assa foetida|Assafoetida|Devil's dung|Stinking gum|asafoetida	"שרף" (למעשה זהו חלב!) המופק משורש בעל ניחוח שום
Asiago|Aciago|poor man's Parmesan	אסיאגו, "פרמזן לעניים" גבינה איטלקית מגוררת (הקלאסית עשויה מחלב כבשים)
Asparagus|Asperagus|Asperges|Esp?rragosa|spargel|àñôøâåñ	אספרגוס (ירק מאכל)
Assortment|Assorted|Assortments	מבחר, מגוון, אוסף, קולקציה, תערובת
wild Asparagus|Asperges sauvages|Esp?rragossilvestres|Wilde spargel|selvatici	אספרגוס בר
Asure|asure	פודינג הודי מדגנים, סוכר וצימוקים
Atemoya|Atemoia|àðåðä	סוג של אנונה (פרי)
Au Beurre	מאודה\\מבושל בחמאה (מצרפתית)
Au Gratin|Au Gratine|AuGratin|gratinee	מנה המצופה בגבינה צהובה ופרורי לחם ונאפית בגריל (מצרפתית)<BR>
Aubergine|Aobergine|Aoberjine|Auberjine|çöéì	חציל (ירק מאכל)
Avocado|Avocados|Avokado|àáå÷ãå	אבוקדו (פרי)
Bombe|bomb|bomba	טילון
Iced	קר, מצונן, מקורר (משקה וכו'); מצופה בזיגוג (עוגה); מכוסה קרח
Baba Ghanoush|Baba Ghannooj|BabaGhannooj|BabaGhanoush|Ghannooj|ghanoush|ááâðåù|ááä âðåù	בבגנוש - סלט חצילים קלויים ברוטב טחינה
Babka|babca	בבקה - כינוי מזרח אירופאי לעוגת שמרים במילויים שונים (קינמון, אגוזים, חלבה, שוקולד וכו')
Baby Greens|BabyGreens	תערובת עלי בייבי (עשבי מאכל שונים)
Bacon|bakon	בייקון, קותלי חזיר
Baguette|baget|bagete|bagette|baguet|baguete|baguett	בגט, לחם צרפתי מאורך וצר בעל קליפה קשה ופנים רך
Baharat|baharat	תערובת תבלינים מהמפרץ הפרסי.<BR>מכילה פפריקה, צ'ילי, פלפל שחור, קינמון, ציפורן, אגוז מוסקט, הל, כמון וכוסברה.
Bain Marie|BainMarie|double boiler|water bath|waterbath	באן מארי - בישול בסיר כפול (למשל המסת שוקולד ע"י הנחה של קוביות השוקולד בסיר אחד ה"צף" בתוך סיר גדול יותר המלא במים וסופג את האש הישירה מהכיריים)
Bake|al forno|al horno|au four|baked	אפוי<BR>(פ') לאפות
Baking Dish|BakingDish	תבנית אפיה
Baking pan|baking pan|bakingpan	תבנית אפיה, כלי-אפיה
Baking powder|baking powder|bakingpowder|àá÷ú àôéä	אבקת אפיה
Baking sheet|baking sheet|bakingsheet|cookie sheet|ôøâîðè	נייר פרגמנט לאפייה
Baking soda|baking soda|bakingsoda	סודה לאפיה
Baklava|Baklawa|áà÷ìàååä|á÷ìàååä	בקלאווה ("עוגיות" מזרחיות מתוקות עם אגוזים ודבש)
Balsamic Vinegar|Balsamic Vineger|BalsamicVinegar|áìñîé|çåîõ áìñîé	חומץ בלסמי
mold|mould	תבנית\n(פ') לעצב, להעניק צורה; להתעפש; לחקות (אופי וכו'); ליצור כרכובים
molded|en molde|en moule|in der form|in forma|moulded	מעוצב, שנתנו לו צורה
Bamboo Shoots|Bamb?|Bamboo|BambooShoots|Bambou|Bambus|áîáå÷|ðöøé  áîáå÷|ðöøé áîáå÷|ðöøé í	נצרי במבוק, נצרי חיזרן<BR>החלק האכיל (לאחר בישול) : ליבות הבמבוק הלבנות
Bananas|banana|áððä|áððåú	בננות (פרי)
Bara Brith|BARA BRIT|BARABRITH	לחם דומדמניות וולשי
Bara lawr|BARA lawr|baralawr	לחם אצות וולשי
Barbecue|BBQ|barbecue|barbeque|áøá÷éå	ברבקיו, "על האש" (צליית בשר על גריל\\פחמים)
Barenjager|Barenyager	מכונה בישראל "יגרמייסטר דבש" (משקה חריף)<BR>ליקר מתקתק בטעם דבש
Barley|barley|ùòåøä|ùòåøéí	שעורה
Barquettes|barquetes|barquette	מאפה בצק פריך\\עלים בצורת קנו שאת מרכזו ממלאים במחית מלוחה\\מתוקה.
Basil|Bazil|áæéìé÷åí|øéçï	בזיליקום, ריחן (עשב תבלין)
Basket|Baskets	סל, סלסלה, טנא
Basmati rice|basmati|basmati rice|basmatirice|àåøæ áñîèé|áñîèé	אורז בסמטי
Baste|Bastes|basted|basting	(פ') לבזוק נוזל\\תבלין\\שומן על בשר במהלך בישולו
Batonnette|BATONETTE|Batonete|Batonnete	בטונט - חיתוך לאצבעות (צורה וגודל פלוס מינוס, מצרפתית) <BR>
Batter|Butter	בלילה, תבליל, תערובת אפיה<BR>
Bay Leaf|bay|bay leafs|bay leaves|bayleaf|bayleafs|bays|òìä  ãôðä|òìä ãôðä|òìé ãôðä	עלי דפנה (תבלין)
Bean|beans|bin|bins|÷èðéåú|÷èðéú|ùåòåòéú|ùòåòéú	פול, גרגר (למשל של וניל או קפה) וגם שעועית, קטנית
Bean Curd|BeanCurd	ממרח אסיאתי העשוי מפולי סויה מיובשים טחונים ומים. נטול כולסטרול ועשיר בפרוטאין צמחי.
Bean Sprouts|bean sprout|bean sprouts|beansprout|beansprouts|ðáèéí	סוג של נבטים
Bearnaise Sauce|BearnaiseSauce|Bearnayse Sauce|áøðééæ	ברנייז - רוטב על בסיס יין לבן ועישבי תיבול (לרב לבשר)<BR>
Beaten|Beat|Biten|beating	מקושקשת, בחושה (ביצה) <BR>(פ') לערבל במהירות, לקשקש, להקציף
Beater	מקצף ביצים
Bechamel Sauce|Bachamel|Bachamel Sauce|Bechamel|white sauce|áùîì|øåèá áùîì	רוטב בשמל - רוטב להקרמה עשוי מחמאה קמח וחלב<BR>
Beef|Bif	בשר בקר
Beef Stroganoff|Stroganoff	מנה של בשר בקר שהוקפץ בחמאה עם בצל ופטריות תחילה ואזי בושל ברוטב על בסיס שמנת\\שמנת חמוצה
Beef round|London broil|bottom round|bottom round roast|butterball steak|butterball steaks|eye of round|loin tip|round|round steak|rump roast|rump roasts|rump steak|rump steaks|sirloin tip|standing rump roast|standing rump roasts|top round|top round steak|top round steaks|top sirloin|triangle	נתח בשר פרה מרגלה האחורית (החלק שבין האחוריים לקרסול). <BR>נתח זה מחולק לשישה חלקים עיקריים :<BR>Rump = אחוריים<BR>ארבעת השרירים העיקריים : <BR>top round, sirloin tip, bottom round and eye of round <BR>והעקב = Heel<BR>הראמפ (RUMP) הוא נתח משולש הלקוח מהאזור העליון של נתח הראונד. חותכים אותו לסטייקים (<I>rump steaks</I>) או לשלושה חלקי צלי המכונים : <I>rump roasts</I>, לזה המכיל עצם קוראים : <I>standing rump roasts</I>.<BR>ה-<B>top round</B> הלקוח מפנים הרגל הוא השריר הרך ביותר מתוך הארבעה שבנתח זה. נתחים עבים מאזור זה מכונים <I>butterball steak</I> or <I>London broil בעוד שלנתחים בעובי רגיל קוראים : top round steak</I><BR>ה- <B>sirloin tip</B> חסר העצמות מכונה <I>top sirloin</I>, <I>triangle</I> &amp; <I>loin tip</I><BR>ה- <B>bottom round </B>משתנה ברכות הבשר ולרב חותכים אותו לקוביות (לנזידים), לסטייקים או לצלי המכונה <I>bottom round roast</I><BR>שריר ה- <B>eye of the round</B> הוא הכי פחות עדין מבין הארבעה<BR>* נתח של <I>round steak</I> מכיל לרב את ארבעת השרירים<BR><BR><BR><BR><BR><BR><BR>
Beer|beers|bir	בירה (משקה אלכוהולי משעורים)
Beet|beets|bit	סלק (ירק מאכל)
Beet root|Beetroot|beet roots|beetroots|ñì÷	שורש סלק
Beignets|Beignet|Beinet|Berlinesi|Krapfen|beyne|beynet|beynets	עוגות צרפתיות מטוגנות מצופות באבקת סוכר (וקינמון)<BR>
Belle-Hélène|Belle Helene|Belle Hélène|Belle-Helene|BelleHelene|BelleHélène	בסגנון "הלן היפה", מושג הלקוח מהמטבח הצרפתי ומתייחס למנה אחרונה המורכבת מפרי מבושל במי סוכר המוגש חם לצד כדורי גלידת וניל ורוטב שוקולד חם
Bellelay|T?te de Moine|Tete de Moine	
Beluga Caviar|Beluga|Caviar|baluga|÷ååéàø	בלוגה - ביצי הקוויאר הגדולות והעדינות ביותר. צבען נע בין אפור בהיר לכהה. מרוקן מדג החידקן הגדול מכולם.
Benedictine|Benedictin|Benediktine	בנדיקטין (משקה חריף)<BR>ליקר על בסיס ברנדי דבש, מור ועשבי תיבול
Berbere|berebere	תערובת תבלינים אתיופית  חריפה(כמון, הל, ציפורן, קינמון, פלפל, צ'ילי ורבים אחרים)
Bergamot|bergamo	סוג של תפוז - ברגמוט
Blancmange|Biancomangiare|Blanc-manger|Blancmanger|Manjar blanco	רפרפת  לבנבנה מחלב ושקדים , קינוח מחלב מורתח
Berries|beri|beries|berry|âøâø|òðá	ענב, גרגר
Berry Cassette|BerryCassette|Cassette	קינוח צרפתי - עוגה אישית ריבועית שמרכזה הוצא ובמקומו שמו קצפת ותותי יער ומעל הכל מטפטפים ג'לי בטעם קירש
Beurre mani?|Beure Manie|Beurre Manie|BeurreManie	חמאת בוטנים (מצרפתית)\nתערובת חמאה וקמח לעיבוי מרקים ורטבים<BR>
Bhatura|Batura	לחם הודי אורירי מקמח לבן
Bianketa|Biyanketa	קינוח יווני - מרציפן בטעם מנדרינה
Bietola|BIyETOLA|îðâåìã	מנגולד
Bilberry|Billberry	אוכמנית שחורה (פרי, ממשפחת התות)<BR>
Biryani|Biriani	מאכל אורז הודי בלווית תבלינים וירקות או ביצים או עוף
Biscochitos|Bisco chitos|Biscochito	עוגיות מקסיקניות עם אניס
Biscotti|Biscoti|Biskotti	ביסקוטי - עוגיות קשות (לרב מוגשות לצד הקפה)
Bisque|bisc|bisk	מרק ירקות סמיך, נזיד בשר\\פירות ים וירקות
Bite-sized|Bite Size|BiteSize|bite sized|bite-size|bitesized	בגודל ביס, "נגיסונים"
Bits|beets|bit	חתיכות קטנות
Bitter|biter	בירה כהה (בריטניה), מרירות
Bitters|biters	מרורים
Black Chanterelle|Chanterelle|horn-of-plenty|poor man's truffle	סוג של פטריה המכונה גם "כמהין לעניים"
Black Currant|Black Curant|BlackCurrant	דומדמנית (פרי, ממשפחת התות)
Black Pepper|Black Peper|Pepper|ôìôì ùçåø	פלפל שחור (תבלין), בקיצור, פלפל.
Black forest Cake|Black forest|Blackforest|Blackforest Cake	עוגת היער השחור - עוגת שכבות של טורט שוקולד, קצפת ודובדבנים.
Blackberries|Black berries|blackberies|blackberry	פטל יער שחור (פרי, ממשפחת התות)<BR>
Blacken|blacen|blackening|blaken	השחרה<BR>(פ') להשחיר
Blanched/Blanch|Blanch|blanched|blanching|blanchir	קלופים<BR>(פ') לקלוף (שקדים), לחלוט, לטבול מספר דקות במים רותחים<BR>\nמבחינת שיטות בישול הכוונה לבישול מקדים/מוקדם
Bland|bland	נעים, עדין
Bleak|BLiK	לבנון (דג מאכל הגדל בכנרת)
Blend|blended|blends	תערובת<BR>(פ') לערבב, למזג
Blended Scotches|blended Scotche|blended Scotches	וויסקי המכיל 50 עד 80 אחוזי וויסקי משעורה שלא הונבטה, ו-50 עד 20 אחוזי וויסקי משעורה שהונבטה
Blender	בלנדר, ממחה, מיקסר
Blood orange|blod orange|blood oranges|bloodorange	תפוז דם (פרי)
Bloody Mary|Blody Mari|Blody Mary|Bloody Mari|BloodyMari|BloodyMary|bludi mari|bludi mary|bludimari|bludimary	בלאדי מרי - כינוי לקוקטיל חריף על בסיס וודקה ומיץ עגבניות פיקנטי
Blossom|Blosom|Blossoms	פריחה, לבלוב<BR>(פ') לפרוח
Blue Cheese|Blue Cheeses|BlueCheese|øå÷ôåø	גבינת רוקפור
Blueberries|Blue beries|Blueberies|blue berries|blueberry|àåëîðéä|àåëîðéåú	אוכמניות (פרי, ממשפחת התות)<BR>
Boiled|Boilled	מורתח, רתוח - במים
Boiling|boil|bouillir	רותח<BR>(פ') להרתיח\nבישול במים
Bok Choy|BokChoy|Chinese white cabbage|white mustard cabbage	כרוב סיני לבן<BR>גבעולים קשיחים לבנבנים ועלים ירוקים כהים גדולים
Boletus|bolletus	סוג של פטריית מאכל אנינה
Boneless|bone less|bone-less	נטול עצמות, שהוסרו ממנו עצמותיו
Bones|bone|bonez	עצמות
Bonito|Bonita|Tonnetto	בוניטו - סוג של טונה ואחד הדגים החשובים ביותר במטבח היפני. אבקת הבוניטו משמשת כבסיס לרב הרטבים והמרקים
Borage|Borago|Boraje|áåøâ|áåøâ øôåàé	בורג רפואי (צמח מרפא)
Bordelaise Sauce|Bordelaise|BordelaiseSauce|Bordelaize Sauce	רוטב סמיך חום המכיל יין אדום ,תבלינים ועשבי תיבול <BR>
Borsch|Borcht|Borscht|Borsht|áåøùè	בורשט, מרק סלק רוסי
Bouillabaise|Bouilabaise|Bouilabaisse|Bouillabaisse|bouillabaize|áåéáæ	בויבז -\n(צרפת) נזיד\\מרק סמיך עשוי מדגים\\סרטנים\\פירות ים, יין לבן ועגבניות<BR>
Bouillon|Bouilon|Bouiyon	בוילון - ציר מרק בשר\\דגים סמיך
Bouchees|Bouchis	נגיסונים
Burbot|Bottatrice|Lota|Lotte de mer|eel-pout|eelpout	סוג של בקלה
Bouquet|booke|booket|bouket|boukets|bouquets|buke|buket|buquet	ניחוח של יין, צרור פרחים
Bouquet garni|Bouquetgarni	אגד עשבי מאכל טריים הקשור בחוט ולרב מוכנסים לתבשיל (אופייני לאירופה).<BR>כולל פטרוזיליה, טימין, צ'רביל ולעיתים אף קליפת תפוז ועלי דפנה.
Bourbon|sour mash|sourmash	בורבון (משקה חריף) = ויסקי אמריקאי על בסיס תירס
Bovine|bovin	בעל חיים ממשפחת השור/פרה
Bowels|Bowel|îòé|îòééí|îòééí,	מעיים, קרביים
Bowl|ball	קערה עמוקה וגם נשף\\הילולה
Braised|braise|braising|braize|braized	מטוגן קלות ואז מורתח (על אש) ממושכות<BR>(פ') לטגן לאט (בשר!) בטמפרטורה קבועה (מתחת לנקודת הרתיח(\nמלחלחים הבשר בציר/רוטב/מים  ומניחים בתבנית גדולה  בתנור, מוסיפים  מים או מרק צח ותבלינים  שוב ושוב במהלך הבישול ליצירת רוטב סמיך.\nמבחינת שיטות בישול הכוונה לצלייה בנזלים
Bran|brun|wheat bran|wheatbran|ñåáéï	סובין
Brandade|brandad|brandade de morue	ממרח/פירה דג קוד (או אחר) עם שמן זית, שום חלב ושמנת. מוגש עם טוסטונים.
Brandy|brandi|áøðãé	ברנדי (משקה חריף) = יין שרף<BR>(פ') למהול בברנדי/לערבב עם ברנדי\nהברנדי המפורסם ביותר הוא הקוניאק המיוצר באזור זה בצרפת.
Brandy Alexander|Alexander|brandy Alexander	ברנדי אלכסנדר - קוקטייל מתקתק על בסיס ברנדי, ליקר שוקולד ושמנת
Brass|Bras|ôìéæ	פליז (סוג של מתכת המורכבת מנחושת ואבץ)
Bratwurst|Brat wurst	נקניק גרמני מבשר חזיר
Brazil Nuts|Brasil Nut|Brasil Nuts|Brazil|Brazil Nut|BrazilNuts	אגוזי ברזיל<BR>מכילים חומצה אלפא לינולאית, חומצות אמינו ומתכות הנדירות יחסית בפירות.<BR>70 אחוזים ממשקלם הינם שומן ושמנים !
Bread|bred|ìçí	לחם
Bread Basket|BreadBasket	סלסלת לחם
Bread crumbs|bread crumbs|breadcrumbs|ôéøåøé ìçí	פירורי לחם
Breadfruit|Bread fruit	"לחם עץ", פרי עגלגל עמילני האופייני לאיי האוקיינוס הפסיפי.
Bream|daurade	אברומה (דג מאכל)
Breast	חזה
soup almonds|soup almond|soup nut|soup nuts|soupnuts|ù÷ãé-îø÷|ù÷ãéîø÷	שקדי-מרק
Bresaola|Bresola	בשר ששומר במלח באויר הפתוח, מוגש לרב כאנטי-פסטי.<BR>
Brewing|brew|brewed|brews	(פ') לבשל (משקה אלכוהולי), לחלוט
Briami|Briamy	ירקות צלויים (קפריסין)
Brigadeiro|BRIGADEIRO	קינוח ברזילאי - כדורי חלב מרוכז ממותק מצופים קקאו
Brine|brine	מי-מלח (בהקשר למזון)
Briny	מלוח
Brioche|Brioches|Brioshe	בריוש (מצרפתית), עוגיה, רקיק  שמרים יבש  בצורת מאפין (כוסית)
Brisk|brisc	מרענן
Brisket|BRISKET	חזה הבקר<BR>בשר קשה מאוד המתאים לבישול במרקים, כנזיד וכבישה בתחמיץ. <BR>
Brit	דגים קטנים מסוג הרינג
Brittle|britle	פריך, שביר
Broccoli|Brocoli|áøå÷åìé	ברוקולי (ירק תפרחתי)
Broiled|broil|broiled|broiling	צלוי, קלוי<BR>(פ') לצלות, לקלות, לבשל על אש ישירה
croissant|croissants|÷åøàñåï|÷øåàñåï	קרואסון, מאפה עלים בצורת חצי סהר
Broth	מרק צח (של עוף או בשר)
soft bolied egg	ביצה רכה
hard boiled egg	ביצה קשה, ביצה שלוקה
devilled eggs	ביצים מקושקשות
scramble|scrambled|scrambled Eggs|scrambles	(פ') לקשקש/לטרוף (ביצים)\nscrambled Eggs - ביצים מקושקשות
spring onion|spring onions|springonion	בצל ירוק שנקטף מהאדמה לפני שהפקעת נוצרה בשלמותה, נאכל בסלטים.
Brown Sugar|brownsugar|ñåëø çåí	סוכר חום (גבישי וכהה מאחר והוסיפו לו מולסה)
smoked meat|smoked meats	בשר מעושן
Brownies|Browni|Brownie|Brownis|áÌÀøàåÌðé|áÌÀøàåÌðéæ|áÌÀøàåÌðéñ|çåîéåú|çåîéú	בראוניז, חומית, בְּראוּני<BR>עוגת שוקולד המוגשת כעוגיה ריבועית אישית
Brunoise|BRUNOIzE	ברונוואז - חיתוך בצורת קוביות (קטנות או גדולות לפי ההוראה, מצרפתית)<BR>
Brush|Brash	מברשת, מכחול, הברשה<BR>(פ') להבריש
Brussels Sprout|Brussel|Brussel Sprout|Brussel Sprouts|Brussels|Brussels Sprouts|Brussle|Brussles|Sprout|Sprouts|ëøåá ðéöðéí	כרוב ניצנים (כרוב ירקרק קטנטן)
Bubble|bubble|bubbles	בועה<BR>(פ') לבעבע
Bucatini|Bukatini	בוקטיני - צינורות פסטה מאורכים בגודל בינוני
