##name	EU Terminology
##sourceLang	English
##targetLang	Turkish
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1254
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1254
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2002/10/26, 10:16
##author	SMB
##email	smbulut@hotmail.com
##description	
##browsingEnabled	
##bgl_creationTime	2002/10/26, 10:15
8EAF66FD.bmp	File: 8EAF66FD.bmp
allowance	tahsisat, ödenek,aylık bağlama,istihkak, tahsis
amendment	değiş(tir)me, tadil
amendment of a provision	bir hükümde değişiklik
amendment of a provision (eec102(1))|amendment of a provision (eec102	bir hükümde değişiklik
amendment to a treaty	antlaşmada değişiklik yapılması
amount	miktar, tutar, meblağ
amount of a compensation (eaec17(3))|amount of a compensation (eaec17	tazminatın tutarı
amounts devoted to carrying out the programme	programların gerçekleştirilebilmesi için tahsis edilen meblağ
Amsterdam Treaty	Amsterdam Antlaşması
analysis	analiz
animal	hayvan
animal health	hayvan sağlığı
animal health and surveillance	hayvan sağlığı ve zabıtası
animal health certificate	hayvan sağlığı sertifikası
animal husbandry	hayvancılık
animal identification code	hayvan tanımlama kodu
animal identification system	hayvan kimlik sistemi
animal passport	hayvan pasaportu
animal waste	hayvansal atık
animal welfare	hayvan refahı
announce	duyurma,ilan
annual allowance	yıllık ödenek
annul	iptal etmek
anxious to (in Resolutions)|anxious to	arzu ederek
appliance	alet
Appliances Burning Gaseous Fuels	Gaz Yakan Aletler
application	tatbik etme, uygulama,başvuru
application for accession	katılım başvurusu
application of procedures	usulün uygulanması
application of the "polluter pays" principle	"kirleten öder" ilkesinin uygulanması
apply	uygulama; başvurma
appointment	tayin ; görevlendirme
apprenticeship school	çıraklık okulu
appropriate	uygun, münasip
appropriate supervision	uygun denetim
appropriate supervision (2)|appropriate supervision	uygun denetim
appropriation	ödenek
appropriations	ödeme emri verilen krediler
approve	onaylama,uygun bulma,kabul etme, tasdik etme
approves	onaylar
approving .. (in Recommendations)|approving ..	onaylayarak (Tavsiyelerde)
approximation	yaklaş(tır)ma
approximation of laws	mevzuatın yaklaştırılması
aquaculture	akuakültür, su ürünleri yetiştiriciliği
arbitration	tahkim, hakemlik
arbitration clause	tahkim hükmü
arbitration committee	tahkim komitesi
Arbitration Committee for Consumer Problems	Tüketici Sorunları Hakem Heyeti
arbitration procedure	tahkim usulü
area	alan, bölge
arrangement	düzenleme, tanzim
arrangements having similar effect	eş etkili düzenlemeler
art	sanat; zanaat
article	madde;
artisan	küçük sanatkar
as a precaution	ihtiyati olarak
as the case may be	duruma göre, halin icabına göre
assembly charges (Annex III)|assembly charges	montaj masrafları
assent	rıza, uygun görüş, tasvip
assent of the authorities	yetkili makamların uygun görmesi ,rızası
Assent of the European Parliament	Avrupa Parlamentosu Uygunluk Görüşü
assent procedure	uygun görme usulü
assessment	değerle(ndir)me, keşif ve takdir etme
assessment of expenditure	gider tahakkuku
assessment officer	tahakkuk memuru
assets	varlıklar, değerler,kıymetler
assign	ayırma, tahsis/tayin etme, devretme
assistance	yardım,destek, iane, muavenet
associated member	ortak üye
associated state	ortak devlet
association	ortaklık, birlik; dernek
Association Agreements	Ortaklık Anlaşmaları
Association Committee	Ortaklık Komitesi
Association Council	Ortaklık Konseyi
Association Institutions	Ortaklık Kurumları
asylum	iltica, sığınma
asylum seeker	sığınmacı
atom	atom
attain	erişmek, elde etmek, kazanmak
attainment of the objectives (eec5)|attainment of the objectives	amaçlara ulaşılması
attorneyship	avukatlık
audit	murakabe, muhasebe denetimi
audit on records (TMDF16-3)|audit on records	kayıtların denetimi
auditor	denetçi, murakıp
author	yazar, müellif
author's royalties	telif hakkı
author's royalties (Annex III)|author's royalties	yazarın telif hakları
authorising officer (eec209(c))|authorising officer (eec209	ita amiri
authority	otorite,kurum, makam
authorization	salahiyet/yetki verme, izin
authorized dealers in foreign exchange	döviz yetkili kurumlar
authorizing officer (eec209(c))|authorizing officer (eec209	ita amiri
automatically void	kendiliğinden hükümsüz
autonomous arrangements	otonom düzenlemeler
autonomous tariff	otonom tarife
autonomy	özerklik
available balances (eec207)|available balances	kullanılabilir bakiye
Avrupa Topluluklarýna tek bir Konsey ve tek bir Komisyon kurulmasýna	dair Antlaşma (Birleşme Antlaşması) (1965)
award	hüküm,karar,yargı; tazminat
award (decision) of an arbitration board	hakem heyeti kararı
award of an arbitration board	tahkim kurulu kararı
aware (in Resolutions)|aware	farkında olarak
balance	denge; bakiye; bilanço
balance of payments	ödemeler dengesi
balance of payments (eec3g)|balance of payments	ödemeler dengesi
bank	banka
banking commissions	banka komisyonları
banking operations	banka işlemleri
banking operations (transactions)|banking operations	bankacılık işlemleri
banking profession (eec57(2))|banking profession (eec57	bankacılık mesleği
banking transactions	bankacılık işlemleri
basic and advanced vocational training	temel ve ileri düzeyde mesleki eğitim
basic price	temel fiyat
basic requirements	temel gerekler
basis	esas, ilke, kural, temel, prensip
behalf	adına
beneficiary	yararlanıcı, istifade eden
benefit	fayda, istifade, kar, menfaat
bilateral surveillance	çift taraflı gözetim
bill	hesap, fatura, senet, poliçe
bill of lading	konşimento
Binary and Ternary Fibre Textiles	İkili ve Üçlü Lifli Tekstil Ürünleri
binding	bağlayıcı
bio	biyo
Bio-availability	Biyoyararlanım
Bio-equivalence	Biyoeşdeğerlik
Biological Diversity and Natural Resources Management	Biyolojik Çeşitlilik ve Doğal Kaynak Yönetimi
block exemption	grup muafiyeti
blood products	kan ürünleri
board	idare meclisi, kurul
Board of Advertisement	Reklam Kurulu
Board of Directors of the Bank	Banka Yöneticiler Kurulu
Board of Governors of the Bank	Banka Guvernörler Kurulu
body	birim, organ,kuruluş,kurum
border	sınır, hudut
border inspection post	sınır kontrol noktası
branch of activity	faaliyet dalı
brand	marka; cins; çeşit
brand name	marka adı
bribery	rüşvet
Brussels Tariff Nomenclature	Brüksel Tarife Nomanklatürü (gümrük tarifelerinin standart sınıflandırılması)
budget	bütçe
burden	yük; mesuliyet
burden-sharing	yük paylaşımı
by common accord	ortak rızayla, ortak mutabakatla
by cooption (ecsc19(8))|by cooption (ecsc19	seçim yoluyla
by means of directives (13(2))|by means of directives (13	direktifler vasıtasıyla, aracılığıyla
cadastre	kadastro
calibration	kalibrasyon
call for tenders	ihale için teklif isteme
capacity	kapasite; yetenek
capacity decrease	kapasite indirimi
capacity utilisation	kapasite kullanımı
capital	sermaye, fon, anapara
capital goods	yatırım malları
capital increase	sermaye artırımı
carnet	karne
carried motion	kabul edilen teklif
case	durum, vaziyet, hal; mesele, vaka, hadise
case-law of the European Court of Justice	Avrupa Toplulukları Adalet Divanı İçtihadı
case of infringement	ihlal durumu
cash	nakit, para, efektif
cash flow table	nakit akım tablosu
categories of agreements	anlaşma kategorileri
categories of aid	yardım kategorileri
categories of economic activity	ekonomik faaliyet kategorileri
cause	neden olmak, sebebiyet vermek
censure	tenkit etmek, eleştirmek
Central and Eastern European Countries (CEEC)|Central and Eastern European Countries	Merkezi ve Doğu Avrupa Ülkeleri (MDAÜ)
central bureau for nuclear measurements (eaec8(1))|central bureau for nuclear measurements (eaec8	nükleer ölçümler merkez bürosu
central government	merkezi hükümet
centre	merkez
cereals	tahıl, hububat
certificate	sertifika, vesika, belge, şahadetname
certificate of origin	menşe şahadetnamesi
certificate of warranty	garanti belgesi
certified copy	onaylı nüsha
certified councillorship	yeminli mali müşavirlik
cessation	durma
cessation of joint control (66(5))|cessation of joint control (66	ortak denetimin sona erdirilmesi
chapter	bölüm,fasıl
charge	masraf; ücret;vergi
chief of disbursement	ita amiri
circulation	devir;dolaşım
civil	vatandaşlara ait,sivil, medeni
civil employment	sivil istihdam
Civil engineering	İnşaat mühendisliği
civil law (58(2))|civil law (58	medeni hukuk
civil liability	hukuki sorumluluk
civil protection	sivil savunma (afetlere karşı)
claim	iddia etmek, talep etmek, istemek
claim for damages (Annex III)|claim for damages	tazminat talebi
clandestine workers	kaçak işçiler
classes of undertakings	işletme kategorileri
clearance	gümrük makbuzu; gümrükleme, tasfiye
clearance of accounts	hesapların ibrası
climate	İklim
climate change	iklim değişikliği
Climate Change Framework Convention (CCFC)|Climate Change Framework Convention	İklim Değişikliği Çerçeve Sözleşmesi (İDÇS)
close cooperation	yakın işbirliği
close of financial year	mali yılın kapanması
closure of accounts	hesapların kapanması
cluster	bölgesel işbirliği kümesi (bir sektöre ait)
co-decision	ortak karar
co-decision procedure	ortak karar usulü
co-finance	ortak finansman
co-opt	seçmek
coal	kömür
coal site	kömür sahası
code	kanun, yasa, kod
code of conduct	davranış kuralları
code of good practice	iyi uygulama kodu
coercive measures (eaec17(1,2))|coercive measures (eaec17	zorlayıcı önlemler
cohesion	uyum
Cohesion Fund	Uyum Fonu
collective	ortak;toplu
collective bargaining	toplu sözleşme
combined nomenclature	kombine nomenklatür
commandites	komandit şirket
commerce	ticaret
commercial advertisement	ticari reklam
commercial announcement	ticari ilan
commercial property	ticari mülkiyet
commercial property (eec36)|commercial property	ticari mülkiyet
commercial usage	ticari teamül
Commission	Komisyon
Commission Decision	Komisyon Kararı
Commission Directive	Komisyon Direktifi
commission on guarantees	garanti komisyonları
Commission Proposal	Komisyon Tasarısı
Commission Recommendation	Komisyon Tavsiyesi
Commission Regulation	Komisyon Tüzüğü
Commissioner	Komisyon üyesi (Komiser)
Commissions of the European Parliament	Avrupa Parlamentosu Komisyonları
commitment	taahhüt, yüklenme, vaat
commitment of expenditure	gider taahhüdü
commitment of expenditures	giderlerin taahhüdü
committee	komite, heyet
Committee of Agricultural Organisations in the European Community	Avrupa Topluluğu Tarımsal Kuruluşlar Komitesi
Committee of Ministers of the Council of Europe	Avrupa Konseyi Bakanlar Komitesi
Committee of Permanent Representatives (COREPER)|Committee of Permanent Representatives	Daimi Temsilciler Komitesi
Committee of the Regions	Bölgeler Komitesi
common	ortak
Common Agricultural Policy	Ortak Tarım Politikası
common attitude	ortak tutum
common customs tariff (9(1))|common customs tariff (9	ortak gümrük tarifesi
Common Customs Tariff (CCT)|Common Customs Tariff	Ortak Gümrük Tarifesi (OGT)
Common Customs Tariff nomenclature	ortak gümrük tarife nomenklatürü
Common Fisheries Policy (CFP)|Common Fisheries Policy	Ortak Balıkçılık Politikası
Common Foreign and Security Policy (CFSP)|Common Foreign and Security Policy	Ortak Dış ve Güvenlik Politikası (ODGP)
Common Market	Ortak Pazar
Common Market Organisations	Ortak Piyasa Düzeni
common organisation of agricultural markets (eec40(2))|common organisation of agricultural markets (eec40	ortak tarım piyasası düzeni
Common Policies	Ortak Politikalar
Common Trade Policy	Ortak Ticaret Politikası
Common Transit and Single Administrative Document(SAD)|Common Transit and Single Administrative Document	Ortak Transit ve Tek İdari Belge (SAD)
Common Transport Policy	Ortak (Taşımacılık) Ulaştırma Politikası S
Common Transportation (Transport) Policy	Ortak (Taşımacılık) Ulaştırma Politikası
communication	iletişim; tebliğ, haber
communication to the parties	taraflara tebliğ etme,bildirme
communiqué	tebliğ
community	topluluk
Community Acts	Topluluk kuralları
community formularies	topluluk formları
Community Initiative	Topluluk inisiyatifi
Community Instructions	Topluluk talimatları
Community Instruments	Topluluk Araçları
Community Law	Topluluk Hukuku
Community Legal Instruments	Topluluk hukuki araçları
Community Legislation	Topluluk mevzuatı
Community rule	Topluluk kuralı
Community rules	Topluluk kuralları
Community Support Framework (CSF)|Community Support Framework	Topluluk Destek Çerçevesi
Community territory	Topluluk alanı
Community's own resources	Topluluğun kaynakları
company	şirket, firma
company law	şirketler hukuku
compensation	tazminat,telafi
compensation for damage (178,151)|compensation for damage	zararın tazmini
compensatory amount	telafi edici tutar
compensatory indemnity	telafi edici tazminat
compensatory levy	telafi edici vergi
compensatory tax	fark giderici vergi
competence	salahiyet, yetki; ustalık, yeterlik
competent authorities in Member States	üye devletlerdeki yetkili makamlar
competent body	ehil kuruluş
competing industries (ecsc3(g))|competing industries (ecsc3	rakip sanayiler
competing undertaking	rakip işletme
competition	rekabet
Competition Authority	Rekabet Kurumu
competition policy	rekabet politikası
competitive capacity	rekabet gücü
competitiveness	rekabet edebilirlik
compilation	derleme
complementary	tamamlayıcı, bütünleyici
complementary social security schemes	tamamlayıcı sosyal güvenlik sistemi
compliance audit	uygunluk denetimi
component	unsur, parça, bileşen
compromise	uzlaşma
compulsorily (81)|compulsorily	zorunlu olarak
compulsory	mecburi, zorunlu
computerized database	bilgisayar destekli veritabanı
concentration	yoğunlaşma
concerned product	ilgili ürün
concerted action	uyumlu eylem
concerted practices	uyumlu eylemler
condition	koşul, şart
conditions for loans	ödünç verme koşulları
conditions of accession	katılım şartları
conditions of competition	rekabet koşulları
conduct	davranış; hareket; yürütme
confer	vermek, tevcih etmek
conference	konferans, kongre, toplantı
conferring of powers	yetkilerin verilmesi
confirm	Tasdik etmek, doğrulamak
confiscation	elkoyma, müsadere
conformity	uygunluk
conformity assessment	uygunluk değerlendirmesi
conformity assessment and certification bodies	uygunluk değerlendirme ve belgelendirme kuruluşları
conformity mark	uygunluk işareti
conformity marking	Uygunluk İşareti
conjunctural policy (eec103(1))|conjunctural policy (eec103	konjonktür politikası
conscious that (in Protocol)|conscious that	bilincinde olarak
consider	mülahaza etmek, göz önünde bulundurmak, mütalaa etmek
Considering that (in Resolutions)|Considering that	göz önünde tutarak
Considers	göz önünde tutar
consolidated liberalization list	Konsolide edilmiş liberasyon listesi
construction	inşaat
construction Plant and Equipment	inşaatlarda kullanılan İş Makinaları ve Ekipmanları
construction products	inşaat malzemeleri
consultancy	danışmanlık
consultation	danışma, istişare
consultation procedure	danışma usulü
consultative committee	istişari komite,danışma komitesi
consume	tüketmek
consumer awareness	tüketici bilinci
consumer by default	temerrüde düşen tüketici
Consumer Council	Tüketici Konseyi
consumer court	tüketici mahkemesi
consumer credit	tüketici kredisi
consumer goods	tüketim malları
consumer protection policy	tüketicileri koruma politikası
Consumers Consultative Committee (CCC)|Consumers Consultative Committee	Tüketiciler Danışma Komitesi
contact	temas,ilişki
contagious	bulaşıcı
contagious disease	bulaşıcı hastalık
contaminant	kirletici, bulaşan
contaminate	bulaştırmak, kirletmek
contested act	itiraz edilen tasarruf
contingency plans	acil durum planları
contract	sözleşme
contract governed by private law (181)|contract governed by private law	özel hukuk sözleşmesi
contract governed by public law (181)|contract governed by public law	kamu hukuku sözleşmesi
contract of limited duration (246(3))|contract of limited duration (246	sınırlı süreli sözleşme
contract process	sözleşme konusu üretim süreci
contract product	sözleşme konusu ürün
contracting parties	akit taraflar
contractual liability (eec215)|contractual liability	sözleşmeden doğan sorumluluk, akdi sorumluluk
contractual licences (eaec12(2))|contractual licences (eaec12	sözleşme temelinde verilen lisanslar
contractual licences(eaec12(2))|contractual licences(eaec12	sözleşmeye ait lisanslar, akitten doğan lisanslar
contrary to the Treaty	antlaşmaya aykırı
contributions to the capital (eaec54)|contributions to the capital	sermayeye katılım, sermayeye iştirak
control	kontrol, denetim
controls on standards	standart denetimi
convention	sözleşme
conversion of an undertaking	bir işletmenin(başka bir üretim için) dönüştürülmesi
convict	mahkum etmek, suçlandırmak; mahkum
conviction	Mahkumiyet; kanaat
convinced that (in Resolutions, in Conventions)|convinced that	...inanarak (ilke kararlarında, uluslararası sözleşmelerde)
cooperation	işbirliği
Cooperation in the Fields of Justice and Home Affairs	Adalet ve İçişleri Alanlarında İşbirliği
cooperation procedure	işbirliği usulü
cooperation with the institutions	kurumlarla işbirliği
cooperative society (58)|cooperative society	kooperatif ortaklıkları
corporate tax	kurumlar vergisi
correction	düzeltme
correction amount	düzeltici tutar
correspondence	yazışma
corruption	yolsuzluk
cost	Maliyet
cost accounting	maliyet muhasebesi
cost-benefit analysis	fayda-maliyet analizi
council	konsey; meclis
Council Common Position	Konsey Ortak Tutumu
Council Conclusions	Konsey Sonuç Belgesi
Council Decision	Konsey Kararı
Council Declaration	Konsey Bildirisi
Council Directive	Konsey Direktifi
Council Framework Decision	Konsey Çerçeve Kararı
Council Joint Action ../../CFSP of ... on ...	../../ODGP Sayılı Konsey Ortak Eylemi
Council of Europe	Avrupa Konseyi
Council of European Municipalities	Avrupa Belediyeler Konseyi
Council of Ministers	Avrupa Birliği Konseyi (Bakanlar Konseyi)
Council of the European Union	Avrupa Birliği Konseyi (Bakanlar Konseyi)
Council of the European Union (Council of Ministers)|Council of the European Union	Avrupa Birliği Konseyi (Bakanlar Konseyi)
Council of the Ministers	Bakanlar Konseyi
Council Recommendation	Konsey Tavsiyesi
Council Regulation	Konsey Tüzüğü
Council Regulation (..)No ../.. of ...	,,,sayılı ve ,,, tarihli Konsey Tüzüğü
Council Resolution	Konsey İlke Kararı
counterfeit goods	sahte mal
countervailing	telafi edici
countervailing charges in respect of imports	ithalata konan telafi edici vergiler
countervailing import duties	ithalatta telafi edici vergiler
countervailing measures (eec99(1))|countervailing measures (eec99	telafi edici önlemler
country where the establishment is effected (eec52)|country where the establishment is effected	yerleşim ülkesi
court	mahkeme
Court of First Instance of the European Communities	Avrupa Toplulukları İlk Derece Mahkemesi
Court of Justice of the European Communities	Avrupa Toplulukları Adalet Divanı
Court of Justice of the European Communities (CJEC)|Court of Justice of the European Communities	Avrupa Toplulukları Adalet Divanı (ATAD)
courts and tribunals	divanlar ve mahkemeler
credit guarantee fund	kredi garanti fonu
crime	suç
cross-border cooperation	sınır ötesi işbirliği
crude oil	ham petrol
cultural	kültürel
cultural assets	kültürel varlıklar
cultural goods	kültürel mallar
cumulative multi-stage tax	kademeli vergi
current account balance	cari işlemler dengesi
current accounts	cari işlemler
current financial year (ecsc22(1))|current financial year (ecsc22	içinde bulunulan mali yıl
current payments (eec67(2))|current payments (eec67	cari ödemeler
customs	gümrük
customs arrangement	gümrük düzenlemeleri
customs barrier(110)|customs barrier	gümrük engelleri
customs clearance (Annex III)|customs clearance	gümrükleme
customs code	gümrük kodu
customs duties (9(1))|customs duties (9	gümrük vergileri
customs duties accrued on the product	mala tahakkuk eden gümrük vergisi
customs duties of a fiscal nature (17(1))|customs duties of a fiscal nature (17	mali nitelikli gümrük vergileri
customs duty exemption	gümrük muafiyeti
customs protection	gümrük vergileri ile koruma
customs protection (92(3,c))|customs protection (92	gümrük vergileri ile koruma
customs receipt (14(4))|customs receipt (14	gümrük makbuzu
customs regime	gümrük rejimi
customs territory (19)|customs territory	gümrük bölgesi
customs union	gümrük birliği
customs union (9(1))|customs union (9	gümrük birliği
Customs Union Joint Committee	Gümrük Birliği Ortak Komitesi
customs value	gümrük kıymeti
dairy products	süt ürünleri
damage	zarar
dangerous substances	tehlikeli maddeler
data	veri
data processing	veri işleme
database	veritabanı
date	tarih
deadline	süre bitimi
debt	borç
decide	karar vermek
decision	Karar
Decision-Making Procedure of the Council of the European Union	AB Konseyi Karar Alma Usulü
Decision-Making Procedure of the European Community	Avrupa Topluluğu Karar Alma Usulü
decision of an arbitration board	tahkim kurulu kararı
decisions of the Court	Divan kararları
declaration	bildiri
declaration of intent	niyet bildirisi
declare	beyan etmek, bildirmek
deep sea discharge system	derin deniz deşarj sistemi
defective goods	ayıplı mal
defective products	ayıplı ürünler
defer	ertelemek, geciktirmek
deficit	açık, eksik
degree of liberalisation (eec31,71(2))|degree of liberalisation (eec31,71	serbestleşme derecesi
deliver	teslim etmek
delivery (ecsc4(b))|delivery (ecsc4	mal teslimi
delivery terms	teslim koşulları
demand for labour	işgücü talebi
derived intervention price	belirlenmiş (hesaplanmış) müdahale fiyatı
Derived Law	ikincil hukuk
derogation (226(3))|derogation (226	derogasyon
desiring to	arzusuyla
desirous of (in Recommendations)|desirous of	arzusuyla (Tavsiyelerde)
development	gelişme, kalkınma
development activities	kalkınma faaliyetleri
device	cihaz
differ	farklı olmak, benzememek
difficulty	güçlük
diploma	diploma
diploma equivalance	diploma denkliği
direct	doğrudan
direct applicability	doğrudan uygulanabilirlik
direct effect	doğrudan etki
direct income support	doğrudan gelir desteği
direct universal suffrage (eec138(3))|direct universal suffrage (eec138	doğrudan genel seçim
directive	direktif
disadvantage	dezavantaj; zarar
disbursement	ödeme, harcama
disclosure	açıklama
discounted imports	dampingli ithalat
discriminate	ayrım yapmak
discrimination	ayrımcılık
disguised restrictions	örtülü kısıtlamalar
dispersed settlement	dağınık yerleşim
disposal of products ((37(4))|disposal of products ((37	ürünlerin pazara sürümü; ürünlerin (imha) bertaraf edilmesi
dispose	sürmek
dispute	tartışma, münakaşa, uyuşmazlık
distant sales	uzaktan satışlar
distortion	bozulma
distribute	dağıtmak
distributor	dağıtıcı
diversification	çeşitlendirme
diversification of resources	kaynakların çeşitlendirilmesi
document	belge
domestic	İç,evsel , yerli, yurtiçi
domestic animals	yerli hayvanlar, evcil hayvanlar
domestic consumers	yerli tüketiciler
domestic wastewater	evsel atıksu
Done at Brussels	Brüksel
door step selling	kapıdan satışlar
double-checking regime	çift taraflı kontrol rejimi
double taxation	çifte vergilendirme
draft	taslak
draft budget (eec203(3))|draft budget (eec203	bütçe taslağı
draft decision submitted by the Commission	Komisyon tarafından sunulan taslak karar
draft opinion (eec197)|draft opinion	taslak görüş
drinking water	içme suyu
drug	uyuşturucu,ilaç
Drug Addiction Prevention Monitoring and Control Board	Uyuşturucu Bağımlılığı Önleme İzleme ve Kontrol Kurulu
dumped and subdisied imports	dampingli ve sübvansiyonlu ithalat
dumping	damping
dumping of waste at sea	atıkların denize verilmesi
durable consumer goods	dayanıklı tüketim malları
duty	vergi; vazife
duty relief arrangement	gümrük muafiyet düzenlemesi
earnings	kazanç, kar, gelir, ücret
EBU-EUROVISION	Avrupa Yayın Birliği
EC Legislation	AT Mevzuatı
EC-Turkey Joint Parliamentary Committee	AT-Türkiye Karma Parlamento Komisyonu
economic	ekonomik
Economic and Monetary Union (EMU)|Economic and Monetary Union	Ekonomik ve Parasal Birlik
economic and social cohesion	ekonomik ve sosyal uyum
Economic and Social Committee	Ekonomik ve Sosyal Komite
Economic Cooperation Organisation	Ekonomik İşbirliği Teşkilatı
economic equilibrium (ecsc67(2))|economic equilibrium (ecsc67	ekonomik denge
economic study committee	ekonomik inceleme komitesi
ECSC General Decision	AKÇT Genel Kararı
ECSC Interventions	AKÇT müdahaleleri
ECSC Recommendation	AKÇT Tavsiyesi
EEC-Turkey Association Agreement	AET-Türkiye Ortaklık Anlaşması
effect	etki
electrical	Elektrikli, elektriksel
electrical equipment	elektrikli techizat
electrical material	elektrikli materyaller
electrical risk	elektriksel risk
electromagnetic compatibility	elektromanyetik uyumluluk
elevation difference	yükselti farkı
elimination of quantitative restrictions	miktar kısıtlamalarının kaldırılması
emphasises the interest in	önemini (yararını) vurgulayarak
emphasize	vurgulamak
employment	istihdam
Employment Guidelines	İstihdam İlkeleri
enactment	yürürlüğe girme
energy	enerji
energy efficiency	enerji verimliliği
energy manager	enerji yöneticisi
Energy Sales and Treasury Guarantee Agreements	Enerji Satış ve Hazine Garantisi Anlaşmaları
enforcement	icra etme, yürütme
enjoyment of a right	bir haktan yararlanma
enlargement	genişleme
enlargement of quotas	kotaların genişletilmesi
enlargement of quotas (108(2))|enlargement of quotas (108	kotaların genişletilmesi
enter into force	yürürlüğe girmek
enterprise	teşebbüs, işletme, girişim
entrepreneur	müteşebbis, girişimci
entrepreneurship	girişimcilik
entrust	tevdi etmek, vermek
entrusted tasks	verilen görevler
entrusted tasks (ecsc48))|entrusted tasks	verilen görevler
entry	giriş
entry point	giriş kapısı, giriş noktası
entry price	giriş fiyatı
environment	çevre
Environment Policy	Çevre Politikası
environmental auditing	çevre denetimi
Environmental Impact Assessment (EIA)|Environmental Impact Assessment	Çevresel Etki Değerlendirmesi (ÇED)
