##name	Bodybuilding Jargon
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Rossella Pruneti.
##description	The jargon bodybuilders use to describe their exercises, their equipments, their bodies and their feelings while working out and competing on the stages.
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2000/09/30, 12:04
##bgl_middleUpdated	2000/11/04, 21:57
'oids|'roids|gear|juice|sauce|steroids	short for <a href="bword://steroids">steroids</A> .
back extension	exercise for the <a href="bword://lower back">lower back</A>.<HR>Directions: lie on your stomach , arms straight out in front of you, palms down. Pull your <a href="bword://abs">abs</A> in. Lift your right arm and left leg a couple of inches off the floor and stretch out as much as you can. Hold this position, lower back down, and then repeat the same move with your left arm and right leg.
back lat spread	a compulsory pose.<BR>Directions: Standing with his back to the judges, the competitor will place his hands on his waist with his elbows kept wide, one foot back and resting on the toes. He will then contract the latissimus dorsi as wide as possible and display a calf contraction by pressing downward on the rear toes. The competitor should make an effort to display the opposite calf to that which was displayed during the back double biceps pose so the the judge may assess both calf muscle equally. <BR><BR><I>For pics and more see</I> <a href="http://www.ifbb.com">IFBB website</A> .
back squats|squats	<I>See </I><a href="bword://squat">squats</A> <I>.</I>
bar	abbreviated jargon for:<BR>1- <a href="bword://barbell">barbell</A> <BR>2 - <a href="bword://straight short bar">straight short bar</A> <BR>3 - handle of a lat machine<BR>bar of a lat machine:<BR><img src="0C972C0E.jpg" align="center" width="235" height="33">
barbell	a straight or curved bar, usually around five to seven feet in length with ends at both sides where <a href="bword://plate">plates</A> can be placed. <BR><img src="3A189306.jpg" align="center" width="410" height="38"><BR>
barbell biceps curl|curl|dumbbell biceps curl	exercise for the <a href="bword://biceps">biceps</A> .<HR>Directions: hold a <a href="bword://barbell">barbell</A> with an <a href="bword://underhand grip">underhand grip</A> and your hands about shoulder-width apart. Stand and let your arms hang down so that the <a href="bword://bar">bar</A> is in front of your thighs. Bend your arms to curl the <a href="bword://bar">bar</A> up to your shoulders, and then slowly lower the <a href="bword://bar">bar</A> to the starting position.<BR><I>See also </I><a href="bword://dumbbell biceps curl">dumbbell biceps curl</A> <I>, </I><a href="bword://biceps curl">biceps curl</A> <I>.</I>
barbell pullover	exercise for the chest and back.<HR>Directions: same as <a href="bword://dumbbell pullover">dumbbell pullover</A>, except you hold a <a href="bword://bar">bar</A> in the center with your palms facing up.
barbell row	exercise for the back.<HR>Directions: place a <a href="bword://barbell">barbell</A> on the floor and stand about a foot away from it. Keeping your hips bent so that your torso is at 45-degree angle to the floor, grasp the <a href="bword://bar">bar</A> in an overhand grip with your hands a little wider than your shoulders. Pull the <a href="bword://bar">bar</A> toward the lower part of your chest and then slowly lower it back down.
basal metabolic rate	the minimal energy required to maintain body life function at rest during a 24 hour period. <BR>
beginner bodybuilder	a bodybuilder who have trained 6 to 9 months.<BR><BR><I>See also </I><a href="bword://intermediate bodybuilder">intermediate bodybuilder</A> <I>, and </I><a href="bword://advanced bodybuilder">advanced bodybuilder</A> <I>. </I>
bench dip	exercise for the <a href="bword://triceps">triceps</A> .<HR>Directions: place two flat <a href="bword://weight bench">benches</A> side by side about three feet apart. With your heels resting on a <a href="bword://weight bench">bench</A>, hold onto the edge of the other with your palms facing behind you. Lock your arm to support your body weight. With your upper arms and elbows pointed straight back, lower your body as far as possible, and push back up.
bench press	exercise for the chest.<HR>Directions: keep your body flat on a bench. Grip the <a href="bword://bar">bar</A> slightly wider than shoulder-width, and inhale as you lower the <a href="bword://bar">bar</A> to your chest. Keep your elbows close to your sides throughout the movement. Exhale as you press the weight up.
bent lateral raise	a variation on the <a href="bword://lateral raise">lateral raises</A> performed with the torso leaning forward almost parallel to the floor, shifting the stress primarily to the posterior <a href="bword://deltoids">deltoids</A> . <BR>
bent-over lateral raise	exercise for the <a href="bword://rear delts">rear delts</A> .<HR>Directions: sit on a <a href="bword://weight bench">bench</A> . Bend forward from the waist. Take a <a href="bword://dumbbell">dumbbell</A> in each hand. Keeping your body steady, lift the <a href="bword://dumbbell">dumbbells</A> out to either side at a point just higher than your head. Then lower the <a href="bword://dumbbell">dumbbells</A> again slowly, resisting all the way down.
bent-over row	exercise for the <a href="bword://lats">lats</A>.<HR>Directions: with an <a href="bword://overhand grip">overhand grip</A>, start with your legs slightly bent, and lean forward at the waist. Take a slightly wider than shoulder-width <a href="bword://grip">grip</A> and bring the weight up into your midsection and pull your arms back. Lower the weight until the arms reach full extension.
bi|bi's|bis|guns|pipes|pythons	abbreviated jargon for <a href="bword://biceps">biceps</A> .
bi's|bi|biceps|bis|guns|pipes|pythons	abbreviated jargon for <a href="bword://biceps">biceps</A> .
biceps|bi|bi's|bis|guns|pipes|pythons	biceps brachii, muscle in your arm which supinates the forearm and helps raise the upper arm at the shoulder.<BR><img src="6FD63463.jpg" width="129" height="170"><BR>
biceps curl|barbell biceps curl|curl|dumbbell biceps curl	exercise for the<a href="bword:// biceps"> biceps</A> .<BR><I>See </I><a href="bword://dumbbell biceps curl">dumbbell biceps curl</A>, <a href="bword://barbell biceps curl">barbell biceps curl</A>.
biceps femoris	the large, two-headed muscle on the back of the thigh. <BR><img src="C61A7B6F.jpg" width="231" height="295"><BR>
biceps peak	when the biceps is well-developed and the muscle belly is high.
biological value|BV	a measure of protein quality. It's based on how well a given food supports nitrogen retention in humans.
bis|bi|bi's|biceps|guns|pipes|pythons	abbreviated jargon for <a href="bword://biceps">biceps.</A>
bitch tits	a condition known medically as <a href="bword://gynecomastia">gynecomastia</A>
bodyfat	bodyweight minus lean body mass<BR>
bottoms	another word for <a href="bword://glutes">glutes</A>.
buff	slang for well-built.
buffed	jargon adjective to describe a bodybuilder with big, lean quality muscles and good muscle lines. <BR>
bulk up	<I>v.</I> to gain bodyweight adding both lean body mass and fat.
bumper plate	a weight <a href="bword://plate">plate</A> (almost always olympic) with a rubber outer rim to reduce damage to the floor (and the plate) in case it is dropped. <BR>
buns	another word for <a href="bword://glutes">glutes</A>.
burn	a sensation of mild discomfort in a muscle when exercising to failure. It comes from the increased lactic acid and pH buildup. It means you have done a good workout.
buttocks	slang for upper <a href="bword://glutes">glutes</A> .
cable	short for <a href="bword://cable machine">cable machine</A>.
cable attachments	handles to attach to a cable pulley in order to create an unlimited variety of exercises.<BR>Lat bar:<BR><img src="0C972C0E.jpg" align="center" width="235" height="33"> <BR>Trazybar:<BR><img src="3846FF6F.jpg" align="center" width="235" height="64"> <BR>
cable biceps curl	exercise for the <a href="bword://biceps">biceps</A>.<HR>Directions: same as <a href="bword://biceps curl">biceps curl</A>, except you attach a <a href="bword://straight short bar">straight short bar</A> to the lowest <a href="bword://pulley">pulley</A> of <a href="bword://cable machine">cable machine</A>. Hold the <a href="bword://straight short bar">straight short bar</A> with an <a href="bword://underhand grip">underhand grip</A>.
cable crossover	1 - a piece of equipment, basically a <a href="bword://cable machine">cable machine</A> with two towers and two <a href="bword://pulley">pulleys</A> .<HR>2 - an exercise for the <a href="bword://pecs">pecs</A> .<HR>Directions: stand between the towers of a <a href="bword://cable machine">cable crossover machine</A> . Clip two handles to each <a href="bword://pulley">high pulley</A> . Grasp a <a href="bword://horseshoe">horseshoe handle</A> in each hand, palms facing down. Keeping a slight bend in your elbows, pull the handles down so that one wrist is in front of the other. Then slowly raise your arms up and out to the sides until your hands are level with your shoulders.
cable lateral raise	exercise for the <a href="bword://delts">delts</A>.<HR>Directions: same as <a href="bword://lateral raise">lateral raise</A>, except you stand between the towers of a <a href="bword://cable machine">cable crossover machine</A> grasping a <a href="bword://horseshoe ">horseshoe handles</A> in each hand.
cable machine|cable	an exercise machine in which there is a vertical metal beam, called a tower, with a typical round <a href="bword://pulley">pulley</A> attached. The height of the <a href="bword://pulley">pulley</A> can be close to the floor, overhead or adjustable anywhere in between. The lifter pulls on a handle - or <a href="bword://cable attachments">cable attachments</A> - attached to a cable.<BR><img src="6B40F6F1.jpg" width="65" height="150">
cable row	exercise for the upper back.<HR>Directions: sit with your legs slightly bent and your feet planted against the raiser of a low pulley machine. Grasp the <a href="bword://straight short bar">straight short bar</A> handle and strainghten your arms out in front of your chest. Pull the handle toward the lower part of your chest, squeezing your shoulders blades together as you pull - elbows straight back, arms brushing against your chest.
cage	another word for <a href="bword://power rack">power rack</A> .<HR><img src="A2691263.jpg" align="center" width="107" height="138">
calf	the muscle on the back of the lower leg responsible for extending the ankle. <BR><img src="222DE6E3.jpg" width="194" height="187">
calf raise	exercise for the calves.<HR>Calf raise can be performed <a href="bword://standing calf raise">standing</A>, <a href="bword://standing calf machine">standing calf machine</A>, <a href="bword://one-leg calf raise">one-leg calf raise</A>.
cam	a kidney-shaped gizmo to manipulate the resistance in a weight machine. It usually has a cable attached to one point of the rim, an attached axle that transmits rotational force to or from another part of the machine, and a radius that varies with angle, changing the amount of force applied at different parts of the movement in a consistent manner. <BR><img src="9710E881.jpg" align="center" width="122" height="157"><BR><BR>
cambered bar	a <a href="bword://bar">bar </A> with most of the middle offset used to increase the range of motion.<BR><img src="54776916.jpg" align="center" width="400" height="70">
cap	jargon for the deltoid muscle of the shoulder.<BR><I>See also </I><a href="bword://delts">delts</A>, <a href="bword://deltoids">deltoids</A>.
carb up	<I>v. </I>after any period of carbohydrate depletion, the consumption of large quantities of carbohydrates with the intent of saturating muscle glycogen stores and having fuller muscle. It's mostly a pre-contest technique.<BR>
cardiovascular endurance	the stamina of your heart and lungs.
catabolism	a metabolic condition in which muscle tissue is broken down and converted to energy in order to keep the body fueled when dieting or <a href="bword://overtraining">overtraining</A>.<BR><I>See also </I><a href="bword://anabolism">anabolism</A> <I>.</I>
cheat reps	reps with the <a href="bword://cheating">cheating</A> principle.
cheating	performing <a href="bword://reps">reps</A> by slightly deviating from strict form (leaning, adding extra momentum at the bottom of the movement with whole-body motion) after a lifter has reached the point of failure with a given weight<BR>
chest fly	exercise for chest.<HR>Directions: same as <a href="bword://dumbbell chest press">dumbbell chest press</A>, except as you lower the <a href="bword://dumbbell">dumbbells</A>, turn your palms inward to face each other, and bring your arms a few inches further out to the sides. When your elbows are just below yor shoulders, push back up.
chin-ups	exercise for the <a href="bword://lats">lats</A>.<BR>Directions: Step up and grasp a bar with wide <a href="bword://overhand grip">overhand grip</A>. Step down onto assistance lever or platform. Pull body up until the chin is just above the bar. Lower body until arms and shoulders are fully extended. Repeat.
circuit training	a workout technique in which one goes from one exercise to another, one <a href="bword://set">set</A> per movement per round, with minimal <a href="bword://rest">rest</A>. It gives some aerobic benefit.
clean and jerk	it is one of the two classical competitive weightlifting exercises. Its objective is to lift the <a href="bword://barbell">barbell</A> to a locked out overhead position in two seperate movements. The first movement is to the shoulders, and the second is to overhead.
close spot|spotter|spottimg	stand ready to assist an athlete performing a set with heavy weights during an exercise.
close-grip bench press	exercise for the <a href="bword://triceps">triceps</A>.<HR>Directions: position yourself on a flat bench. Keep your legs elevated and crossed, and <a href="bword://grip">grip</A> the <a href="bword://bar">bar</A> with your hands spaced about 6 to 10 inches apart. With arms close to your upper torso, lower the bar under control to lower chest level. Push the <a href="bword://bar">bar</A> back up and lock the elbows to get full triceps contraction.
collar	clip-like or screw-like devices which slips on the ends of the <a href="bword://barbell">barbell</A> or <a href="bword://dumbbell">dumbbell</A> and is tightened snugly against the <a href="bword://plate">plates</A> so they won't slip off during exercise.
compound	compound movements are exercises that requires more than one joint to complete, and in which to hit the targeted muscle, you'll need to recruit the help of other supporting muscle groups.<BR><BR><I>See also</I> <a href="bword://multi-joint exercises">multi-joint exercises</A> . <BR>
compound set	a technique and a <a href="bword://Weider Principle">Weider Principle</A> that involves performing two back-to-back exercises for the same body part with little or no <a href="bword://rest">rest</A> .<BR>A <a href="bword://superset">superset</A> for the same body part is a compound set.
compound superset	a technique in which you <a href="bword://superset">superset</A> two exercises within the same muscle group.
compulsory pose	<I>See </I><a href="bword://mandatory pose">mandatory pose</A><I>. </I>
concentration curl	exercise for the <a href="bword://biceps">biceps</A>.<HR>Directions: hold a <a href="bword://dumbbell">dumbbell</A> in your right hand and sit on the edge of a <a href="bword://weight bench">bench</A>. Lean forward and place your right elbow against the inside of your right thigh. The <a href="bword://dumbbell">dumbbell</A> should hang down near the inside of your ankle. Bend your arm and curl the <a href="bword://dumbbell">dumbbell</A> almost up to your shoulder. Then, straighten your arm to lower the <a href="bword://dumbbell">dumbbell</A> back down.
concentric	the positive part of the repetition, when you raise the weight. A contraction in which there's a shortening of the muscle.<BR><I>See also </I><a href="bword://eccentric">eccentric</A>.<BR>
continuous tension	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you train slowly and deliberately with constant tension to make the muscles work harder and to increase intensity, and to decrease the possibility of injury.
cramp	<I>v. </I>exercising a muscle using shortened movements to bring it to temporary fatigue and to achieve a greater <a href="bword://pump">pump</A> .
cross-arm crunch	exercise for the <a href="bword://abs">abs</A>.<HR>Directions: same as <a href="bword://crunch">crunch</A>, except you fold your arms across your chest, palms down, and tuck your chin so that it rests on your hands.
cross-striations	term to describe when one can see ridges or &quotshreds" in the muscle groups, i.e. muscle fibers are visible. Occurs when the bodybuilder has minimal <a href="bword://bodyfat">bodyfat</A> and <a href="bword://water retention">water retention</A>.
crunch	exercise for the <a href="bword://abs">abs</A> performed by &quotcurling" the midsection to draw the base of the ribcage and the hips as close together as possible..<HR>Directions: lie on your back with your knees bent. Place your hand behind your head, hold your elbows out to the sides. Curl up and forward so that your head, neck, and shoulder blades lift off the floor. Hold for a moment at the top of the movement, and then lower slowly back down.
curl|biceps curl	<I>See </I><a href="bword://biceps curl">biceps curl</A><I>.</I>
curved short bar	a <a href="bword://cable attachments">cable attachment</A> almost exclusively used for <a href="bword://triceps">triceps</A> exercises.<BR>
cut|defined	adjective to describe a bodybuilder who has good <a href="bword://separation">separation</A> between muscle groups. Occurs when the bodybuilder has reduced <a href="bword://bodyfat">bodyfat</A> levels.
cut cycle	in <a href="bword://cycle training">cycle training</A> , when you train with light to moderate weights; no more than 45 seconds of <a href="bword://rest">rest</A> between <a href="bword://set">sets</A> ; 12 to 25 <a href="bword://reps">reps</A> .
cut to the bone	when one is dieted down and so <a href="bword://cut">cut</A> that they look like their skin reaches the bones. <BR>
cut up	<I>v. </I>to reduce <a href="bword://bodyfat">bodyfat</A> and <a href="bword://water retention">water retention</A> while retaining maximum muscolarity.
cycle	1 - a length of time set aside for specific types of training.<BR>Combining individual training cycles is sometimes referred to as <a href="bword://periodization">periodization</A>.<HR>2 - taking one or more specialized supplements (or steroids) for a specific period of time.<BR>
cycle training|periodization	a technique and a <a href="bword://Weider Principle">Weider Principle</A> combining individual training cycles changing how you work your body on a regular basis. It hepls you avoid injuries while ensuring progress in your training and keeping you from getting bored.<BR>For example, train light for several weeks, then heavier, and then really heavy, and the process is cycled.
deadlift|deads	an exercise - used to build the power back, legs, and trapezius - where a<a href="bword://barbell"> barbell</A> is lifted off the floor until the lifter is standing erect. It's one of three events in a powerlifting competition.<BR>
deadlift bar	a <a href="bword://bar">bar</A>, usually but not necessarily straight, which is smooth in the center, but is knurles in the areas a lifter is likely to grip while performing a <a href="bword://deadlift">deadlift</A>.<BR>
deads	abbreviated jargon for<a href="bword:// deadlift"> deadlift</A>.
decline chest fly	exercise for the lower chest.<HR>Directions: same as the <a href="bword://flat chest fly">flat chest fly</A> , except you decline the<a href="bword://weight bench"> bench</A> a few inches so that your head is lower than your feet.
defined|definition|to be well defined|to have good definition	adjective to decribe a bodybuilders who shows <a href="bword://definition">definition</A> in muscle groups.
definition|defined|to be well defined|to have good definition	term to describe when muscular groups are separate from one another as occurs in individuals with low bodyfat.
deltoids	the shoulder muscles, which are divided into three heads: anterior, medial, and posterior (or rear). <BR><img src="3F7E6850.jpg" width="229" height="264"><BR>
delts	abbreviated jargon for <a href="bword://deltoids">deltoids</A>.
descending sets|stripping	a technique and a <a href="bword://Weider Principle">Weider Principle</A> in which you gradually reduce the weight within the set of an exercise. A training partner stripping the weight so you can continue to keep training without stopping is very useful.<BR>
dial it in	<I>v. </I>the process of training and dieting to get <a href="bword://shredded">shredded</A> for a contest.<BR>
dimes	10 pound plates that you put on an Olympic barbell .
dip belt	a belt, usually without a buckle, with a chain or other method of attaching a weight as a simple and comfortable way of adding weight when performing exercises involving lifting one's own body. <BR>
dips	an exercise - used to build the chest and triceps - performed on an apparatus resembling two parallel bars three to four feet high.
double cable curl	exercise for the <a href="bword://biceps">biceps</A>.<HR>Directions: hold a <a href="bword://dumbbell">dumbbell</A> in each hand with your palms facing up, elbows resting against your sides, arms hanging down. Curl the <a href="bword://dumbbell">dumbbells</A> up and down together as if it were <a href="bword://biceps curl">biceps curl</A>.
double-split	a technique and a <a href="bword://Weider Principle">Weider Principle</A> that allows you to work one or two body parts in the morning and another body part in the evening. It increase your overall training intensity.
dumbbell	a bar, usually around 1' long with ends at both sides where <a href="bword://plate">plates</A> can be placed. <BR>
dumbbell French press	exercise for the <a href="bword://triceps">triceps</A>.<HR>Directions: same as <a href="bword://French press">French press</A> , except you hold a <a href="bword://dumbbell">dumbbell</A> in each hand.
dumbbell biceps curl|barbell biceps curl|curl	exercise for the <a href="bword://biceps">biceps</A> .<HR>Directions: standing, hold a <a href="bword://dumbbell">dumbbell</A> in each hand. Let your arms hang down at your sides with your palms facing in. Curl your right arm close to your shoulder, twisting your palm as you go so that it faces the front of your shoulder at the top of the movement. Slowly lower the <a href="bword://dumbbell">dumbbell</A> back down, and then repeat alternating your arms.
dumbbell chest press|chest press	exercise for the chest, along with shoulders and <a href="bword://triceps">triceps</A>.<HR>Directions: lie on the <a href="bword://weight bench">bench</A> with a <a href="bword://dumbbell">dumbbell</A> in each hand. Push the dumbbells up so that your arms are directly over your shoulders and your palms face forward. Lower the <a href="bword://dumbbell">dumbbells</A> down until your elbows are slightly below your shoulders. Push the <a href="bword://dumbbell">dumbbells</A> back up.
dumbbell pullover|pullover	<I>See </I><a href="bword://pullover">pullover</A> <I>.</I>
dumbbell shoulder press|press	exercise for the <a href="bword://delts">delts</A>.<HR>Directions: hold a <a href="bword://dumbbell">dumbbell</A> in each hand and sit on a <a href="bword://weight bench">bench</A> with back support. Bend your elbows and raise your upper arms so that the <a href="bword://dumbbell">dumbbells</A> are at shoulder level. Push the <a href="bword://dumbbell">dumbbells</A> up and in until the ends of the <a href="bword://dumbbell">dumbbells</A> are nearly touching directly over your head . Lower the <a href="bword://dumbbell">dumbbells</A> back to shoulder level.
eccentric	the negative part of the repetition, when you lower the weight. Contraction in which there's lengthening of a muscle. <BR><I>See also </I><a href="bword://concentric">concentric</A><I>.</I>
eclectic training	a technique and a <a href="bword://Weider Principle">Weider Principle</A> combining mass-building and isolation-refinement movements into a specific training system.
ectomorph	one of the three basic body types. Characterized by long arms and legs; very little fat storage; and long, thin muscles.<BR><I>See also </I><a href="bword://mesomorph">mesomorph</A><I> , </I><a href="bword://endomorph">endomorph</A><I> .</I>
elimination round	during the <a href="bword://prejudging">prejudging</A> of a contest, when there are more than 15 athletes competing in a category, an elimination round shall be held for the purpose of reducing the number to 15.<BR><BR><I>For more see </I><a href="http://www.ifbb.com">IFBB site</A> <I>.</I><BR>
endomorph	one of the three basic body types. Characterized by soft musculature and an inclination toward heavy fat storage.<BR><I>See also </I><a href="bword://mesomorph">mesomorph</A><I> , </I><a href="bword://ectomorph">ectomorph</A><I> .</I>
extension	a straightening movement that results in an increase of the angle in a joint by moving the bones apart. <BR>
false grip	a style of <a href="bword://grip">grip </A> most commonly used in the <a href="bword://bench press">bench press</A> in which the thumb remains against the side of the palm rather than wrapping around the bar. <BR>
fascia	fibrous membrane that covers, supports, connects and separates muscles.<BR>
fast-twitch fibers	muscle cells that fire quickly and are used primarily in anaerobics activities like sprinting and powerlifting.<BR><I>See also </I><a href="bword://slow-twitch fibers">slow-twitch fibers</A><I>.</I>
fat	tissue made up of cells that contains fat, especially the layer of cells under the skin.
finals	the final phase of a contest.<BR>It shall proceed as follows: the top 6 finalists from <a href="bword://prejudging">prejudging</A> shall be called onstage in numerical order to perform their individual free <a href="bword://posing routine">posing routines</A> to music of their own choice, the length of which shall be 60 seconds for men, 90 seconds for women, and 2 minutes for mixed-pairs. The top 6 finalists shall then be called back onstage, in numerical order and in a single line. The Chief Judge shall direct the competitors, as a group, through the <a href="bword://compulsory pose">compulsory poses</A> . The <a href="bword://compulsory pose">compulsory poses</A> shall be immediately followed by a 60 second <a href="bword://posedown">posedown</A> . Each category shall have its victory ceremony immediately following the category <a href="bword://posedown">posedown</A> , while the top 6 finalists are lined up at the back of the stage. <BR>
flat	adjective to describe a not optimal condition for a competition. Occurs when the bodybuilder has not <a href="bword://hard">hard</A>, <a href="bword://cut">cut</A>, and <a href="bword://full">full</A> muscles. Commonly caused by overtraining, undertraining or a lack of nutrients and water.
