##name	Medical Abbreviations and Acronyms
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2001/04/02, 21:18
##author	Marcos E. Velez
##description	Medical Abbreviations and Acronyms. Useful for med-students, physicians and other health related professionals.
##browsingEnabled	
##bgl_creationTime	2001/03/25, 19:29
8EAF66FD.bmp	File: 8EAF66FD.bmp
PEG	Percutaneous endoscopic gastrostomy (gastric tube)
PERRL	Pupils equally round and reactive to light
PERRLA	Pupils equally round and reactive to light and accommodation
PET	Positron emission tomography
PID	Pelvic inflammatory disease
PMH	Past medical history
PMI	Point of maximum impulse
PND	Paroxysmal nocturnal dyspnea
PO	Per os (by mouth)
POx	Pulse oximetry (guide to arterial blood oxygenation)
PPD	Protein purified derivative (tuberculosis skin test)<BR><BR>-or-<BR><BR>cigarette packs per day
PRN	pro re nata (as the need arises)
PSA	Prostate specific antigen
PSVT	Paroxysmal supraventricular tachycardia
Pt	Patient
PTC	Percutaneous transhepatic cholangiogram
PTCA	Percutaneous transluminal coronary angioplasty
PTT	Partial Thromboplastin Time
PTX	Pneumothorax
PTXes	Pneumothoraces
PVC	Premature ventricular contraction
Px	Prognosis
q8h	taken every 8 hours
QD|qd	Each day
qhs	at bedtime
QID|qid	Quarter in die (four times daily)
r/o	Rule out
RAAS	Renin-angiotensin-aldosterone system
RAS	Reticular activating system
RBBB	Right bundle branch block
RBC	Red blood cells
RF	Rheumatic fever
RLL	Right lower lobe
ROS	Review of systems
RPN	Resident progress note
RR	Respiratory rate
RRR	Regular rate and rhythm
RUL	Right upper lobe
RUQ	Right upper quadrant
RVH	Right ventricular hypertrophy
Rx	Prescription
SAD	Seasonal affective disorder
SBP	Systolic blood pressure
SCDs	Sequential compression devices
SDP	Single donor platelets
SEM	Systolic ejection murmur
SH	Social history
SLE	Systemic lupus erythematosis
SOAP	Progress note: Subjective, Objective, Assessment, and Plan
SOB	Shortness of breath (dyspnea)
SQ	Subcutaneous
STD|Std	Sexually Transmitted Disease<BR><BR>-or-<BR><BR>Standard
Sux	Succinylcholine
SVT	Supraventricular tachycardia
Sx	Surgery
TAH/BSO	Total abdominal hysterectomy/bilateral salpingo-oophorectomy
TB	Tuberculosis
TBI	Traumatic brain injury
TC&DB	Turn, cough, and deep breathe
TEE	Transesophageal echocardogram
TIA	Transient ischemic attack
TID	Three times per day
TKO	To keep open
TPA	Tissue plasminogen activator
TPN	Total Parenteral Nutrition
TURP	Transurethral resection of prostate
TV	Tidal volume
TVH	Transvaginal hysterectomy
Tx	Treatment
U	Unit
U/A	Urine analysis
U/P	Urine/Plasma ratio
U/S|US	Ultrasound
UGIB	Upper gastrointestinal bleeding
URI	Upper respiratory infection
ut dict	from "ut dictum", as directed
VF	Ventricular fibrillation
VQ	Ventilation/perfusion, V/Q scan
VS	Vital sign
VT	Ventricular tachycardia
w/	with
w/o	without
WBC	White blood cell
WDWN	Well-developed, well-nourished
WF	White female
WM	White male
WNL|wnl	Within normal limits
x	times
y/o	years old
