##name	Harry Potter Books
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##author	Payam Riahi
##email	payam_riahi_samani@yahoo.com
##description	This is a dictionary of all harry potter books' words and idioms that you can find the meaning of them easily and fast here.
##browsingEnabled	
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_creationTime	2008/07/04, 10:45
##bgl_middleUpdated	2008/07/04, 13:58
Accio	Incantation for a summoning charm.<BR>
Divination	Magical art of telling the future using tea-leaves, crystal balls and so forth. Professor Trelawny is the Divination teacher at Hogwarts.
Dobby	Name of a House-Elf who idolizes Harry but gets him into lots of trouble.
Doge, Elphias	A member of the revitalized Order of the Phoenix.<BR>
Dr. Filibuster's Fabulous No-Heat Wet-Start Fireworks	Wizarding fireworks and one of Fred and George Weasley's favorite jokes.They fill the room with red and gold stars that last for about half an hour.<BR>
Draco Dormiens Nunquam Titillandus	The Hogwarts motto. It means, "Never tickle a sleeping dragon."<BR>
Dragon	Mythical reptilian creature who can fly and breathe fire. Hagrid is particularly fond of dragons and has a Norwegian Ridgeback called Norbert for a while.
Draught of Living Death, the|Draught of Living Death	Powerful sleeping draught.
Drooble's Best Blowing Gum	Wizarding sweet. Fills the room with blue bubbles that last for about half an hour.
Dueling Club	Club started by Professor Lockhart to teach students how to duel with spells.
Dumbledore's Army|Dumbledore	A group of Hogwarts students to whom Harry teaches Defense Against the Dark Arts during his fifth year. Also known as the D.A.
Dumbledore, Albus|Albus|Dumbledore|Professor	Headmaster of Hogwarts. Dumbledore is widely regarded as the finest wizard of his generation and was the only person that Voldemort was frightened of. He is tall, thin and very old and has very long, silver hair and beard. He has blue eyes and wears half-moon spectacles and a long purple cloak that sweeps to the ground. “Dumbledore” was an old English word for bumblebee.
Dungbomb	Stinkbomb
Durmstrang Institute	School of witchcraft and wizardry somewhere in the far north of Europe. It is smaller than Hogwarts but has more extensive grounds.
Dursley, Dudley|Dudley|Dursley	Harry's horrible muggle cousin. Dudley is fat, blond and rather stupid, but that doesn't stop him trying to bully Harry whenever he can.
Edgecombe, Marietta|Edgecombe|Marietta	Cho Chang’s friend; a Ravenclaw. Marietta is a member of the D.A., but also rats on the group to Professor Umbridge.
Eeylops Owl Emporium	Owl shop in Diagon Alley where Harry bought Hedwig.
Elixir of Life, the|Elixir of Life	Potion produced by the Sorcerer’s Stone that will make the drinker immortal.
Enervate	Reviving spell. In non-magic usage 'enervate' means to make someone weaker.
Engorgio	Swelling charm.
Errol	Name of the Weasley family owl.<BR>
Evanesco	The incantation for a spell that makes something disappear completely<BR>
Expecto patronum	Spell to guard against the Dementors.<BR>
Expelliarmus	The incantation for the Disarming spell.<BR>
Exploding Bonbons	Wizarding sweets available from Honeydukes in Hogsmeade.<BR>
Exploding Snap	Card game.<BR>
Extendable Ears	Long flesh-colored strings that allow the user to eavesdrop on conversations from a distance. Invented by Fred and George.
Fainting Fancies	Trick candies that cause you to faint. Useful if you want to get out of class. Invented by Fred and George.
Fang	Hagrid's boarhound.<BR>
Fat Friar, the|Fat Friar	Resident ghost of Hufflepuff Tower.<BR>
Fat Lady, the|Fat Lady	The subject of the portrait guarding the entrance to Gryffindor Tower.
Fawkes	Albus Dumbledore's pet phoenix.<BR>
Felix Felicis	A potion that provides its drinker with liquid luck.
Ferula	Spell to conjure a sling for a broken limb.
Fidelius Charm	A charm that conceals a secret within a person (called the Secret-Keeper) so that no one will know about it unless the Secret-Keeper chooses to divulge it.
Figg, Arabella|Arabella|Figg	Elderly Muggle who used to baby-sit for Harry. She keeps cats.<BR>
Filch, Argus|Argus|Filch	Caretaker at Hogwarts; a squib. Filch hates students and especially does not like Harry or his friends. Filch has a cat called Mrs Norris.
Finch-Fletchley, Justin|Finch-Fletchley|Justin	Hogwarts pupil in the same year as Harry. Justin is in Hufflepuff House.
Finnigan, Seamus|Finnigan|Seamus	Hogwarts pupil in the same year as Harry. Seamus is in Gryffindor House. His best friend is Dean Thomas.
Firebolt	Fastest, most technologically advanced broomstick. Can accelerate from 0-150 miles per hour in ten seconds.
Firenze	A centaur who lives in the Forbidden Forest.<BR>
Fizzing Whizbees	Wizarding sweets. Sherbet balls that make you levitate several feet in the air when you eat them.
Flamel, Nicholas|Flamel|Nicholas	Albus Dumbledore's partner and the holder of the only known Sorcerer’s Stone in existence. His wife is named Perenelle.
Fletcher, Mundungus|Fletche|Mundungus	A member of the Order of the Phoenix. Mrs. Weasley doesn’t approve of him because he’s a thief.
Flint, Marcus|Flint|Marcus	Captain of the Slytherin Quidditch team.<BR>
Flitwick, Professor|Flitwick|Professor	Charms teacher at Hogwarts. Tiny little wizard who has to stand on piles of books to see over his desk.
Flobberworm	Species of worm that Harry and his friends have to keep alive to pass the Care of Magical Creatures course in third year.
Floo powder	Glittering powder that wizards use for traveling. Throw it into the fireplace; say the name of your destination and step into the flames.
Florean Fortescue's Ice-Cream Parlor|Ice-Cream	Wizarding ice-cream shop on Diagon Alley.
Flourish and Blotts	Diagon Alley wizarding bookshop.<BR>
Flutterby Bush	Plant used in Herbology.<BR>
Foe-Glass	Magic mirror in which you can see your enemies.
Forbidden Forest, the|Forbidden Forest	The dark woods surrounding the Hogwarts grounds. Students are not allowed to go there unless accompanied by a teacher.<BR>
Ford Anglia	Make of Mr Weasley's bewitched car.<BR>
Four-Point Spell	A spell that makes your wand function as a compass, with the incantation “Point Me”
Freezing Charm	A spell that freezes the object to which it points.<BR>
Fudge Flies	Wizarding sweets.
Fudge, Cornelius|Cornelius|Fudge	Minister of Magic.
Furnunculus	Curse that causes boils.
GalleonGold	Wizarding money. There is currently no exchange rate for Galleons to the pound, dollar or euro.<BR>
Gambol and Japes	Wizarding joke shop on Diagon Alley.<BR>
Gaunt, Marvolo|Gaunt|Marvolo	Lord Voldemort’s grandfather<BR>
Gaunt, Merope|Gaunt|Merope	Lord Voldemort’s mother<BR>
Gaunt, Morfin|Gaunt|Morfin	Lord Voldemort’s uncle<BR>
Ghoul	Ghostly creature that lives in the attic and bangs on pipes. The Weasleys have one living in their attic.<BR>
Giant	Huge humanoid. Giants can grow to a height of 20 feet. They have a history of violence and warring among themselves. Many giants allied themselves with Voldemort and massacred Muggles during the first war. Others withdrew to remote mountain ranges. Their numbers are in decline and in Britain they are believed to be extinct.<BR>
Gillyweed	Water plant. If you eat it, you temporarily grow gills and fins.
Gnomes	Very small creatures with leathery skin and large, bald heads like knobbly potatoes. They have horny feet and razor-sharp teeth. They live in holes in gardens and aren't very bright. To de-gnome a garden, grab the gnome by the ankles, swing it round your head and throw!<BR>
Goblet of Fire	Wooden cup full of flames, used as an impartial selector for the contenders in the Triwizard Tournament.<BR>
Goblins	Small creatures with swarthy faces, pointed beards and very long hands and feet. Goblins staff Gringotts Bank.<BR>
Gobstones	The wizarding version of marbles. The pieces squirt a stinky substance into other players' faces when they lose a point.<BR>
Godric's Hollow	Village where Harry's parents, Lily and James Potter, lived, at the time of their deaths.<BR>
Golden Snitch	Small, golden ball with silver wings used in Quidditch. Must be caught by a Seeker to end the match.<BR>
Goshawk, Miranda|Goshawk|Miranda	Author of <I>The Standard Book of Spells</I>.<BR>
Goyle, Gregory|Goyle|Gregory	One of Draco Malfoy's stupid henchmen. Thickset and looks mean. Has short, bristly hair and long, gorilla-like arms. Also in Slytherin house.
Granger, Hermione|Granger|Hermione	Smart know-it-all at Hogwarts in Gryffindor house. She has bushy, brown hair, large front teeth and a loud, rather bossy voice. Hermione works very hard and always gets the best marks in her exams. Harry's next best friend after Ron Weasley. Her parents are Muggle dentists.<BR>
Grawp	Hagrid’s half-brother - a full giant.<BR>
Great Hall, the|Great Hall	The main hall in Hogwarts where Sorting takes place and where meals are served and meetings take place. The ceiling is bewitched to look like the sky outside.<BR>
Gregory the Smarmy	Statue at Hogwarts.<BR>
Grey Lady, the|Grey Lady	Resident ghost of Ravenclaw Tower.
Greyback, Fenrir|Fenrir|Greyback	A dangerous werewolf who tries to bite and contaminate as many people as possible.<BR>
Grim	A giant black dog taken to be a death omen.<BR>
Grindylow	Water demon. Sickly green with sharp horns and very long fingers.<BR>
Gringotts	The wizard bank in London, with vaults far below the streets, run by goblins.<BR>
Griphook	Goblin at Gringotts Bank.<BR>
Grubbly-Plank, Professor|Grubbly-Plank|Professor	Substitute teacher who took over Care of Magical Creatures when Hagrid was indisposed. An elderly witch with cropped grey hair and a prominent chin.
Grunnings	Firm where Harry's uncle Vernon Dursley is a director. Grunnings makes drills
Grunnion, Alberic|Alberic|Grunnion	Name of a wizard depicted on a wizard trading card.
Gryffindor House|Gryffindor	One of the four houses in Hogwarts. Harry, Hermione Granger and the Weasleys are all in Gryffindor house. It was founded by Godric Gryffindor and the Gryffindor symbol is a lion. The resident ghost is Sir Nicholas de Mimsy-Porpington, also known as Nearly Headless Nick. Professor McGonagall is head of Gryffindor House and Professor Dumbledore was in Gryffindor in his youth.<BR>
Gryffindor, Godric|Godric|Gryffindor	One of the four founders of Hogwarts. Gryffindor House was named after him.
Hagrid, Rubeus|Hagrid|Rubeus	Keeper of Keys and Grounds and teacher of Care of Magical Creatures class at Hogwarts from Harry's third year. He was a student at Hogwarts but was expelled for unknown reasons. Professor Dumbledore allowed Hagrid to stay<BR>as gamekeeper. Hagrid is almost twice a tall as any other person and seems five times as wide. He has masses of bushy, black hair and a huge tangled beard. Has a liking for strange and dangerous creatures - especially dragons.<BR>
Hand of Glory	Withered hand that gives light to the person holding it when a candle is placed in its grip.<BR>
He-Who-Must-Not Be-Named	The evil Lord Voldemort, Dark Wizard. Also referred to as “You-Know-Who”.<BR>
Headless Hunt, the|Headless Hunt	Team of ghosts whose heads have been completely cut off. Activities include Horseback Head-Juggling and Head Polo. Nearly Headless Nick is keen to join the hunt but can't because his head has not been completely severed.<BR>
Hebridean Black	A breed of wild dragon found in Britain.<BR>
Hedwig	Harry's owl and mail courier. Harry bought Hedwig from Eeylops Owl Emporium. Hedwig was also the name of a medieval saint.<BR>
Heir of Slytherin	True heir to Salazar Slytherin who can open the Chamber of Secrets to release the horror within.<BR>
Hengist of Woodcroft	A Wizard depicted on a wizard trading card.<BR>
Herbology	Study of plants. Professor Sprout is the Herbology teacher at Hogwarts.<BR>
Hermes	Name of Percy Weasley's owl.<BR>
Higgs, Terence|Higgs|Terence	Seeker on the Slytherin Quidditch team in Harry's first year.<BR>
Hinkypunk	Small creatures that live in bogs and swamps, they wander about at night with a lantern to lure lost travelers into the swamps.<BR>
Hippogriff	Magical creature that has the front legs, wings and head of an eagle, and the body, hind legs and tail of a horse.<BR>
Hit Wizards	Wizard police from the Magical Law Enforcement Squad who are specially trained to deal with powerful criminals.<BR>
Hog's Head, the|Hog's Head	The less reputable pub in Hogsmeade.
Hogsmeade	The only completely magical village in Britain. Hogsmeade is not far from Hogwarts and has an array of wonderful shops including Honeydukes sweet shop, the Three Broomsticks pub and Zonko's joke shop.<BR>
Hogwarts	School of Witchcraft and Wizardry. The best school of its kind in the world. Hogwarts is in a secret location somewhere in the North of Britan The four greatest witches and wizards of the age founded Hogwarts more than a thousand years ago: Godric Gryffindor, Helga Hufflepuff, Rowena Ravenclaw and Salazar Slytherin. They built a remote castle, far away so that witches and wizards could train in safety. Pupils attend from age eleven for seven years of rigorous training in the art of witchcraft and wizardry. There are a hundred and forty-two staircases at Hogwarts and everything keeps moving around, so things are not always in the same place.<BR>
Honeydukes	Wizarding sweet shop in Hogsmeade.<BR>
Hooch, Madam|Hooch|Madam	Broomstick and flying teacher at Hogwarts.<BR>
Hopkirk, Malfalda|Hopkirk|Malfalda	An employee in the Improper Use of Magic Office<BR>
Horcrux	An Object in which a person has concealed part of their soul.<BR>
House Cup, the|House Cup	Trophy awarded to the Hogwarts house with the most points at the end of the year.<BR>
House-elf	Small creature that works as a servant in some wizarding houses. A house-elf can only be set free when its master gives the elf a piece of clothing.<BR>
Howler	Wizarding letter which, when opened, shrieks and howls at the reader in an extremely loud voice. Comes in a red envelope and is usually sent by someone who is very angry. Ron Weasley received one from his mother after crashing the Ford Anglia into the Whomping Willow.<BR>
Hufflepuff House|Hufflepuff	One of the four houses in Hogwarts. It was founded by Helga Hufflepuff and the Hufflepuff symbol is a badger. The resident ghost is the Fat Friar.<BR>
Hufflepuff, Helga|Helga|Hufflepuff	One of the four founders of Hogwarts. Hufflepuff house is named after her.
Ice Mice	Wizarding sweets available from Honeydukes in Hogsmeade. Make your teeth squeak and chatter.<BR>
Impediment Jinx	Spell to slow down and obstruct attackers. The incantation is “Impedimenta ”!<BR>
Imperius Curse	Spell to control another person completely, using the incantation “Imperio”. One of the three Unforgivable Curses. It can be resisted only with great mental effort.
Incarcerous	The incantation for a spell that causes ropes to appear in midair and wrap around something completely.<BR>
Incendio	Fire-lighting spell.<BR>
Inferius	A Dead body that have been bewitched to do a Dark wizard’s bidding. Plural:Inferi<BR>
Inquisitorial Squad, The|Inquisitorial Squad	A select group of students who are supportive of the Ministry of Magic, handpicked by Professor Umbridge. Malfoy is the leader.
Intruder Charm	A spell that is used to tell when someone is breaking in.<BR>
Invisibility Cloak	Magic cloak granting the wearer invisibility.<BR>
Jelly Slugs	Wizarding sweets available from Honeydukes in Hogsmeade.
Jelly-Legs Jinx	Makes your adversary's legs wobbly.<BR>
Jigger, Arsenius|Arsenius|Jigger	Author of <I>Magical Draughts and Potions</I>.<BR>
Johnson, Angelina|Angelina|Johnson	Hogwarts student. Chaser on the Gryffindor Quidditch team. Captain during Harry’s fifth year . She is a tall black girl.
Jordan, Lee|Jordan|Lee	Pupil at Hogwarts. Has dreadlocks and is famed for his commentaries at Quidditch matches. Lee is in Gryffindor House, in the same year as Fred and<BR>George Weasley.
Jorkins, Bertha|Bertha|Jorkins	Witch employed by the Ministry of Magic. She was abducted in Albania and suffered a terrible fate.
Kappa	Monkey-like creature that lives in water and strangles people who invade its territory.
Karkaroff, Igor|Igor|Karkaroff	Headmaster of the Durmstrang Institute. Knows a lot about the Dark Arts. He is tall and thin with white hair and a goatee.
Kettleburn, Professor|Kettleburn|Professor	Care of Magical Creatures teacher at Hogwarts. Retired at the end of Harry's second year, to enjoy more time with his remaining limbs.
King's Cross Station	The station in London where the Hogwarts Express leaves from Platform Nine and Three-Quarters.
Knight Bus, the|Knight Bus	Emergency bus that transports witches and wizards to any destination.<BR>
Knockturn Alley	Street of wizard shops devoted totally to the Dark Arts. Shops include Borgin and Burkes.
Knut	Bronze Wizarding money. There are twenty-nine Knuts to a Sickle.
Kreacher	The Black family house-elf.<BR>
Krum, Viktor|Krum|Viktor	Seeker for the Bulgarian national Quidditch team. Pupil at the Durmstrang Institute. Dark, with a large curved nose and thick eyebrows; walks duck-footed and round- shouldered, but is in his element on a broomstick.
Kwikspell	Correspondence course in beginner's magic for Squibs (magicians who have little magical powers).
Leaky Cauldron, the|Leaky Cauldron	The Wizarding pub and boarding house through which witches and wizards gain access to Diagon Alley.
Leprechaun	Irish elf or pixie. Small and able to fly.<BR>
Lestrange, Bellatrix|Bellatrix|Lestrange	Death Eater; sister to Andromeda Tonks and Narcissa Malfoy; imprisoned in Azkaban for sixteen years.
Lestrange, Rabastan|Lestrange|Rabastan	Death Eater; imprisoned in Azkaban for sixteen years.
Lestrange, Rodolphus|Lestrange|Rodolphus	Bellatrix’s husband, Death Eater; imprisoned in Azkaban for sixteen years.
Levicorpus	A spell that dangles your opponent upside-down in the air by the ankle.<BR>
Liberacorpus	A spell that counter “Levicorpus” by releasing the victim.
Lockhart, Gilderoy|Gilderoy|Lockhart	Teacher of Defense Against the Dark Arts in Harry's second year. Author of self-glorifying autobiographies and five times winner of Witch Weekly's Most-Charming-Smile Award.
Longbottom, Alice|Alice|Longbottom	Neville Longbottom’s mother; a member of the original Order of the Phoenix. Tortured into insanity by the Death Eaters and now lives in St. Mungo’s Hospital of Magical Maladies and Injuries.
Longbottom, Frank|Frank|Longbottom	Neville Longbottom’s father; a member of the original Order of the Phoenix.Tortured into insanity by the Death Eaters and now lives in St. Mungo’s Hospital of Magical Maladies and Injuries.
Longbottom, Neville|Longbottom|Neville	Forgetful and rather clumsy friend of Harry's. Neville has a round face and thinks he is not very good at magic. He comes from a magical family but was a late starter. In Gryffindor House, in Harry's year
Lovegood, Luna|Lovegood|Luna	A student at Hogwarts in the same year as Ginny. Luna is a Ravenclaw and a member of the D.A. Her father is the editor of <I>The Quibbler. </I>Everyone thinks she is a little odd.
Lumos	Spell to light your wand.<BR>
Lynch, Aidan|Aidan|Lynch	Seeker for the Irish national Quidditch team.
Macmillan, Ernie|Ernie|Macmillan	Hogwarts pupil in the same year as Harry, in Hufflepuff House.
Macnair, Walden|Macnair|Walden	Executioner for the Ministry of Magic. A former Death Eater.
Madam Malkin's	Shop in Diagon Alley selling wizarding robes for all occasions.
Magical Law Enforcement Squad	Wizard police or Hit Wizards who are specially trained to deal with powerful criminals.<BR>
Magical Menagerie	Wizarding pet shop in Diagon Alley.<BR>
Malfoy, Abraxas|Abraxas|Malfoy	Draco Malfoy’s grandfather.<BR>
Malfoy, Draco|Draco|Malfoy	Harry's archenemy at Hogwarts. A thin boy with a pale, pointed face and a sneering expression. He has a bored, drawling voice and looks with contempt upon everyone else. Malfoy believes himself to be superior to Harry and hates Harry and all his friends. Malfoy is in Slytherin house.
Malfoy, Lucius|Lucius|Malfoy	Draco Malfoy's father. A Death Eater.<BR>
Malfoy, Narcissa|Malfoy|Narcissa	Mother of Draco and wife of Lucius Malfoy. A tall, slim, snooty blonde.<BR>
