##name	Diabetes Dictionary
##sourceLang	Spanish
##targetLang	Spanish
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##author	U.S. Department of Health and Human Services
##description	Diccionario de t�rminos y informaci�n b�sica sobre diabetes, sus efectos y su cuidado.
##browsingEnabled	
##bgl_creationTime	2000/08/04, 13:26
##bgl_middleUpdated	2000/08/07, 07:29
00A78CDE.png	File: 00A78CDE.png
Acido desoxirribonucleico (ADN) (DNA [Deoxyribonucleic Acid])|ADN|Acido desoxirribonucleico|Acido desoxirribonucleico (ADN)|DNA	Sustancia química en las células de las plantas y los animales que les ordena lo que hay que hacer y cuándo tienen que hacerlo. El ADN es la información referente a lo que cada persona hereda de sus progenitores.<BR>
Acidos grasos (Fatty Acids)|Acidos grasos|Fatty Acids	Unidad básica de grasas. Cuando es demasiado bajo el nivel de insulina o no hay suficiente glucosa (azúcar) para utilizar como energía, el organismo quema ácidos grasos para ese fin y origina entonces cuerpos cetónicos, productos de desecho que causan una elevación excesiva del nivel de ácido en la sangre, lo que podría conducir a la cetoacidosis, un importante problema. <I>Véase también:</I> Cetoacidosis diabética.<BR>
Acidosis (Acidosis)|Acidosis	Demasiado&Yacuteácido en el cuerpo. Esto puede en las personas diabéticas conducir a la cetoacidosis diabética. <I>Véase también:</I> Cetoacidosis diabética.<BR>
Acidosis láctica (Lactic Acidosis)|Acidosis láctica|Lactic Acidosis	Acumulación de ácido láctico en el cuerpo. Las células forman ácido láctico cuando utilizan glucosa (azúcar) para obtener energía. Si es excesivo el ácido láctico corporal, hay desequilibrio y la persona comenzará a sentirse enferma. Los signos de acidosis láctica son respiración profunda y rápida, vómitos y dolor abdominal. La causa de la acidosis láctica podría ser una cetoacidosis diabética o una enfermedad del hígado o del riñón.
Adrenalina (Epinephrine)|Adrenalina|Epinephrine	Una de las secreciones de las glándulas suprarrenales. Ayuda a que el hígado libere glucosa (azúcar) y limita la liberación de insulina. También hace latir más rápidamente el corazón y puede elevar la presión arterial; se denomina asimismo epinefrina.
Afta (Thrush)|Afta|Thrush	Una infección de la boca. En los diabéticos, esta infección podría ser causada por altas concentraciones de glucosa (azúcar) en los líquidos bucales, lo cual contribuye al desarrollo de hongos responsables de la infección. Son signos de esta enfermedad parches blancuzcos en la piel de la boca.
Agente antidiabético (Antidiabetic Agent)|Agente antidiabético|Antidiabetic Agent	Sustancia que ayuda a los diabéticos a regular el nivel de glucosa (azúcar) en la sangre de modo que funcione como es debido el organismo. <I>Véase también</I>
Agentes de primera generación	<I>Nombre genérico:</I> tolbutamida<I>Nombre de fábrica:</I> Orinase <BR><I>Nombre genérico:</I> acetohexamida<I>Nombre de fábrica:</I> Dimelor <BR><I>Nombre genérico:</I> clorpropamida<I>Nombre de fábrica:</I> Diabinese <BR><I>Nombre genérico:</I> tolazamida<I>Nombre de fábrica:</I> Tolinase
Agentes de segunda generación	<I>Nombre genérico:</I> glipizida<I>Nombre de fábrica:</I> Glucotrol <BR><I>Nombre genérico:</I> glibenclamida<I>Nombre de fábrica:</I> Diabeta, Micronase<BR>
Agentes hipoglucémicos orales (Oral Hypoglycemic Agents)|Agentes hipoglucémicos orales|Oral Hypoglycemic Agents	Píldoras o cápsulas que se toman para bajar el nivel de glucosa (azúcar) en la sangre. Surten efecto cuando todavía el páncreas produce algo de insulina. Estas píldoras ayudan al organismo de varias maneras, por ejemplo, haciendo que las células pancreáticas liberen más insulina. <BR>En EE.UU. hay en venta seis tipos de estas píldoras. Cuatro de ellos, denominados de &quotprimera generación", se emplean desde hace algún tiempo. Otros dos tipos, los de &quotsegunda generación", de reciente elaboración, son más fuertes que los de la primera generación, y causan menos efectos secundarios. Todos los fármacos hipoglucémicos orales pertenecen a la clase de medicamentos llamados sulfonilureas. Cada tipo de píldora se vende bajo dos nombres: el genérico en la lista de la FDA (siglas en inglés de la Administración de Medicamentos y Alimentos) y el de la marca del fabricante, como se indica a continuación: <BR><B>Agentes de primera generación:</B><I>Nombre genérico:</I> tolbutamida<I>Nombre de fábrica:</I> Orinase <BR><I>Nombre genérico:</I> acetohexamida<I>Nombre de fábrica:</I> Dimelor <BR><I>Nombre genérico:</I> clorpropamida<I>Nombre de fábrica:</I> Diabinese <BR><I>Nombre genérico:</I> tolazamida<I>Nombre de fábrica:</I> Tolinase <BR><B>Agentes de segunda generación:</B><I>Nombre genérico:</I> glipizida<I>Nombre de fábrica:</I> Glucotrol <BR><I>Nombre genérico:</I> glibenclamida<I>Nombre de fábrica:</I> Diabeta, Micronase<BR>
Agudo (Acute)|Acute|Agudo	Se siente por tiempo limitado; de comienzo repentino; intenso, grave.<BR>
Albuminuria (Albuminuria)|Albuminuria	Cuando la orina contiene cantidades mayores que las normales de albúmina, una proteína. Puede señalar enfermedad renal, problema que a veces se presenta en personas que tienen diabetes por largo tiempo.
Alergia a la insulina (Insulin Allergy)|Alergia a la insulina|Insulin Allergy	Cuando hay reacción alérgica o mala al recibir el diabético insulina de origen bovino, porcino o bacteriano, o que no es precisamente igual a la insulina humana, o que contiene impurezas. <BR>Esta alergia puede tener dos formas. Algunas veces la superficie cutánea se vuelve rojísima y se siente mucha picazón exactamente alrededor de donde se inyecta la insulina. A esto se le llama alergia local. <BR>La otra forma de alergia a la insulina es cuando hay una mala reacción por todo el cuerpo, o sea, alergia sistémica. Puede haber urticaria o parches rojos en toda la superficie corporal o sentirse alteraciones en el ritmo cardiaco y la respiración. El médico para tratar esta alergia quizás recete insulina purificada o bien lleve a cabo un programa de desensibilización. <I>Véase también:</I> Desensibilización.
Aminoácidos (Amino Acids)|Amino Acids|Aminoácidos	Son los bloques constituyentes de las proteínas, el material principal de las células corporales. La insulina está formada por 51 aminoácidos unidos.<BR>
Amiotrofia diabética (Diabetic Amyotrophy)|Amiotrofia diabética|Diabetic Amyotrophy	Enfermedad de los nervios que conducen a los músculos. Afecta un solo lado del cuerpo y se presenta más a menudo en los hombres de edad avanzada con diabetes leve. <I>Véase también:</I> Neuropatía.<BR>
Angiografía con fluoresceína (Fluorescein Angiography)|Angiografía con fluoresceína|Fluorescein Angiography	Este método sirve par visualizar el flujo sanguíneo en los vasos oculares siguiendo el progreso de un tinte inyectado.
Angiopatía (Angiopathy)|Angiopathy|Angiopatía	Enfermedad de los vasos sanguíneos (arterias, venas y capilares) que se presenta cuando se sufre de diabetes por largo tiempo. Existen dos clases de angiopatía: <I>macro</I>angiopatía y <I>micro</I>angiopatía. En la <I>macro</I>angiopatía, se acumulan grasa y coágulos de sangre en los grandes vasos sanguíneos, se adhieren a las paredes de éstos e impiden el flujo sanguíneo. En la <I>micro</I>angiopatía, tan gruesas y débiles se vuelven las paredes de los pequeños vasos que éstos sangran, rezuman proteína y lentifican el flujo sanguíneo por todo el cuerpo. Entonces las células, las del centro del ojo por ejemplo, no obtienen suficiente sangre y pueden resultar lesionadas. Se llama también angiopatía diabética.
Angiopatía diabética (Diabetic Angiopathy)|Angiopatía diabética|Diabetic Angiopathy	<I>Véase:</I> Angiopatía.<BR>
Anormalidad previa de tolerancia a la glucosa (PrevAGT) (Previous Abnormality of Glucose Tolerance [PrevAGT])|Anormalidad previa de tolerancia a la glucosa|PrevAGT|Previous Abnormality of Glucose Tolerance	El término indica a las personas a las que, cuando en el pasado se les hicieron pruebas para determinar la diabetes, se les observaron niveles de glucosa (azúcar) en la sangre más altos de los normales, pero que en la actualidad sus pruebas dan resultados normales. Antes esta anormalidad era conocida como &quotdiabetes latente" o &quotprediabetes".
Antagonista (Antagonist)|Antagonist|Antagonista	Es un agente que se opone o resiste a la acción de otro agente. Por ejemplo, la insulina disminuye el nivel de glucosa (azúcar) en la sangre, mientras que el glucagón lo eleva; por lo tanto, la insulina y el glucagón son antagonistas.
Antagonista de la insulina (Insulin Antagonist)|Antagonista de la insulina|Insulin Antagonist	Algo que se opone o resiste a la acción de la insulina. La insulina disminuye el nivel de glucosa (azúcar) en la sangre, mientras que el glucagón lo eleva; por lo tanto, el glucagón es un antagonista de la insulina.
Anticuerpos (Antibodies)|Antibodies|Antibody|Anticuerpo|Anticuerpos	Son proteínas que el organismo produce para protegerse de sustancias extrañas. En la diabetes, el organismo a veces produce anticuerpos para antagonizar a las insulinas bovinas o porcinas porque éstas no son exactamente iguales a la insulina humana o porque contienen impurezas. Los anticuerpos pueden impedir que la insulina surta buen efecto y hasta causar en el diabético una reacción alérgica o mala a las insulinas bovinas o porcinas.
Antiséptico (Antiseptic)|Antiseptic|Antiséptico	Agente que destruye las bacterias. El alcohol es un antiséptico común. Para evitar la infección, muchas personas se limpian la piel con alcohol antes de inyectarse la insulina.
Antígenos HLA (HLA Antigens)|Antígenos HLA|HLA Antigens	Son proteínas en la superficie celular que ayudan al organismo a combatir enfermedades. Varían de una persona a otra. Los investigadores creen que las personas que tienen un cierto tipo de antígenos HLA son más propensas a la diabetes insulinodependiente.
Análisis de orina (Urine Testing)|Análisis de orina|Urine Testing	Es el examen de la orina para determinar si contiene glucosa (azúcar) y cuerpos cetónicos. En una pequeña cantidad de orina o de orina diluida con agua se colocan cintas especiales de papel o tabletas (denominadas reactivos). Los cambios en el color de la cinta indican la cantidad de glucosa o de cuerpos cetónicos en la orina. El análisis de orina es la única manera de comprobar si hay cuerpos cetónicos, lo cual es indicación de enfermedad grave. Sin embargo, para vigilar el nivel de glucosa en el organismo, es preferible el análisis de sangre en vez del análisis de orina. <I>Véase también:</I> Vigilancia de la glucosa sanguínea; Reactivos.<BR>
Arteria (Artery)|Arteria|Artery	Vaso sanguíneo grande que conduce la sangre desde el corazón hasta otras partes del cuerpo. Las arterias son más gruesas y tienen paredes más fuertes y elásticas en comparación con las venas. <I>Véase también:</I> Vasos sanguíneos.
Arteriosclerosis	Grupo de enfermedades en las que se engrosan y endurecen las paredes arteriales. En un tipo de arteriosclerosis, se acumula grasa dentro de las paredes, lo cual lentifica el flujo sanguíneo. (<I>Véase:</I> Aterosclerosis.) A menudo estas enfermedades atacan a los que sufren de diabetes por largo tiempo.
Asintomático (Asymptomatic)|Asintomático|Asymptomatic	Sin síntomas; no se observa signo claro de enfermedad.
Aspartame (Aspartame)|Aspartame	Edulcorante sintético que muchos toman en vez de azúcar porque contiene muy pocas calorías.
Aspiración (Aspiration)|Aspiración|Aspiration	La acción de retirar el émbolo de una jeringa para comprobar si la aguja se introdujo en un vaso sanguíneo. La persona que administra la inyección de insulina puede tirar levemente del émbolo de la jeringa para verificar si hay sangre antes de inyectar la insulina.
Aterosclerosis (Atherosclerosis)|Aterosclerosis|Atherosclerosis	Una de las numerosas enfermedades en las que hay acumulación de grasa en las arterias medianas y grandes. Esta acumulación de grasa podría lentificar o detener el flujo sanguíneo. Puede presentarse esta enfermedad en los que sufren de diabetes por largo tiempo.
Atrofia inducida por la insulina (Insulin-Induced Atrophy)|Atrofia inducida por la insulina|Insulin Induced Atrophy	Hendiduras pequeñas en la piel que se forman cuando se sigue introduciendo muchas veces la aguja en el mismo sitio. Son inocuas. <I>Véase también:</I> Lipoatrofia; Rotación del sitio de inyección.
Autovigilancia de la glucosa sanguínea (Self-Monitoring of Blood Glucose)|Autovigilancia de la glucosa sanguínea|Self Monitoring of Blood Glucose	Modo cómo una persona puede determinar la cantidad de glucosa (azúcar) que tiene en la sangre. También se denomina vigilancia domiciliaria de la glucosa. <I>Véase también:</I> Vigilancia de la glucosa sanguínea.
Azúcar (Sugar)|Azúcar|Sugar	Una clase de carbohidratos con sabor dulce. El azúcar es un combustible de rápida y fácil utilización por el organismo. La lactosa, la glucosa, la fructosa y la sucrosa son todas azúcares.
Azúcar sanguíneo (Blood Sugar)|Azúcar sanguíneo|Blood Sugar	<I>Véase:</I> Glucosa sanguínea.
Bomba de insulina (Insulin Pump)|Bomba de insulina|Insulin Pump	<BR>Dispositivo fabricado con el fin de bombear constantemente insulina dentro del cuerpo a una tasa baja (basal). Se fija al cuerpo un tubo de plástico con una aguja pequeña insertada bajo la piel. La bomba mantiene uniforme el nivel de insulina entre las comidas. Antes de comer, el diabético marca la dosis (bolo) de insulina indicada para esa hora apretando los botones apropiados. La bomba funciona con baterías. La emplean quienes padecen de diabetes insulinodependiente.<BR><BR><img src="0C1B59A7.png" align="center" width="150" height="172">
C.D.E.|CDE	<I>Véase:</I> Educador de Diabetes Certificado (C.D.E.)<BR>
Callo (Callus)|Callo|Callus	Endurecimiento grueso circunscrito de la piel, generalmente en el pie, debido a fricción o presión. Los callos pueden conducir a otros problemas, por ejemplo, infección grave. Los zapatos cómodos contribuyen a evitarlos.<I>Véase también:</I> Cuidado de los pies.
Caloría (Calorie)|Calorie|Caloría	Energía proveniente de los alimentos. El contenido de calorías de los alimentos varía. Las grasas contienen muchas calorías, mientras que en la mayoría de las verduras hay muy pocas. Se aconseja a los diabéticos planear sus comidas de modo que el ingreso calórico sea regular.<I>Véase también:</I> Plan de dieta; Listas de equivalencia.<BR>
Capilar (Capillary)|Capilar|Capillary	El más pequeño de los vasos sanguíneos. Tan delgadas son las paredes de los capilares que el oxígeno y la glucosa pueden atravesarlas y llegar hasta las células, y que los productos de desecho como el dióxido de carbono pueden regresar a la sangre para ser eliminados del organismo. A veces, los que sufren de diabetes por largo tiempo hallan que sus capilares se les debilitan, en particular los del riñón y de la retina del ojo.. <I>Véase también:</I> Vasos sanguíneos.
Carbohidratos (Carbohydrates)|Carbohidratos|Carbohydrates	Una de las tres clases principales de alimentos y una fuente de energía. Los carbohidratos son principalmente azúcares y almidones que el organismo desintegra para convertir en glucosa (un azúcar simple del que puede valerse para alimentar sus células). Asimismo el organismo emplea los carbohidratos para la elaboración de glucógeno, sustancia que es almacenada en el hígado y los músculos para uso futuro. Si no cuenta el cuerpo con suficiente insulina o no puede usar la que tiene, entonces no podrá utilizar los carbohidratos como energía tal como debería, de lo cual resulta la diabetes.<I>Véase también:</I> Hidratos de carbono; Grasas; Proteínas.
Cardiovascular (Cardiovascular)|Cardiovascular	Con relación al corazón y los vasos sanguíneos (arterias, venas y capilares); el sistema circulatorio.
Cardiólogo (Cardiologist)|Cardiologist|Cardiólogo	Médico que atiende y trata a los que sufren de enfermedades del corazón; especialista en estas enfermedades.
Cetoacidosis (Ketoacidosis)|Cetoacidosis|Ketoacidosis	<I>Véase a continuación:</I> Cetoacidosis diabética.<BR>
Cetoacidosis diabética (DKA) (Diabetic Ketoacidosis [DKA])|Cetoacidosis diabética|DKA|Diabetic Ketoacidosis	Diabetes grave, incontrolable (nivel alto de azúcar sanguíneo) que requiere tratamiento de urgencia. Se observa cuando la sangre carece de la insulina necesaria, bien sea porque la persona está; enferma, no toma una dosis suficientemente alta de insulina o no hace suficiente ejercicio. El organismo empieza a utilizar como energía las grasas de reserva y se forman en la sangre cuerpos cetónicos (ácidos). <BR>La cetoacidosis comienza lentamente y va aumentando. Los signos abarcan náuseas y vómitos que pueden conducir a la deshidratación del cuerpo, dolor gástrico y respiración profunda y rápida. Si no se le administran a la persona de inmediato líquidos e insulina, la cetoacidosis podráÝ resultar en coma y hasta en muerte.
Cetonuria (Ketonuria)|Cetonuria|Ketonuria	Presencia de cuerpos cetónicos en la orina: aviso de peligro de cetoacidosis diabética (DKA en inglés).
Cetosis (Ketosis)|Cetosis|Ketosis	Estado en que hay acumulación de cuerpos cetónicos en los tejidos y líquidos corporales. Los signos de cetosis son náuseas, vómitos y dolor gástrico. La cetosis puede conducir a la cetoacidosis.
Choque (Shock)|Choque|Shock	Estado grave que trastorna el cuerpo. Cuando el nivel de glucosa (azúcar) en la sangre desciende repentinamente, el diabético puede experimentar choque.<I>Véase también, a continuación:</I> Choque insulínico.
Choque insulínico (Insulin Shock)|Choque insulínico|Insulin Shock	Estado grave que ocurre cuando desciende rápidamente el nivel de glucosa (azúcar) en la sangre. Se observan estos signos: temblores, sudoración, mareos, visión doble, convulsiones y colapso. El choque insulínico puede presentarse cuando no se trata con suficiente rapidez una reacción a la insulina. <I>Véase también:</I> Hipoglucemia; Reacción a la insulina. <BR>
Ciclamato (Cyclamate)|Ciclamato|Cyclamate	Producto químico sintético que se emplea en vez de azúcar. En 1973, la Administración de Medicamentos y Alimentos de EE.UU. (siglas en inglés FDA) prohibió la venta de ciclamatos porque las pruebas de laboratorio mostraron que el ciclamato en grandes cantidades puede causar cáncer de la vejiga en las ratas.
Circulación (Circulation)|Circulación|Circulation	El flujo de la sangre por el corazón y los vasos sanguíneos del cuerpo.
Claudicación intermitente (Intermittent Claudication)|Claudicación intermitente|Intermittent Claudication	Dolor en los músculos de las piernas de vez en cuando, casi siempre al caminar o hacer ejercicio, el cual termina en cojera (claudicación). El dolor es causado por el estrechamiento de los vasos sanguíneos que alimentan a los músculos. Se cuenta con medicamentos para tratar este estado.
Clorpropamida (Chlorpropamide)|Chlorpropamide|Clorpropamida	Píldora que sirve para bajar el nivel de glucosa (azúcar) en la sangre. Solamente algunas personas con diabetes no insulinodependiente toman este medicamento. <I>Véase también:</I> Agentes hipoglucémicos orales.<BR>
Colesterol (Cholesterol)|Cholesterol|Colesterol	ustancia parecida a la grasa que se halla en la sangre, los músculos, el hígado, el cerebro y en otros tejidos en el ser humano y en los animales. El organismo produce y necesita algo de colesterol. Mas, el exceso de colesterol puede hacer que las grasas se acumulen en las paredes arteriales y causen una enfermedad que lentifica o detiene la circulación de la sangre. Entre los alimentos ricos en colesterol están las yemas de huevo y la mantequilla.
Coma (Coma)|Coma	Estado de sopor profundo parecido al sueño; inconsciencia; puede deberse al nivel bien sea alto o bajo de glucosa (azúcar) en la sangre. <I>Véase también, a continuación:</I> Coma diabético.<BR>
Coma diabético (Diabetic Coma)|Coma diabético|Diabetic Coma	Emergencia grave durante la cual la persona está inconsciente debido al nivel excesivamente elevado de glucosa (azúcar) en la sangre y por haber demasiados cuerpos cetónicos (ácidos) en el organismo. Por lo regular, esa persona tiene el rostro sonrojado, la piel y la boca secas, la respiración rápida y laboriosa, el aliento con olor a frutas, el pulso débil y la presión arterial baja.<I>Véase también:</I> Cetoacidosis diabética.<BR>
Coma hiperosmolar (Hyperosmolar Coma)|Coma hiperosmolar|Hyperosmolar Coma	Es el coma (pérdida de conocimiento) relacionado con niveles altísimos de glucosa (azúcar) en la sangre, y que requiere tratamiento de emergencia. Generalmente, la persona en este estado es anciana y está muy débil por pérdida de líquidos corporales y de peso. Puede tener o no antecedentes clínicos de diabetes. No se observan cetonas (ácidos) en la orina.
Coma no cetótico (Nonketotic Coma)|Coma no cetótico|Nonketotic Coma	(Nonketotic Coma) <BR>Tipo de coma causado por insuficiente insulina. La crisis no cetótica significa: (1) niveles altísimos de glucosa (azúcar) en la sangre; (2) ausencia de cetoacidosis; (3) gran pérdida de líquidos corporales; y (4) estado de sopor, confusión o coma. Con frecuencia el coma no cetótico es consecuencia de otros problemas, por ejemplo, infección grave o insuficiencia renal.
Comatoso (Comatose)|Comatose|Comatoso	En estado de coma, inconsciente.
Complicaciones de la diabetes (Complications of Diabetes)|Complicaciones de la diabetes|Complications of Diabetes	Efectos dañinos que pueden presentarse después de que una persona ha estado sufriendo de diabetes por largo tiempo. Incluyen lesión de la retina del ojo (retinopatía), de los vasos sanguíneos (angiopatía), del sistema nervioso (neuropatía), y de los riñones (nefropatía). Algunos expertos opinan que el control estricto de los niveles de glucosa sanguínea puede contribuir a disminuir, demorar o evitar tales problemas.
Contraindicación (Contraindication)|Contraindicación|Contraindication	Estado en el cual no es útil y hasta dañino el tratamiento.
Creatinina (Creatinine)|Creatinina|Creatinine	Sustancia química que hay en la sangre y que se elimina en la orina. La prueba para determinar la cantidad de creatinina en la sangre o en la sangre y la orina, llamada prueba de depuración de creatinina, muestra si el riñón funciona bien o si está enfermo.
Crónico (Chronic)|Chronic|Crónico	Presente durante largo tiempo. La diabetes es un ejemplo de enfermedad crónica.
Cuerpos cetónicos (Ketone Bodies)|Cuerpos cetónicos|Ketone Bodies	Sustancias químicas que produce el organismo cuando no hay suficiente insulina en la sangre y tiene que descomponer las grasas para obtener energía. Los cuerpos cetónicos pueden envenenar y hasta destruir células corporales. Al carecer el organismo de la ayuda de la insulina, los cuerpos cetónicos se van acumulando en la sangre y luego se &quotderraman" en la orina para poderse eliminar. También el organismo puede descartar un tipo de cetona, denominada acetona, por conducto de los pulmones. Esto da al aliento un olor a fruta. Cuando las cetonas se acumulan en el organismo por largo tiempo, se puede llegar a una enfermedad grave y al coma.<I>Véase también:</I> Cetoacidosis diabética.<BR>
Cuidado de los pies (Foot Care)|Cuidado de los pies|Foot Care	Tomar los pasos necesarios para evitar los problemas de los pies, como las llagas, cortes, juanetes y callos. El buen cuidado comprende el baño y examen diario y cuidadoso de los pies, los dedos y las uñas y el escoger zapatos y medias o calcetines adecuados. Los diabéticos han de prestar cuidados especiales a sus pies porque el flujo sanguíneo reducido significa que a veces la sensación en los pies será menor de la normal. De no hacerlo así, pudieran no observar cortaduras u otros problemas tan pronto como deberían.
Célula alfa (Alpha Cell)|Alpha Cell|Célula alfa	Tipo de célula en el páncreas (en lugares denominados islotes de Langerhans). Las células alfa producen y liberan glucagón, hormona que eleva el nivel de glucosa (azúcar) en la sangre.<BR><BR><img src="E94647F0.png" align="center" width="100" height="85">
Célula beta (Beta Cell)|Beta Cell|Célula beta	Tipo de célula en el páncreas (en lugares denominados islotes de Langerhans). Las células beta producen y liberan insulina, hormona que regula el nivel de glucosa (azúcar) en la sangre.<BR><BR><img src="42A13903.png" align="center" width="100" height="73">
Célula delta (Delta Cell)|Célula delta|Delta Cell	Tipo de célula en el páncreas (en lugares denominados islotes de Langerhans). Las células delta producen somatostatina, hormona que se cree regula la producción y liberación de la insulina por las células beta y la producción y liberación del glucagón por las células alfa.
Defectos congénitos (Congenital Defects)|Congenital Defects|Defectos congénitos	Problemas o estados presentes desde el nacimiento.
Desbridamiento (Debridement)|Debridement|Desbridamiento	Extirpación de tejido infectado, lesionado o necrosado.
Desensibilización (Desensitization)|Desensibilización|Desensitization	Método para reducir o detener una respuesta, como la reacción alérgica a algo. Por ejemplo, si el diabético tiene reacción mala por tomar una dosis completa de insulina bovina, el médico prescribirá una cantidad pequeñísima de insulina al principio. A lo largo del tiempo, se darán dosis cada vez más altas hasta que el diabético reciba la dosis completa. Este es un modo de hacer que el organismo se habitúe a la dosis completa y de evitar la reacción alérgica.
Deshidratación (Dehydration)|Dehydration|Deshidratación	Pérdida cuantiosa de agua corporal. Si el diabético tiene un nivel de glucosa (azúcar) altísimo en la orina, esto ocasiona gran pérdida de agua y sed intensa.
Dextrosa (Dextrose)|Dextrosa|Dextrose	Un azúcar simple presente en la sangre. Es la fuente principal de energía corporal. También se denomina glucosa.<I>Véase también:</I> Glucosa sanguínea.<BR>
Diabetes de la edad madura (Maturity-Onset Diabetes)|Diabetes de la edad madura|Maturity Onset Diabetes	Una denominación anterior de la diabetes no insulinodependiente o diabetes tipo II.<I>Véase:</I> Diabetes sacarina no insulinodependiente.
Diabetes del adulto (Adult-Onset Diabetes)|Adult Onset Diabetes|Diabetes del adulto	Una denominación anterior de la diabetes no insulinodependiente o diabetes tipo II.<I>Véase:</I> Diabetes sacarina no insulinodependiente.
Diabetes inestable (Unstable Diabetes)|Diabetes inestable|Unstable Diabetes	Tipo de diabetes en el que con frecuencia el nivel de glucosa (azúcar) en la sangre pasa muy rápidamente de alto a bajo y viceversa. También recibe el nombre de diabetes lábil.
Diabetes insípida (Diabetes Insipidus)|Diabetes Insipidus|Diabetes insípida	Enfermedad de la glándula pituitaria; <I>no</I> es diabetes sacarina. Con frecuencia recibe el nombre de &quotdiabetes de agua" para diferenciarla de la &quotdiabetes de azúcar". Difieren la causa y el tratamiento en comparación con la diabetes sacarina. Mas, porque en ambas se observan la mayoría de los mismos síntomas: orina frecuente, muchísima sed y hambre y sensación de gran debilidad, se le ha dado el nombre de &quotdiabetes" aunque los que padecen de esta enfermedad no tienen glucosa (azúcar) en la orina.
Diabetes juvenil (Juvenile-Onset Diabetes)|Diabetes juvenil|Juvenile Onset Diabetes	Denominación anterior de la diabetes insulinodependiente o diabetes tipo I.<I>Veáse:</I> Diabetes sacarina insulinodependiente.
Diabetes latente (Latent Diabetes)|Diabetes latente|Latent Diabetes	Denominación anterior del trastorno de la tolerancia a la glucosa.<I>Véase:</I> Trastorno de la tolerancia a la glucosa.<BR>
Diabetes limítrofe (Borderline Diabetes)|Borderline Diabetes|Diabetes limítrofe	Término desusado. <I>Véase:</I> Trastorno de la tolerancia a la glucosa.
Diabetes lábil (Labile Diabetes)|Diabetes lábil|Labile Diabetes	<I>Veáse:</I> Diabetes inestable.
Diabetes manifiesta (Overt Diabetes)|Diabetes manifiesta|Overt Diabetes	Diabetes en la persona que manifiesta signos inequívocos de la enfermedad como son la sed extremada y la necesidad de micciones frecuentes.
Diabetes mellitus (Diabetes Mellitus)|Diabetes mellitus	<I>Véase:</I> Diabetes sacarina.<BR>
Diabetes química (Chemical Diabetes)|Chemical Diabetes|Diabetes química	Término desusado. <I>Véase:</I> Trastorno de la tolerancia a la glucosa.
